"distid","year","DISTRICT_NAME","SCHOOL_YEAR","FULL_NCES_CODE","COUNTY","electiontype","candidateid","first","last","winner","incumbent","minor","raceid","areaid","districtwide","notes","candidateid2","raceid2","incDefeat","repeater","ncand","nrealcand","nwins","ninc","nincDef","nminor","scatterVotes","nincDefInd","candidate_votes","total_votes","CESA"
7,2004,"Abbotsford Sch Dist","2003-04","5500030","10",1,2,"Scott","Nelson",1,1,0,"1","1",1,"","7-2","7-2004-1-1",0,1,2,2,2,2,0,0,0,0,388,748,"10"
7,2004,"Abbotsford Sch Dist","2003-04","5500030","10",1,1,"John","Peissig",1,1,0,"1","1",1,"","7-1","7-2004-1-1",0,1,2,2,2,2,0,0,0,0,360,748,"10"
7,2005,"Abbotsford Sch Dist","2004-05","5500030","10",1,4,"Laverne","Harrison",1,0,0,"2","2",1,"","7-4","7-2005-2-1",NA,0,2,2,2,1,0,0,0,0,566,1201,"10"
7,2005,"Abbotsford Sch Dist","2004-05","5500030","10",1,3,"Donald ","Medenwaldt",1,1,0,"2","2",1,"","7-3","7-2005-2-1",0,1,2,2,2,1,0,0,0,0,635,1201,"10"
7,2006,"Abbotsford Sch Dist","2005-06","5500030","10",1,5,"Timothy","Kramas",1,1,0,"3","3",1,"","7-5","7-2006-3-1",0,1,3,3,3,3,0,0,0,0,275,983,"10"
7,2006,"Abbotsford Sch Dist","2005-06","5500030","10",1,6,"Thomas","Archambo",1,1,0,"3","3",1,"","7-6","7-2006-3-1",0,1,3,3,3,3,0,0,0,0,333,983,"10"
7,2006,"Abbotsford Sch Dist","2005-06","5500030","10",1,7,"Eric","Reis",1,1,0,"3","3",1,"","7-7","7-2006-3-1",0,1,3,3,3,3,0,0,0,0,375,983,"10"
7,2007,"Abbotsford Sch Dist","2006-07","5500030","10",1,2,"Scott","Nelson",1,1,0,"4","4",1,"","7-2","7-2007-4-1",0,1,3,3,2,1,0,0,0,0,545,1341,"10"
7,2007,"Abbotsford Sch Dist","2006-07","5500030","10",1,8,"Rachel","Schreiber",1,0,0,"4","4",1,"","7-8","7-2007-4-1",NA,0,3,3,2,1,0,0,0,0,405,1341,"10"
7,2007,"Abbotsford Sch Dist","2006-07","5500030","10",1,9,"Sandra","Busse",0,0,0,"4","4",1,"","7-9","7-2007-4-1",NA,0,3,3,2,1,0,0,0,0,391,1341,"10"
7,2008,"Abbotsford Sch Dist","2007-08","5500030","10",1,3,"Donald ","Medenwaldt",1,1,0,"5","5",1,"","7-3","7-2008-5-1",0,1,2,2,2,2,0,0,0,0,328,638,"10"
7,2008,"Abbotsford Sch Dist","2007-08","5500030","10",1,4,"Laverne","Harrison",1,1,0,"5","5",1,"","7-4","7-2008-5-1",0,1,2,2,2,2,0,0,0,0,310,638,"10"
7,2009,"Abbotsford Sch Dist","2008-09","5500030","10",1,5,"Timothy","Kramas",1,1,0,"6","6",1,"","7-5","7-2009-6-1",0,1,3,3,3,3,0,0,0,0,420,1432,"10"
7,2009,"Abbotsford Sch Dist","2008-09","5500030","10",1,7,"Eric","Reis",1,1,0,"6","6",1,"","7-7","7-2009-6-1",0,1,3,3,3,3,0,0,0,0,547,1432,"10"
7,2009,"Abbotsford Sch Dist","2008-09","5500030","10",1,6,"Thomas","Archambo",1,1,0,"6","6",1,"","7-6","7-2009-6-1",0,1,3,3,3,3,0,0,0,0,465,1432,"10"
7,2010,"Abbotsford Sch Dist","2009-10","5500030","10",1,8,"Rachel","Schreiber",1,1,0,"7","7",1,"","7-8","7-2010-7-1",0,1,3,3,3,2,0,0,0,0,214,722,"10"
7,2010,"Abbotsford Sch Dist","2009-10","5500030","10",1,2,"Scott","Nelson",1,1,0,"7","7",1,"","7-2","7-2010-7-1",0,1,3,3,3,2,0,0,0,0,241,722,"10"
7,2010,"Abbotsford Sch Dist","2009-10","5500030","10",1,10,"Andy","Baldus",1,0,0,"7","7",1,"","7-10","7-2010-7-1",NA,0,3,3,3,2,0,0,0,0,267,722,"10"
7,2011,"Abbotsford Sch Dist","2010-11","5500030","10",1,11,"Darla","Viegut",1,0,0,"8","8",1,"","7-11","7-2011-8-1",NA,0,2,2,2,1,0,0,0,0,446,857,"10"
7,2011,"Abbotsford Sch Dist","2010-11","5500030","10",1,3,"Donald ","Medenwaldt",1,1,0,"8","8",1,"","7-3","7-2011-8-1",0,1,2,2,2,1,0,0,0,0,411,857,"10"
7,2012,"Abbotsford Sch Dist","2011-12","5500030","10",1,7,"Eric","Reis",1,1,0,"9","9",1,"","7-7","7-2012-9-1",0,1,3,3,3,1,0,0,0,0,438,1092,"10"
7,2012,"Abbotsford Sch Dist","2011-12","5500030","10",1,13,"Shanna","Hackel",1,0,0,"9","9",1,"","7-13","7-2012-9-1",NA,0,3,3,3,1,0,0,0,0,277,1092,"10"
7,2012,"Abbotsford Sch Dist","2011-12","5500030","10",1,12,"Natalyn","Belanger",1,0,0,"9","9",1,"","7-12","7-2012-9-1",NA,0,3,3,3,1,0,0,0,0,377,1092,"10"
14,2002,"Adams-Friendship Area Sch Dist","2001-02","5500060","1",1,1,"Harold","Chamberlin",1,0,0,"1","1",1,"","14-1","14-2002-1-1",NA,0,3,3,3,0,0,0,0,0,784,2493,"5"
14,2002,"Adams-Friendship Area Sch Dist","2001-02","5500060","1",1,2,"Richard","Pease",1,0,0,"1","1",1,"","14-2","14-2002-1-1",NA,0,3,3,3,0,0,0,0,0,888,2493,"5"
14,2002,"Adams-Friendship Area Sch Dist","2001-02","5500060","1",1,3,"Janet","Boddy",1,0,0,"1","1",1,"","14-3","14-2002-1-1",NA,0,3,3,3,0,0,0,0,0,821,2493,"5"
14,2003,"Adams-Friendship Area Sch Dist","2002-03","5500060","1",1,5,"Patty","Brogan",1,1,0,"2","2",1,"","14-5","14-2003-2-1",0,1,4,4,3,3,1,0,0,1,2275,8136,"5"
14,2003,"Adams-Friendship Area Sch Dist","2002-03","5500060","1",1,6,"Sherry","Baumgart",1,1,0,"2","2",1,"","14-6","14-2003-2-1",0,1,4,4,3,3,1,0,0,1,2309,8136,"5"
14,2003,"Adams-Friendship Area Sch Dist","2002-03","5500060","1",1,7,"Mary","Gruber",0,1,0,"2","2",1,"","14-7","14-2003-2-1",1,1,4,4,3,3,1,0,0,1,1168,8136,"5"
14,2003,"Adams-Friendship Area Sch Dist","2002-03","5500060","1",1,4,"Linda","Wormet",1,0,0,"2","2",1,"","14-4","14-2003-2-1",NA,0,4,4,3,3,1,0,0,1,2384,8136,"5"
14,2004,"Adams-Friendship Area Sch Dist","2003-04","5500060","1",1,9,"Gary","Olson",1,1,0,"3","3",1,"","14-9","14-2004-3-1",0,1,3,3,3,3,0,0,21,0,924,2951,"5"
14,2004,"Adams-Friendship Area Sch Dist","2003-04","5500060","1",1,10,"Carole","Janssen",1,1,0,"3","3",1,"","14-10","14-2004-3-1",0,1,3,3,3,3,0,0,21,0,1057,2951,"5"
14,2004,"Adams-Friendship Area Sch Dist","2003-04","5500060","1",1,99,"Scatter","Scatter",0,0,1,"3","3",1,"","14-99","14-2004-3-1",NA,0,3,3,3,3,0,0,21,0,21,2951,"5"
14,2004,"Adams-Friendship Area Sch Dist","2003-04","5500060","1",1,8,"Peter","Hickethier",1,1,0,"3","3",1,"","14-8","14-2004-3-1",0,1,3,3,3,3,0,0,21,0,949,2951,"5"
14,2005,"Adams-Friendship Area Sch Dist","2004-05","5500060","1",1,1,"Harold","Chamberlin",0,1,0,"4","4",1,"","14-1","14-2005-4-1",1,1,4,4,3,3,1,0,0,1,835,4242,"5"
14,2005,"Adams-Friendship Area Sch Dist","2004-05","5500060","1",1,2,"Richard","Pease",1,1,0,"4","4",1,"","14-2","14-2005-4-1",0,1,4,4,3,3,1,0,0,1,1111,4242,"5"
14,2005,"Adams-Friendship Area Sch Dist","2004-05","5500060","1",1,11,"James","Bays",1,0,0,"4","4",1,"","14-11","14-2005-4-1",NA,0,4,4,3,3,1,0,0,1,1173,4242,"5"
14,2005,"Adams-Friendship Area Sch Dist","2004-05","5500060","1",1,3,"Janet","Boddy",1,1,0,"4","4",1,"","14-3","14-2005-4-1",0,1,4,4,3,3,1,0,0,1,1123,4242,"5"
14,2006,"Adams-Friendship Area Sch Dist","2005-06","5500060","1",1,14,"Ronald","Boettcher",0,0,0,"5","5",1,"","14-14","14-2006-5-1",NA,0,4,4,3,1,0,0,0,0,608,2852,"5"
14,2006,"Adams-Friendship Area Sch Dist","2005-06","5500060","1",1,13,"Julie","Roseberry",1,0,0,"5","5",1,"","14-13","14-2006-5-1",NA,0,4,4,3,1,0,0,0,0,801,2852,"5"
