"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_with_disabilities","percent_with_disabilities","number_without_disabilities","percent_without_disabilities"
"2005","76549","08","0602","","03","High Schools","N","Bonduel","","PreK-12","342                           ","44                            ","12.865400                     ","298                           ","87.134500                     "
"2005","76549","08","0602","","03","Mid/Jr Hi Schools","N","Bonduel","","PreK-12","177                           ","22                            ","12.429300                     ","155                           ","87.570600                     "
"2005","76549","08","0602","","03","Elem. Schools","N","Bonduel","","PreK-12","343                           ","54                            ","15.743400                     ","289                           ","84.256500                     "
"2005","76549","08","0602","","03","El/Sec Combined Schls","N","Bonduel","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","76560","08","0602","0020","04","Elem. Schools","N","Bonduel","Bonduel Elementary","PreK-12","286                           ","48                            ","16.783200                     ","238                           ","83.216700                     "
"2005","76561","08","0602","0021","04","Mid/Jr Hi Schools","N","Bonduel","Bonduel Middle","PreK-12","177                           ","22                            ","12.429300                     ","155                           ","87.570600                     "
"2005","76562","08","0602","0040","04","High Schools","N","Bonduel","Bonduel High","PreK-12","342                           ","44                            ","12.865400                     ","298                           ","87.134500                     "
"2005","76563","08","0602","0080","04","Elem. Schools","N","Bonduel","Navarino Elementary","PreK-12","57                            ","6                             ","10.526300                     ","51                            ","89.473600                     "
"2005","76212","08","0623","","03","El/Sec Combined Schls","N","Bowler","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","76212","08","0623","","03","Elem. Schools","N","Bowler","","PreK-12","234                           ","54                            ","23.076900                     ","180                           ","76.923000                     "
"2005","76212","08","0623","","03","Mid/Jr Hi Schools","N","Bowler","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","76212","08","0623","","03","High Schools","N","Bowler","","PreK-12","228                           ","44                            ","19.298200                     ","184                           ","80.701700                     "
"2005","76210","08","0623","0020","04","Elem. Schools","N","Bowler","Bowler Elementary","PreK-12","234                           ","54                            ","23.076900                     ","180                           ","76.923000                     "
"2005","76211","08","0623","0040","04","High Schools","N","Bowler","Bowler High","PreK-12","228                           ","44                            ","19.298200                     ","184                           ","80.701700                     "
"2005","79155","08","1141","","03","High Schools","N","Clintonville","","PreK-12","626                           ","72                            ","11.501500                     ","554                           ","88.498400                     "
"2005","79155","08","1141","","03","Mid/Jr Hi Schools","N","Clintonville","","PreK-12","388                           ","59                            ","15.206100                     ","329                           ","84.793800                     "
"2005","79155","08","1141","","03","Elem. Schools","N","Clintonville","","PreK-12","521                           ","104                           ","19.961600                     ","417                           ","80.038300                     "
"2005","79155","08","1141","","03","El/Sec Combined Schls","N","Clintonville","","PreK-12","0                             ","*                             ","*                             ","*                             ","*                             "
"2005","75478","08","1141","0015","04","Elem. Schools","N","Clintonville","Bear Creek Elementary","PreK-12","54                            ","3                             ","5.555500                      ","51                            ","94.444400                     "
"2005","75464","08","1141","0020","04","Mid/Jr Hi Schools","N","Clintonville","Clintonville Middle","PreK-12","388                           ","59                            ","15.206100                     ","329                           ","84.793800                     "
