"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","race_ethnicity","gender","enrollment_prek-12","number_lep_spanish","percent_lep_spanish","number_lep_hmong","percent_lep_hmong","number_lep_other","percent_lep_other","number_english_proficient","percent_english_proficient"
"2003","53327","03","0161","","03","Elem      ","N","Argyle","","Elementary School Type/ Prek-12","All Races","Both Genders",172,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",172,"100.0000000000                "
"2003","53327","03","0161","","03","Mid/Jr Hi ","N","Argyle","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2003","53327","03","0161","","03","High      ","N","Argyle","","High School Type/ PreK-12","All Races","Both Genders",164,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",164,"100.0000000000                "
"2003","53327","03","0161","","03","El/Sec    ","N","Argyle","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2003","53327","03","0161","","03","Summary   ","N","Argyle","","Grades PreK-12","All Races","Both Genders",336,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",336,"100.0000000000                "
"2003","51712","03","0161","0020","04","Elem      ","N","Argyle","Argyle El","Grades PreK-12","All Races","Both Genders",172,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",172,"100.0000000000                "
"2003","51713","03","0161","0040","04","High      ","N","Argyle","Argyle Hi","Grades PreK-12","All Races","Both Genders",164,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",164,"100.0000000000                "
"2003","53330","03","0287","","03","Elem      ","N","Barneveld","","Elementary School Type/ Prek-12","All Races","Both Genders",204,3,"1.4705882300                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",201,"98.5294117600                 "
"2003","53330","03","0287","","03","Mid/Jr Hi ","N","Barneveld","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2003","53330","03","0287","","03","High      ","N","Barneveld","","High School Type/ PreK-12","All Races","Both Genders",227,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",227,"100.0000000000                "
"2003","53330","03","0287","","03","El/Sec    ","N","Barneveld","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2003","53330","03","0287","","03","Summary   ","N","Barneveld","","Grades PreK-12","All Races","Both Genders",431,3,"0.6960556800                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",428,"99.3039443100                 "
"2003","51714","03","0287","0020","04","Elem      ","N","Barneveld","Barneveld El","Grades PreK-12","All Races","Both Genders",204,3,"1.4705882300                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",201,"98.5294117600                 "
"2003","51715","03","0287","0040","04","High      ","N","Barneveld","Barneveld Hi","Grades PreK-12","All Races","Both Genders",227,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",227,"100.0000000000                "
"2003","53332","03","0364","","03","Elem      ","N","Belmont Community","","Elementary School Type/ Prek-12","All Races","Both Genders",172,0,"0.0000000000                  ",0,"0.0000000000                  ",1,"0.5813953400                  ",171,"99.4186046500                 "
"2003","53332","03","0364","","03","Mid/Jr Hi ","N","Belmont Community","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2003","53332","03","0364","","03","High      ","N","Belmont Community","","High School Type/ PreK-12","All Races","Both Genders",181,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",181,"100.0000000000                "
"2003","53332","03","0364","","03","El/Sec    ","N","Belmont Community","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2003","53332","03","0364","","03","Summary   ","N","Belmont Community","","Grades PreK-12","All Races","Both Genders",353,0,"0.0000000000                  ",0,"0.0000000000                  ",1,"0.2832861100                  ",352,"99.7167138800                 "
"2003","51719","03","0364","0020","04","Elem      ","N","Belmont Community","Belmont El","Grades PreK-12","All Races","Both Genders",172,0,"0.0000000000                  ",0,"0.0000000000                  ",1,"0.5813953400                  ",171,"99.4186046500                 "
"2003","51720","03","0364","0040","04","High      ","N","Belmont Community","Belmont Hi","Grades PreK-12","All Races","Both Genders",181,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",181,"100.0000000000                "
"2003","53349","03","0427","","03","Elem      ","N","Benton","","Elementary School Type/ Prek-12","All Races","Both Genders",154,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",154,"100.0000000000                "
"2003","53349","03","0427","","03","Mid/Jr Hi ","N","Benton","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2003","53349","03","0427","","03","High      ","N","Benton","","High School Type/ PreK-12","All Races","Both Genders",133,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",133,"100.0000000000                "
"2003","53349","03","0427","","03","El/Sec    ","N","Benton","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2003","53349","03","0427","","03","Summary   ","N","Benton","","Grades PreK-12","All Races","Both Genders",287,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",287,"100.0000000000                "
"2003","51835","03","0427","0020","04","Elem      ","N","Benton","Benton El","Grades PreK-12","All Races","Both Genders",154,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",154,"100.0000000000                "
"2003","51836","03","0427","0040","04","High      ","N","Benton","Benton Hi","Grades PreK-12","All Races","Both Genders",133,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",133,"100.0000000000                "
"2003","53519","03","0490","","03","Elem      ","N","Pecatonica Area","","Elementary School Type/ Prek-12","All Races","Both Genders",234,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",234,"100.0000000000                "
"2003","53519","03","0490","","03","Mid/Jr Hi ","N","Pecatonica Area","","Middle/Junior High School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2003","53519","03","0490","","03","High      ","N","Pecatonica Area","","High School Type/ PreK-12","All Races","Both Genders",270,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",270,"100.0000000000                "
"2003","53519","03","0490","","03","El/Sec    ","N","Pecatonica Area","","Combined Elementary/Secondary School Type/ Prek-12","All Races","Both Genders",0,0,"--                            ",0,"--                            ",0,"--                            ",,"--                            "
"2003","53519","03","0490","","03","Summary   ","N","Pecatonica Area","","Grades PreK-12","All Races","Both Genders",504,0,"0.0000000000                  ",0,"0.0000000000                  ",0,"0.0000000000                  ",504,"100.0000000000                "
