"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_female","percent_female","number_male","percent_male","number_am_ind","percent_am_ind","number_asian","percent_asian","number_black","percent_black","number_hispanic","percent_hispanic","number_white","percent_white"
"2000","32871","01","0714","","03","Elem      ","N","Elmbrook","","Elementary School Type/ Prek-12","3065",1478,"48.221800                     ",1587,"51.778100                     ",3,"0.097800                      ",157,"5.122300                      ",133,"4.339300                      ",50,"1.631300                      ",2722,"88.809100                     "
"2000","32871","01","0714","","03","Mid/Jr Hi ","N","Elmbrook","","Middle/Junior High School Type/ Prek-12","1727",852,"49.334100                     ",875,"50.665800                     ",2,"0.115800                      ",115,"6.658900                      ",91,"5.269200                      ",23,"1.331700                      ",1496,"86.624200                     "
"2000","32871","01","0714","","03","High      ","N","Elmbrook","","High School Type/ PreK-12","2657",1309,"49.266000                     ",1348,"50.733900                     ",3,"0.112900                      ",137,"5.156100                      ",139,"5.231400                      ",39,"1.467800                      ",2339,"88.031600                     "
"2000","32871","01","0714","","03","El/Sec    ","N","Elmbrook","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","32871","01","0714","","03","Summary   ","N","Elmbrook","","Grades PreK-12","7449",3639,"48.852100                     ",3810,"51.147800                     ",8,"0.107300                      ",409,"5.490600                      ",363,"4.873100                      ",112,"1.503500                      ",6557,"88.025200                     "
"2000","30951","01","0714","0020","04","High      ","N","Elmbrook","Central Hi","Grades PreK-12","1308",647,"49.464800                     ",661,"50.535100                     ",1,"0.076400                      ",73,"5.581000                      ",54,"4.128400                      ",24,"1.834800                      ",1156,"88.379200                     "
"2000","30918","01","0714","0040","04","Elem      ","N","Elmbrook","Brookfield El","Grades PreK-12","429",212,"49.417200                     ",217,"50.582700                     ",1,"0.233100                      ",30,"6.993000                      ",24,"5.594400                      ",7,"1.631700                      ",367,"85.547700                     "
"2000","30952","01","0714","0060","04","High      ","N","Elmbrook","East Hi","Grades PreK-12","1266",627,"49.526000                     ",639,"50.473900                     ",2,"0.157900                      ",61,"4.818300                      ",76,"6.003100                      ",11,"0.868800                      ",1116,"88.151600                     "
"2000","30953","01","0714","0080","04","Elem      ","N","Elmbrook","Burleigh El","Grades PreK-12","774",330,"42.635600                     ",444,"57.364300                     ",2,"0.258300                      ",53,"6.847500                      ",26,"3.359100                      ",13,"1.679500                      ",680,"87.855200                     "
"2000","30954","01","0714","0100","04","Elem      ","N","Elmbrook","Dixon El","Grades PreK-12","424",215,"50.707500                     ",209,"49.292400                     ",0,"0.000000                      ",10,"2.358400                      ",20,"4.716900                      ",3,"0.707500                      ",391,"92.216900                     "
"2000","30829","01","0714","0150","04","Mid/Jr Hi ","N","Elmbrook","Pilgrim Park Mid","Grades PreK-12","818",393,"48.044000                     ",425,"51.955900                     ",1,"0.122200                      ",40,"4.889900                      ",41,"5.012200                      ",7,"0.855700                      ",729,"89.119800                     "
"2000","30919","01","0714","0160","04","High      ","N","Elmbrook","Fairview South","Grades PreK-12","83",35,"42.168600                     ",48,"57.831300                     ",0,"0.000000                      ",3,"3.614400                      ",9,"10.843300                     ",4,"4.819200                      ",67,"80.722800                     "
"2000","30920","01","0714","0170","04","Elem      ","N","Elmbrook","Hillside El","Grades PreK-12","387",191,"49.354000                     ",196,"50.645900                     ",0,"0.000000                      ",11,"2.842300                      ",19,"4.909500                      ",1,"0.258300                      ",356,"91.989600                     "
"2000","32787","01","0714","0190","04","Elem      ","N","Elmbrook","Swanson El","Grades PreK-12","647",323,"49.922700                     ",324,"50.077200                     ",0,"0.000000                      ",39,"6.027800                      ",26,"4.018500                      ",20,"3.091100                      ",562,"86.862400                     "
"2000","30830","01","0714","0250","04","Elem      ","N","Elmbrook","Tonawanda El","Grades PreK-12","404",207,"51.237600                     ",197,"48.762300                     ",0,"0.000000                      ",14,"3.465300                      ",18,"4.455400                      ",6,"1.485100                      ",366,"90.594000                     "
"2000","30921","01","0714","0270","04","Mid/Jr Hi ","N","Elmbrook","Wisconsin Hills Mid","Grades PreK-12","909",459,"50.495000                     ",450,"49.504900                     ",1,"0.110000                      ",75,"8.250800                      ",50,"5.500500                      ",16,"1.760100                      ",767,"84.378400                     "
"2000","33067","01","0721","","03","Elem      ","N","Brown Deer","","Elementary School Type/ Prek-12","591",271,"45.854400                     ",320,"54.145500                     ",2,"0.338400                      ",29,"4.906900                      ",145,"24.534600                     ",16,"2.707200                      ",399,"67.512600                     "
"2000","33067","01","0721","","03","Mid/Jr Hi ","N","Brown Deer","","Middle/Junior High School Type/ Prek-12","572",255,"44.580400                     ",317,"55.419500                     ",1,"0.174800                      ",17,"2.972000                      ",160,"27.972000                     ",16,"2.797200                      ",378,"66.083900                     "
"2000","33067","01","0721","","03","High      ","N","Brown Deer","","High School Type/ PreK-12","580",272,"46.896500                     ",308,"53.103400                     ",5,"0.862000                      ",13,"2.241300                      ",110,"18.965500                     ",12,"2.068900                      ",440,"75.862000                     "
"2000","33067","01","0721","","03","El/Sec    ","N","Brown Deer","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","33067","01","0721","","03","Summary   ","N","Brown Deer","","Grades PreK-12","1743",798,"45.783100                     ",945,"54.216800                     ",8,"0.458900                      ",59,"3.384900                      ",415,"23.809500                     ",44,"2.524300                      ",1217,"69.822100                     "
"2000","31920","01","0721","0040","04","High      ","N","Brown Deer","Brown Deer Hi","Grades PreK-12","580",272,"46.896500                     ",308,"53.103400                     ",5,"0.862000                      ",13,"2.241300                      ",110,"18.965500                     ",12,"2.068900                      ",440,"75.862000                     "
"2000","31921","01","0721","0060","04","Mid/Jr Hi ","N","Brown Deer","Brown Deer Mid","Grades PreK-12","572",255,"44.580400                     ",317,"55.419500                     ",1,"0.174800                      ",17,"2.972000                      ",160,"27.972000                     ",16,"2.797200                      ",378,"66.083900                     "
"2000","31922","01","0721","0080","04","Elem      ","N","Brown Deer","Dean El","Grades PreK-12","337",151,"44.807100                     ",186,"55.192800                     ",1,"0.296700                      ",11,"3.264000                      ",83,"24.629000                     ",11,"3.264000                      ",231,"68.545900                     "
"2000","31923","01","0721","0090","04","Elem      ","N","Brown Deer","Algonquin El","Grades PreK-12","254",120,"47.244000                     ",134,"52.755900                     ",1,"0.393700                      ",18,"7.086600                      ",62,"24.409400                     ",5,"1.968500                      ",168,"66.141700                     "
"2000","32873","01","1015","","03","Elem      ","N","Cedarburg","","Elementary School Type/ Prek-12","1207",593,"49.130000                     ",614,"50.869900                     ",1,"0.082800                      ",6,"0.497100                      ",9,"0.745600                      ",9,"0.745600                      ",1182,"97.928700                     "
"2000","32873","01","1015","","03","Mid/Jr Hi ","N","Cedarburg","","Middle/Junior High School Type/ Prek-12","654",295,"45.107000                     ",359,"54.892900                     ",0,"0.000000                      ",6,"0.917400                      ",3,"0.458700                      ",4,"0.611600                      ",641,"98.012200                     "
"2000","32873","01","1015","","03","High      ","N","Cedarburg","","High School Type/ PreK-12","1012",494,"48.814200                     ",518,"51.185700                     ",1,"0.098800                      ",14,"1.383300                      ",3,"0.296400                      ",10,"0.988100                      ",984,"97.233200                     "
"2000","32873","01","1015","","03","El/Sec    ","N","Cedarburg","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","32873","01","1015","","03","Summary   ","N","Cedarburg","","Grades PreK-12","2873",1382,"48.103000                     ",1491,"51.896900                     ",2,"0.069600                      ",26,"0.904900                      ",15,"0.522100                      ",23,"0.800500                      ",2807,"97.702700                     "
"2000","30960","01","1015","0020","04","High      ","N","Cedarburg","Cedarburg Hi","Grades PreK-12","1012",494,"48.814200                     ",518,"51.185700                     ",1,"0.098800                      ",14,"1.383300                      ",3,"0.296400                      ",10,"0.988100                      ",984,"97.233200                     "
"2000","30961","01","1015","0070","04","Elem      ","N","Cedarburg","Parkview El","Grades PreK-12","443",205,"46.275300                     ",238,"53.724600                     ",0,"0.000000                      ",3,"0.677200                      ",0,"0.000000                      ",0,"0.000000                      ",440,"99.322700                     "
"2000","30962","01","1015","0075","04","Elem      ","N","Cedarburg","Westlawn El","Grades PreK-12","298",150,"50.335500                     ",148,"49.664400                     ",1,"0.335500                      ",2,"0.671100                      ",6,"2.013400                      ",4,"1.342200                      ",285,"95.637500                     "
"2000","30963","01","1015","0090","04","Elem      ","N","Cedarburg","Thorson El","Grades PreK-12","466",238,"51.072900                     ",228,"48.927000                     ",0,"0.000000                      ",1,"0.214500                      ",3,"0.643700                      ",5,"1.072900                      ",457,"98.068600                     "
"2000","30964","01","1015","0100","04","Mid/Jr Hi ","N","Cedarburg","Webster Mid","Grades PreK-12","654",295,"45.107000                     ",359,"54.892900                     ",0,"0.000000                      ",6,"0.917400                      ",3,"0.458700                      ",4,"0.611600                      ",641,"98.012200                     "
"2000","32842","01","1253","","03","Elem      ","N","Cudahy","","Elementary School Type/ Prek-12","1626",767,"47.170900                     ",859,"52.829000                     ",38,"2.337000                      ",58,"3.567000                      ",45,"2.767500                      ",116,"7.134000                      ",1369,"84.194300                     "
"2000","32842","01","1253","","03","Mid/Jr Hi ","N","Cudahy","","Middle/Junior High School Type/ Prek-12","417",214,"51.318900                     ",203,"48.681000                     ",4,"0.959200                      ",28,"6.714600                      ",25,"5.995200                      ",29,"6.954400                      ",331,"79.376400                     "
"2000","32842","01","1253","","03","High      ","N","Cudahy","","High School Type/ PreK-12","902",442,"49.002200                     ",460,"50.997700                     ",10,"1.108600                      ",43,"4.767100                      ",40,"4.434500                      ",58,"6.430100                      ",751,"83.259400                     "
"2000","32842","01","1253","","03","El/Sec    ","N","Cudahy","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","32842","01","1253","","03","Summary   ","N","Cudahy","","Grades PreK-12","2945",1423,"48.319100                     ",1522,"51.680800                     ",52,"1.765700                      ",129,"4.380300                      ",110,"3.735100                      ",203,"6.893000                      ",2451,"83.225800                     "
"2000","30806","01","1253","0022","04","Mid/Jr Hi ","N","Cudahy","Cudahy Mid","Grades PreK-12","417",214,"51.318900                     ",203,"48.681000                     ",4,"0.959200                      ",28,"6.714600                      ",25,"5.995200                      ",29,"6.954400                      ",331,"79.376400                     "
"2000","30807","01","1253","0040","04","High      ","N","Cudahy","Cudahy Hi","Grades PreK-12","902",442,"49.002200                     ",460,"50.997700                     ",10,"1.108600                      ",43,"4.767100                      ",40,"4.434500                      ",58,"6.430100                      ",751,"83.259400                     "
"2000","30808","01","1253","0050","04","Elem      ","N","Cudahy","Mitchell El","Grades PreK-12","363",166,"45.730000                     ",197,"54.269900                     ",5,"1.377400                      ",14,"3.856700                      ",6,"1.652800                      ",18,"4.958600                      ",320,"88.154200                     "
"2000","30809","01","1253","0060","04","Elem      ","N","Cudahy","Jones El","Grades PreK-12","192",85,"44.270800                     ",107,"55.729100                     ",2,"1.041600                      ",8,"4.166600                      ",1,"0.520800                      ",11,"5.729100                      ",170,"88.541600                     "
"2000","30810","01","1253","0080","04","Elem      ","N","Cudahy","Lincoln El","Grades PreK-12","414",206,"49.758400                     ",208,"50.241500                     ",10,"2.415400                      ",12,"2.898500                      ",17,"4.106200                      ",22,"5.314000                      ",353,"85.265700                     "
"2000","30811","01","1253","0120","04","Elem      ","N","Cudahy","Parkview El","Grades PreK-12","360",181,"50.277700                     ",179,"49.722200                     ",8,"2.222200                      ",5,"1.388800                      ",14,"3.888800                      ",39,"10.833300                     ",294,"81.666600                     "
"2000","31694","01","1253","0140","04","Elem      ","N","Cudahy","Kosciuszko El","Grades PreK-12","297",129,"43.434300                     ",168,"56.565600                     ",13,"4.377100                      ",19,"6.397300                      ",7,"2.356900                      ",26,"8.754200                      ",232,"78.114400                     "
"2000","33061","01","1376","","03","Elem      ","N","Kettle Moraine","","Elementary School Type/ Prek-12","1802",863,"47.891200                     ",939,"52.108700                     ",6,"0.332900                      ",17,"0.943300                      ",9,"0.499400                      ",16,"0.887900                      ",1754,"97.336200                     "
"2000","33061","01","1376","","03","Mid/Jr Hi ","N","Kettle Moraine","","Middle/Junior High School Type/ Prek-12","1050",488,"46.476100                     ",562,"53.523800                     ",0,"0.000000                      ",9,"0.857100                      ",2,"0.190400                      ",14,"1.333300                      ",1025,"97.619000                     "
"2000","33061","01","1376","","03","High      ","N","Kettle Moraine","","High School Type/ PreK-12","1478",693,"46.887600                     ",785,"53.112300                     ",3,"0.202900                      ",11,"0.744200                      ",0,"0.000000                      ",25,"1.691400                      ",1439,"97.361200                     "
"2000","33061","01","1376","","03","El/Sec    ","N","Kettle Moraine","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","33061","01","1376","","03","Summary   ","N","Kettle Moraine","","Grades PreK-12","4330",2044,"47.205500                     ",2286,"52.794400                     ",9,"0.207800                      ",37,"0.854500                      ",11,"0.254000                      ",55,"1.270200                      ",4218,"97.413300                     "
"2000","30897","01","1376","0040","04","Elem      ","N","Kettle Moraine","Cushing El","Grades PreK-12","542",253,"46.678900                     ",289,"53.321000                     ",1,"0.184500                      ",3,"0.553500                      ",3,"0.553500                      ",0,"0.000000                      ",535,"98.708400                     "
"2000","30817","01","1376","0060","04","Elem      ","N","Kettle Moraine","Dousman El","Grades PreK-12","500",247,"49.400000                     ",253,"50.600000                     ",2,"0.400000                      ",5,"1.000000                      ",0,"0.000000                      ",11,"2.200000                      ",482,"96.400000                     "
"2000","31801","01","1376","0120","04","High      ","N","Kettle Moraine","Kettle Moraine Hi","Grades PreK-12","1478",693,"46.887600                     ",785,"53.112300                     ",3,"0.202900                      ",11,"0.744200                      ",0,"0.000000                      ",25,"1.691400                      ",1439,"97.361200                     "
"2000","30818","01","1376","0140","04","Mid/Jr Hi ","N","Kettle Moraine","Kettle Moraine Mid","Grades PreK-12","1050",488,"46.476100                     ",562,"53.523800                     ",0,"0.000000                      ",9,"0.857100                      ",2,"0.190400                      ",14,"1.333300                      ",1025,"97.619000                     "
"2000","30835","01","1376","0160","04","Elem      ","N","Kettle Moraine","Magee El","Grades PreK-12","320",158,"49.375000                     ",162,"50.625000                     ",0,"0.000000                      ",3,"0.937500                      ",1,"0.312500                      ",1,"0.312500                      ",315,"98.437500                     "
"2000","31800","01","1376","0240","04","Elem      ","N","Kettle Moraine","Wales El","Grades PreK-12","440",205,"46.590900                     ",235,"53.409000                     ",3,"0.681800                      ",6,"1.363600                      ",5,"1.136300                      ",4,"0.909000                      ",422,"95.909000                     "
"2000","32890","01","1890","","03","Elem      ","N","Fox Point J2","","Elementary School Type/ Prek-12","511",249,"48.727900                     ",262,"51.272000                     ",2,"0.391300                      ",21,"4.109500                      ",64,"12.524400                     ",7,"1.369800                      ",417,"81.604600                     "
"2000","32890","01","1890","","03","Mid/Jr Hi ","N","Fox Point J2","","Middle/Junior High School Type/ Prek-12","393",206,"52.417300                     ",187,"47.582600                     ",2,"0.508900                      ",11,"2.798900                      ",48,"12.213700                     ",6,"1.526700                      ",326,"82.951600                     "
"2000","32890","01","1890","","03","High      ","N","Fox Point J2","","High School Type/ PreK-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","32890","01","1890","","03","El/Sec    ","N","Fox Point J2","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","32890","01","1890","","03","Summary   ","N","Fox Point J2","","Grades PreK-12","904",455,"50.331800                     ",449,"49.668100                     ",4,"0.442400                      ",32,"3.539800                      ",112,"12.389300                     ",13,"1.438000                      ",743,"82.190200                     "
"2000","31062","01","1890","0020","04","Mid/Jr Hi ","N","Fox Point J2","Bayside Mid","Grades PreK-12","393",206,"52.417300                     ",187,"47.582600                     ",2,"0.508900                      ",11,"2.798900                      ",48,"12.213700                     ",6,"1.526700                      ",326,"82.951600                     "
