"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_K-12","number_female","percent_female","number_male","percent_male","number_am_ind","percent_am_ind","number_asian","percent_asian","number_black","percent_black","number_hispanic","percent_hispanic","number_white","percent_white"
"2006","00838","01","0714","","03","High Schools","N","Elmbrook","","High Schools","2791",1364,48.871300,1427,51.128600,2,.071600,155,5.553500,121,4.335300,58,2.078100,2455,87.961300
"2006","00838","01","0714","","03","Mid/Jr Hi Schools","N","Elmbrook","","Mid/Jr Hi Schools","1778",859,48.312700,919,51.687200,5,.281200,127,7.142800,83,4.668100,42,2.362200,1521,85.545500
"2006","00838","01","0714","","03","Elem. Schools","N","Elmbrook","","Elem. Schools","3067",1497,48.809900,1570,51.190000,5,.163000,274,8.933800,173,5.640600,76,2.477900,2539,82.784400
"2006","00838","01","0714","","03","El/Sec Combined Schls","N","Elmbrook","","El/Sec Combined Schls","20",7,35.000000,13,65.000000,0,.000000,2,10.000000,1,5.000000,1,5.000000,16,80.000000
"2006","00838","01","0714","","03","Summary","N","Elmbrook","","Summary","7656",3727,48.680700,3929,51.319200,12,.156700,558,7.288400,378,4.937300,177,2.311900,6531,85.305600
"2006","00830","01","0714","0020","04","High Schools","N","Elmbrook","Central High","High Schools","1406",688,48.933100,718,51.066800,0,.000000,79,5.618700,44,3.129400,24,1.706900,1259,89.544800
"2006","01559","01","0714","0040","04","Elem. Schools","N","Elmbrook","Brookfield Elementary","Elem. Schools","457",243,53.172800,214,46.827100,0,.000000,49,10.722100,30,6.564500,14,3.063400,364,79.649800
"2006","00831","01","0714","0060","04","High Schools","N","Elmbrook","East High","High Schools","1385",676,48.808600,709,51.191300,2,.144400,76,5.487300,77,5.559500,34,2.454800,1196,86.353700
"2006","00832","01","0714","0080","04","Elem. Schools","N","Elmbrook","Burleigh Elementary","Elem. Schools","783",365,46.615500,418,53.384400,2,.255400,67,8.556800,45,5.747100,17,2.171100,652,83.269400
"2006","00833","01","0714","0100","04","Elem. Schools","N","Elmbrook","Dixon Elementary","Elem. Schools","444",204,45.945900,240,54.054000,1,.225200,37,8.333300,28,6.306300,12,2.702700,366,82.432400
"2006","02866","01","0714","0150","04","Mid/Jr Hi Schools","N","Elmbrook","Pilgrim Park Middle","Mid/Jr Hi Schools","885",413,46.666600,472,53.333300,4,.451900,53,5.988700,45,5.084700,18,2.033800,765,86.440600
"2006","01560","01","0714","0160","04","El/Sec Combined Schls","N","Elmbrook","Fairview South","El/Sec Combined Schls","20",7,35.000000,13,65.000000,0,.000000,2,10.000000,1,5.000000,1,5.000000,16,80.000000
"2006","01561","01","0714","0170","04","Elem. Schools","N","Elmbrook","Hillside Elementary","Elem. Schools","381",178,46.719100,203,53.280800,0,.000000,32,8.398900,21,5.511800,6,1.574800,322,84.514400
"2006","31108","01","0714","0190","04","Elem. Schools","N","Elmbrook","Swanson Elementary","Elem. Schools","611",310,50.736400,301,49.263500,2,.327300,68,11.129200,29,4.746300,19,3.109600,493,80.687300
"2006","02867","01","0714","0250","04","Elem. Schools","N","Elmbrook","Tonawanda Elementary","Elem. Schools","391",197,50.383600,194,49.616300,0,.000000,21,5.370800,20,5.115000,8,2.046000,342,87.468000
"2006","01562","01","0714","0270","04","Mid/Jr Hi Schools","N","Elmbrook","Wisconsin Hills Middle","Mid/Jr Hi Schools","893",446,49.944000,447,50.055900,1,.111900,74,8.286600,38,4.255300,24,2.687500,756,84.658400
"2006","05422","01","0721","","03","High Schools","N","Brown Deer","","High Schools","698",308,44.126000,390,55.873900,4,.573000,39,5.587300,252,36.103100,14,2.005700,389,55.730600
"2006","05422","01","0721","","03","Mid/Jr Hi Schools","N","Brown Deer","","Mid/Jr Hi Schools","593",279,47.048900,314,52.951000,3,.505900,44,7.419800,272,45.868400,25,4.215800,249,41.989800
"2006","05422","01","0721","","03","Elem. Schools","N","Brown Deer","","Elem. Schools","526",249,47.338400,277,52.661500,5,.950500,46,8.745200,174,33.079800,25,4.752800,276,52.471400
"2006","05422","01","0721","","03","El/Sec Combined Schls","N","Brown Deer","","El/Sec Combined Schls","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2006","05422","01","0721","","03","Summary","N","Brown Deer","","Summary","1817",836,46.009900,981,53.990000,12,.660400,129,7.099600,698,38.414900,64,3.522200,914,50.302600
"2006","05406","01","0721","0040","04","High Schools","N","Brown Deer","Brown Deer High","High Schools","698",308,44.126000,390,55.873900,4,.573000,39,5.587300,252,36.103100,14,2.005700,389,55.730600
"2006","05407","01","0721","0060","04","Mid/Jr Hi Schools","N","Brown Deer","Brown Deer Middle","Mid/Jr Hi Schools","593",279,47.048900,314,52.951000,3,.505900,44,7.419800,272,45.868400,25,4.215800,249,41.989800
"2006","05408","01","0721","0080","04","Elem. Schools","N","Brown Deer","Dean Elementary","Elem. Schools","298",149,50.000000,149,50.000000,2,.671100,25,8.389200,117,39.261700,12,4.026800,142,47.651000
"2006","05409","01","0721","0090","04","Elem. Schools","N","Brown Deer","Algonquin Elementary","Elem. Schools","228",100,43.859600,128,56.140300,3,1.315700,21,9.210500,57,25.000000,13,5.701700,134,58.771900
"2006","71509","01","0721","9200","4C","Mid/Jr Hi Schools","Y","Brown Deer","Passage Middle School","Mid/Jr Hi Schools","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2006","00937","01","1015","","03","High Schools","N","Cedarburg","","High Schools","1182",590,49.915300,592,50.084600,0,.000000,16,1.353600,7,.592200,11,.930600,1148,97.123500
"2006","00937","01","1015","","03","Mid/Jr Hi Schools","N","Cedarburg","","Mid/Jr Hi Schools","695",368,52.949600,327,47.050300,0,.000000,9,1.294900,6,.863300,7,1.007100,673,96.834500
"2006","00937","01","1015","","03","Elem. Schools","N","Cedarburg","","Elem. Schools","1248",571,45.753200,677,54.246700,5,.400600,16,1.282000,14,1.121700,10,.801200,1203,96.394200
"2006","00937","01","1015","","03","El/Sec Combined Schls","N","Cedarburg","","El/Sec Combined Schls","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2006","00937","01","1015","","03","Summary","N","Cedarburg","","Summary","3125",1529,48.928000,1596,51.072000,5,.160000,41,1.312000,27,.864000,28,.896000,3024,96.768000
"2006","00926","01","1015","0020","04","High Schools","N","Cedarburg","Cedarburg High","High Schools","1182",590,49.915300,592,50.084600,0,.000000,16,1.353600,7,.592200,11,.930600,1148,97.123500
"2006","00927","01","1015","0070","04","Elem. Schools","N","Cedarburg","Parkview Elementary","Elem. Schools","437",194,44.393500,243,55.606400,3,.686400,8,1.830600,5,1.144100,3,.686400,418,95.652100
"2006","00928","01","1015","0075","04","Elem. Schools","N","Cedarburg","Westlawn Elementary","Elem. Schools","321",152,47.352000,169,52.647900,2,.623000,4,1.246100,6,1.869100,2,.623000,307,95.638600
"2006","00929","01","1015","0090","04","Elem. Schools","N","Cedarburg","Thorson Elementary","Elem. Schools","490",225,45.918300,265,54.081600,0,.000000,4,.816300,3,.612200,5,1.020400,478,97.551000
"2006","00930","01","1015","0100","04","Mid/Jr Hi Schools","N","Cedarburg","Webster Middle","Mid/Jr Hi Schools","695",368,52.949600,327,47.050300,0,.000000,9,1.294900,6,.863300,7,1.007100,673,96.834500
"2006","02684","01","1253","","03","High Schools","N","Cudahy","","High Schools","939",435,46.325800,504,53.674100,28,2.981800,40,4.259800,37,3.940300,98,10.436600,736,78.381200
"2006","02684","01","1253","","03","Mid/Jr Hi Schools","N","Cudahy","","Mid/Jr Hi Schools","405",185,45.679000,220,54.320900,13,3.209800,13,3.209800,13,3.209800,56,13.827100,310,76.543200
"2006","02684","01","1253","","03","Elem. Schools","N","Cudahy","","Elem. Schools","1547",749,48.416200,798,51.583700,21,1.357400,24,1.551300,76,4.912700,216,13.962500,1210,78.215900
"2006","02684","01","1253","","03","El/Sec Combined Schls","N","Cudahy","","El/Sec Combined Schls","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2006","02684","01","1253","","03","Summary","N","Cudahy","","Summary","2891",1369,47.353800,1522,52.646100,62,2.144500,77,2.663400,126,4.358300,370,12.798300,2256,78.035200
"2006","02673","01","1253","0022","04","Mid/Jr Hi Schools","N","Cudahy","Cudahy Middle","Mid/Jr Hi Schools","405",185,45.679000,220,54.320900,13,3.209800,13,3.209800,13,3.209800,56,13.827100,310,76.543200
"2006","02674","01","1253","0040","04","High Schools","N","Cudahy","Cudahy High","High Schools","939",435,46.325800,504,53.674100,28,2.981800,40,4.259800,37,3.940300,98,10.436600,736,78.381200
"2006","02675","01","1253","0050","04","Elem. Schools","N","Cudahy","Mitchell Elementary","Elem. Schools","306",152,49.673200,154,50.326700,2,.653500,2,.653500,8,2.614300,41,13.398600,253,82.679700
"2006","02676","01","1253","0060","04","Elem. Schools","N","Cudahy","Jones Elementary","Elem. Schools","213",100,46.948300,113,53.051600,0,.000000,0,.000000,9,4.225300,16,7.511700,188,88.262900
"2006","02677","01","1253","0080","04","Elem. Schools","N","Cudahy","Lincoln Elementary","Elem. Schools","387",188,48.578800,199,51.421100,7,1.808700,8,2.067100,11,2.842300,48,12.403100,313,80.878500
"2006","02678","01","1253","0120","04","Elem. Schools","N","Cudahy","Park View Elementary","Elem. Schools","281",138,49.110300,143,50.889600,7,2.491100,13,4.626300,27,9.608500,42,14.946600,192,68.327400
"2006","39557","01","1253","0140","04","Elem. Schools","N","Cudahy","Kosciuszko Elementary","Elem. Schools","360",171,47.500000,189,52.500000,5,1.388800,1,.277700,21,5.833300,69,19.166600,264,73.333300
"2006","71510","01","1253","9200","4C","Mid/Jr Hi Schools","Y","Cudahy","Passage Middle School","Mid/Jr Hi Schools","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2006","71539","01","1253","9801","4C","High Schools","Y","Cudahy","Connects Learning Center","High Schools","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2006","03813","01","1376","","03","High Schools","N","Kettle Moraine","","High Schools","1483",693,46.729600,790,53.270300,4,.269700,21,1.416000,13,.876600,21,1.416000,1424,96.021500
"2006","03813","01","1376","","03","Mid/Jr Hi Schools","N","Kettle Moraine","","Mid/Jr Hi Schools","1027",519,50.535500,508,49.464400,5,.486800,8,.778900,10,.973700,12,1.168400,992,96.592000
"2006","03813","01","1376","","03","Elem. Schools","N","Kettle Moraine","","Elem. Schools","1904",948,49.789900,956,50.210000,8,.420100,18,.945300,10,.525200,41,2.153300,1827,95.955800
"2006","03813","01","1376","","03","El/Sec Combined Schls","N","Kettle Moraine","","El/Sec Combined Schls","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2006","03813","01","1376","","03","Summary","N","Kettle Moraine","","Summary","4414",2160,48.935200,2254,51.064700,17,.385100,47,1.064700,33,.747600,74,1.676400,4243,96.125900
"2006","01074","01","1376","0040","04","Elem. Schools","N","Kettle Moraine","Cushing Elementary","Elem. Schools","496",237,47.782200,259,52.217700,4,.806400,6,1.209600,3,.604800,8,1.612900,475,95.766100
"2006","02775","01","1376","0060","04","Elem. Schools","N","Kettle Moraine","Dousman Elementary","Elem. Schools","591",294,49.746100,297,50.253800,2,.338400,8,1.353600,3,.507600,16,2.707200,562,95.093000
"2006","03816","01","1376","0120","04","High Schools","N","Kettle Moraine","Kettle Moraine High","High Schools","1483",693,46.729600,790,53.270300,4,.269700,21,1.416000,13,.876600,21,1.416000,1424,96.021500
"2006","02776","01","1376","0140","04","Mid/Jr Hi Schools","N","Kettle Moraine","Kettle Moraine Middle","Mid/Jr Hi Schools","1027",519,50.535500,508,49.464400,5,.486800,8,.778900,10,.973700,12,1.168400,992,96.592000
"2006","02937","01","1376","0160","04","Elem. Schools","N","Kettle Moraine","Magee Elementary","Elem. Schools","277",149,53.790600,128,46.209300,0,.000000,0,.000000,2,.722000,9,3.249000,266,96.028800
"2006","03811","01","1376","0240","04","Elem. Schools","N","Kettle Moraine","Wales Elementary","Elem. Schools","540",268,49.629600,272,50.370300,2,.370300,4,.740700,2,.370300,8,1.481400,524,97.037000
"2006","05147","01","1890","","03","High Schools","N","Fox Point J2","","High Schools","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2006","05147","01","1890","","03","Mid/Jr Hi Schools","N","Fox Point J2","","Mid/Jr Hi Schools","408",191,46.813700,217,53.186200,1,.245000,12,2.941100,51,12.500000,5,1.225400,339,83.088200
"2006","05147","01","1890","","03","Elem. Schools","N","Fox Point J2","","Elem. Schools","546",269,49.267300,277,50.732600,2,.366300,30,5.494500,54,9.890100,9,1.648300,451,82.600700
"2006","05147","01","1890","","03","El/Sec Combined Schls","N","Fox Point J2","","El/Sec Combined Schls","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2006","05147","01","1890","","03","Summary","N","Fox Point J2","","Summary","954",460,48.218000,494,51.781900,3,.314400,42,4.402500,105,11.006200,14,1.467500,790,82.809200
"2006","05119","01","1890","0020","04","Mid/Jr Hi Schools","N","Fox Point J2","Bayside Middle","Mid/Jr Hi Schools","408",191,46.813700,217,53.186200,1,.245000,12,2.941100,51,12.500000,5,1.225400,339,83.088200
"2006","05120","01","1890","0040","04","Elem. Schools","N","Fox Point J2","Stormonth Elementary","Elem. Schools","546",269,49.267300,277,50.732600,2,.366300,30,5.494500,54,9.890100,9,1.648300,451,82.600700
"2006","04732","01","1897","","03","High Schools","N","Maple Dale-Indian Hill","","High Schools","0",,.000000,,.000000,,.000000,,.000000,,.000000,,.000000,,.000000
"2006","04732","01","1897","","03","Mid/Jr Hi Schools","N","Maple Dale-Indian Hill","","Mid/Jr Hi Schools","327",157,48.012200,170,51.987700,2,.611600,30,9.174300,70,21.406700,12,3.669700,213,65.137600
