year,agency_key,district,agency_type,school,agency_name,contact_name,title,address_1,address_2,city,state,zip,ship_different,ship_address_1,ship_address_2,ship_city,ship_state,ship_zip,low_grade,high_grade,county,cesa,agency_master_key,parent_key,doa_code,nces_code,msa_code,locale_code,legal_name,district_name,name,update_date
2002,48361,2422,3,,Saint Croix Central Sch Dist,Daniel Woll,District Administrator,PO Box 118,Hammond WI 54015-0118,Hammond,WI,54015-0118,D,1295 Vine St,Hammond WI 54015-0118,Hammond,WI,54015-0118,E3,12,55,11,10150,48731,335,5506060,5120,8,SAINT CROIX CENTRAL,Saint Croix Central Sch Dist,Saint Croix Central,2/4/2003 10:01
2002,48362,2611,3,,Hudson Sch Dist,Ronnie Bernth,District Administrator,1401 Vine St,Hudson WI 54016-1880,Hudson,WI,54016-1880,,,,,,,E3,12,55,11,10168,48731,336,5506690,5120,3,HUDSON,Hudson Sch Dist,Hudson,7/2/2002 6:38
2002,48363,3962,3,,New Richmond Sch Dist,James A Wold,District Administrator,701 E 11th St,New Richmond WI 54017-2355,New Richmond,WI,54017-2355,,,,,,,E3,12,55,11,10197,48731,355,5510620,5120,3,NEW RICHMOND,New Richmond Sch Dist,New Richmond,11/13/2001 15:36
2002,48364,4165,3,,Osceola Sch Dist,Roger Kumlien,District Administrator,PO Box 128,Osceola WI 54020-0128,Osceola,WI,54020-0128,D,331 Middle School Dr,Osceola WI 54020,Osceola,WI,54020,E3,12,48,11,10224,48731,357,5511160,0,7,OSCEOLA,Osceola Sch Dist,Osceola,7/2/2002 11:11
2002,48365,602,3,,Bonduel Sch Dist,Peter Behnke,District Administrator,PO Box 310,Bonduel WI 54107,Bonduel,WI,54107,D,400 W Green Bay St,Bonduel WI 54107-9268,Bonduel,WI,54107-9268,E3,12,58,8,10429,48808,306,5501470,0,7,BONDUEL,Bonduel Sch Dist,Bonduel,7/1/2002 13:48
2002,48366,658,3,,Brillion Sch Dist,Jack Lewis,District Administrator,315 S Main St,Brillion WI 54110-1294,Brillion,WI,54110-1294,,,,,,,E3,12,8,7,10445,48756,305,5501680,460,4,BRILLION,Brillion Sch Dist,Brillion,7/1/2002 13:50
2002,48367,1169,3,,Coleman Sch Dist,Leslie Larmour,District Administrator,PO Box 259,Coleman WI 54112-0259,Coleman,WI,54112-0259,D,343 Highway 141 N,Coleman WI 54112,Coleman,WI,54112,E3,12,38,8,10467,48808,310,5502760,0,7,COLEMAN,Coleman Sch Dist,Coleman,7/1/2002 14:18
2002,48368,1232,3,,Crivitz Sch Dist,Thomas A Rossler,District Administrator,PO Box 130,Crivitz WI 54114-0130,Crivitz,WI,54114-0130,D,400 South Ave,Crivitz WI 54114,Crivitz,WI,54114,E3,12,38,8,10489,48808,370,5502970,0,7,CRIVITZ,Crivitz Sch Dist,Crivitz,7/1/2002 14:22
2002,48369,1414,3,,De Pere Sch Dist,Richard Yenchesky,District Administrator,1700 Chicago St,De Pere WI 54115-3499,De Pere,WI,54115-3499,,,,,,,E3,12,5,7,10528,48756,316,5503210,3080,4,DEPERE,De Pere Sch Dist,De Pere,7/1/2002 14:35
2002,48370,6328,3,,West De Pere Sch Dist,Lanny J Tibaldo,District Administrator,930 Oak St,De Pere WI 54115,De Pere,WI,54115,,,,,,,E4,12,5,7,10529,48756,385,5516320,3080,4,WEST DEPERE,West De Pere Sch Dist,West De Pere,7/2/2002 12:58
2002,48371,1855,3,,Florence Sch Dist,Gerald N Gerard,District Administrator,PO Box 440,Florence WI 54121-0440,Florence,WI,54121-0440,D,425 Olive Ave,Florence WI 54121,Florence,WI,54121,K4,12,19,8,10594,48808,325,5504650,0,7,FLORENCE,Florence Sch Dist,Florence,7/1/2002 15:28
2002,48372,2758,3,,Kaukauna Area Sch Dist,John Foster,District Administrator,112 Main Ave,Kaukauna WI 54130-2437,Kaukauna,WI,54130-2437,,,,,,,E3,12,44,6,10702,48790,342,5507290,460,4,KAUKAUNA AREA,Kaukauna Area Sch Dist,Kaukauna Area,7/2/2002 6:46
2002,48373,1953,3,,Freedom Area Sch Dist,Dave Moscinski,District Administrator,PO Box 1008,Freedom WI 54131,Freedom,WI,54131,D,N4021 County Road E,Freedom WI 54131,Freedom,WI,54131,E3,12,44,6,10732,48790,325,5504920,460,8,FREEDOM AREA,Freedom Area Sch Dist,Freedom Area,2/4/2003 10:01
2002,48374,3434,3,,Menominee Indian Sch Dist,Gary Besaw,District Administrator,PO Box 399,Keshena WI 54135-0399,Keshena,WI,54135-0399,D,Highway 47/55,Keshena WI 54135,Keshena,WI,54135,E3,12,72,8,10749,48808,350,5509070,0,7,MENOMINEE INDIAN,Menominee Indian Sch Dist,Menominee Indian,7/2/2002 7:21
2002,48375,2835,3,,Kimberly Area Sch Dist,Mel E Lightner,District Administrator,217 E Kimberly Ave,Kimberly WI 54136-1404,Kimberly,WI,54136-1404,,,,,,,E3,12,44,6,10789,48790,343,5507470,460,4,KIMBERLY AREA,Kimberly Area Sch Dist,Kimberly Area,7/2/2002 6:53
2002,48376,2961,3,,Lena Sch Dist,John Partenheimer,District Administrator,PO Box 48,Lena WI 54139-0048,Lena,WI,54139-0048,D,304 E Main St,Lena WI 54139,Lena,WI,54139,K4,12,42,8,10826,48808,345,5507860,0,7,LENA,Lena Sch Dist,Lena,7/2/2002 7:00
2002,48379,3129,3,,Little Chute Area Sch Dist,William Fitzpatrick,District Administrator,325 Meulemans St Ste A,Little Chute WI 54140-3300,Little Chute,WI,54140-3300,,,,,,,E3,12,44,6,10850,48790,345,5508160,460,4,LITTLE CHUTE AREA,Little Chute Area Sch Dist,Little Chute Area,7/2/2002 7:03
2002,48380,3311,3,,Marinette Sch Dist,Hollister G DeMotts,District Administrator,2139 Pierce Ave,Marinette WI 54143-3998,Marinette,WI,54143-3998,,,,,,,E3,12,38,8,10888,48808,350,5508700,0,6,MARINETTE,Marinette Sch Dist,Marinette,7/2/2002 7:13
2002,48381,3969,3,,Niagara Sch Dist,Jamie Skjeveland,District Administrator,700 Jefferson Ave,Niagara WI 54151-1221,Niagara,WI,54151-1221,,,,,,,E3,12,38,8,10952,48808,355,5510680,0,7,NIAGARA,Niagara Sch Dist,Niagara,7/2/2002 11:01
