distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,notes
99,2002,1,1,Harold,Chamberlin,784,1,0,,0,
99,2002,1,2,Richard,Pease,888,1,0,,0,
99,2002,1,3,Janet,Boddy,821,1,0,,0,
99,2003,1,4,Linda,Wormet,2384,1,0,,0,
99,2003,1,5,Patty,Brogan,2275,1,0,,0,
99,2003,1,6,Sherry,Baumgart,2309,1,0,,0,
99,2003,1,7,Mary,Gruber,1168,0,0,,0,
99,2004,1,8,Peter,Hickethier,949,1,0,,0,
99,2004,1,9,Gary,Olson,924,1,0,,0,
99,2004,1,10,Carole,Janssen,1057,1,0,,0,
99,2004,1,NA,Scatter,Scatter,21,0,0,,0,
99,2005,1,3,Janet,Boddy,1123,1,1,,0,
99,2005,1,1,Harold,Chamberlin,835,0,1,,0,
99,2005,1,2,Richard,Pease,1111,1,1,,0,
99,2005,1,11,James,Bays,1173,1,0,,0,
99,2006,1,6,Sherry,Baumgart,728,1,1,,0,
99,2006,1,12,Brenda,Rhinehart,715,1,0,,0,
99,2006,1,13,Julie,Roseberry,801,1,0,,0,
99,2006,1,14,Ronald,Boettcher,608,0,0,,0,
99,2007,1,14,Ronald,Boettcher,1028,0,0,,0,
99,2007,1,8,Peter,Hickethier,1104,1,1,,0,
99,2007,1,9,Gary,Olson,1134,1,1,,0,
99,2007,1,10,Carole,Janssen,1267,1,1,,0,
99,2007,1,15,Carole,Tolley,3,0,0,,1,
99,2007,1,16,John,Maybee,3,0,0,,1,
99,2008,1,11,James,Bays,1041,1,1,,0,
99,2008,1,2,Richard,Pease,1014,1,1,,0,
99,2008,1,14,Ronald,Boettcher,968,1,0,,0,
99,2008,1,3,Janet,Boddy,2,0,1,,1,
99,2008,1,NA,Scatter,Scatter,10,0,0,,1,
99,2009,1,13,Julie,Roseberry,1280,1,1,,0,
99,2009,1,12,Brenda,Rhinehart,1192,1,1,,0,
99,2009,1,6,Sherry,Baumgart,1237,1,1,,0,
99,2010,1,10,Carole,Janssen,702,1,1,,0,
99,2010,1,8,Peter,Hickethier,649,1,1,,0,
99,2010,1,9,Gary,Olson,497,0,1,,0,
99,2010,1,17,Randy,Billington,545,1,0,,0,
99,2011,1,11,James,Bays,1944,1,1,,0,
99,2011,1,2,Richard,Pease,1804,1,1,,0,
99,2011,1,14,Ronald,Boettcher,1764,1,1,,0,
99,2011,1,NA,Scatter,Scatter,113,0,0,,1,
99,2012,1,13,Julie,Roseberry,1475,1,1,,0,
99,2012,1,12,Brenda,Rhinehart,1406,1,1,,0,
99,2012,1,18,Pat,Pare,505,1,0,,0,
99,2012,1,19,Carla,Byrnes,149,0,0,,0,
99,2012,1,NA,Scatter,Scatter,41,0,0,,0,
