distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
147,2002,1,1,Diane,Barkmeier,2933,1,0,0,0,1,1,1,
147,2002,1,2,Richard,Pike,2934,1,0,0,0,1,1,1,
147,2002,1,3,Sharon,Fenlon,3135,1,0,0,0,1,1,1,
147,2002,1,NA,Scatter,,34,0,0,0,1,1,1,1,
147,2003,1,4,Jeffry,Knezel,7111,1,0,0,0,2,2,1,
147,2003,1,5,John,Mielke,9000,1,0,0,0,2,2,1,
147,2003,1,6,Kenneth,Sager,6221,0,1,1,0,2,2,1,
147,2003,1,7,Kay,Eggert,8101,1,0,0,0,2,2,1,
147,2003,1,NA,Scatter,,51,0,0,0,1,2,2,1,
147,2004,1,4,Jeffry,Knezel,9820,1,1,1,0,3,3,1,
147,2004,1,8,,Strauch,8396,1,1,1,0,3,3,1,
147,2004,1,9,,Van Asten,6629,0,0,0,0,3,3,1,
147,2004,1,NA,Scatter,,42,0,0,0,1,3,3,1,
147,2005,1,2,Richard,Pike,8709,0,1,1,0,4,4,1,
147,2005,1,1,Diane,Barkmeier,11097,1,1,1,0,4,4,1,
147,2005,1,10,,Jones,7734,0,0,0,0,4,4,1,
147,2005,1,3,Sharon,Fenlon,11845,1,1,1,0,4,4,1,
147,2005,1,NA,Scatter,,64,0,0,0,0,4,4,1,
147,2006,1,7,Kay,Eggert,12807,1,1,1,0,5,5,1,
147,2006,1,11,Julie,Baker,9538,0,0,0,0,5,5,1,
147,2006,1,5,John,Mielke,13440,1,1,1,0,5,5,1,
147,2006,1,12,,Brooker,6818,0,0,0,0,5,5,1,
147,2006,1,10,,Jones,5853,0,0,1,0,5,5,1,
147,2006,1,NA,Scatter,,101,0,0,0,1,5,5,1,
147,2007,1,11,Julie,Baker,6808,1,0,1,0,6,6,1,
147,2007,1,4,Jeffry,Knezel,6819,1,1,1,0,6,6,1,
147,2007,1,NA,Scatter,,121,0,0,0,1,6,6,1,
147,2008,1,3,Sharon,Fenlon,9351,1,1,1,0,7,7,1,
147,2008,1,1,Diane,Barkmeier,9037,1,1,1,0,7,7,1,
147,2008,1,13,Spencer,Rotzel,7795,1,0,0,0,7,7,1,
147,2009,1,7,Kay,Eggert,5553,1,1,1,0,8,8,1,
147,2009,1,5,John,Mielke,6578,1,1,1,0,8,8,1,
147,2010,1,11,Julie,Baker,3289,1,1,1,0,9,9,1,
147,2010,1,4,Jeffry,Knezel,3350,1,1,1,0,9,9,1,
147,2010,1,NA,Scatter,,116,0,0,0,1,9,9,1,
147,2011,1,13,Spencer,Rotzel,7396,0,1,1,0,10,10,1,
147,2011,1,3,Sharon,Fenlon,12008,1,1,1,0,10,10,1,
147,2011,1,1,Diane,Barkmeier,11340,1,1,1,0,10,10,1,
147,2011,1,14,John,Gosling,10384,1,0,0,0,10,10,1,
147,2011,1,NA,Scatter,,256,0,0,0,1,10,10,1,
147,2012,1,5,John,Mielke,12569,1,1,1,0,11,11,1,
147,2012,1,15,John,DeVantier,6045,0,0,0,0,11,11,1,
147,2012,1,7,Kay,Eggert,11484,1,1,1,0,11,11,1,
147,2012,1,NA,Scatter,,101,0,0,0,1,11,11,1,
