distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
154,2002,1,1,Jerald,Sorenson,339,1,0,0,0,1,1,1,
154,2002,1,2,Rick,Reuter,368,1,0,0,0,1,1,1,
154,2002,1,NA,Scatter,,10,0,0,0,1,1,1,1,
154,2003,1,3,Clarence,Pronschinske,505,1,1,1,0,2,2,1,
154,2003,1,4,Michael,Edmunds,494,1,0,0,0,2,2,1,
154,2003,1,NA,Scatter,,8,0,0,0,1,2,2,1,
154,2004,1,5,Cletus,Foegen,252,1,1,1,0,3,3,1,
154,2004,1,6,Laney,Bork,255,1,0,0,0,3,3,1,
154,2004,1,7,Loren,Wolfe,253,1,1,1,0,3,3,1,
154,2004,1,NA,Scatter,,5,0,0,0,1,3,3,1,
154,2005,1,8,Henry,Schultz,738,1,0,0,0,4,4,1,
154,2005,1,1,Jerald,Sorenson,679,1,1,1,0,4,4,1,
154,2005,1,NA,Scatter,,7,0,0,0,1,4,4,1,
154,2006,1,4,Michael,Edmunds,521,1,1,1,0,5,5,1,
154,2006,1,3,Clarence,Pronschinske,573,1,1,1,0,5,5,1,
154,2006,1,NA,Scatter,,7,0,0,0,1,5,5,1,
154,2007,1,7,Loren,Wolfe,521,1,1,1,0,6,6,1,
154,2007,1,6,Laney,Bork,507,1,1,1,0,6,6,1,
154,2007,1,9,Jane,Parker,213,0,0,0,0,6,6,1,
154,2007,1,5,Cletus,Fogen,511,1,1,1,0,6,6,1,
154,2007,1,NA,Scatter,,4,0,0,0,1,6,6,1,
154,2008,1,8,Henry,Schultz,587,1,1,1,0,7,7,1,
154,2008,1,1,Jerald,Sorenson,499,1,1,1,0,7,7,1,
154,2008,1,NA,Scatter,,5,0,0,0,1,7,7,1,
154,2009,1,4,Michael,Edmunds,517,1,1,1,0,8,8,1,
154,2009,1,10,Randy,Nilsestuen,383,1,0,0,0,8,8,1,
154,2009,1,11,Monica,Herman,367,0,0,0,0,8,8,1,
154,2009,1,3,Clarence,Pronschinske,335,0,1,1,0,8,8,1,
154,2009,1,NA,Scatter,,1,0,0,0,1,8,8,1,
154,2010,1,6,Laney,Bork,305,1,1,1,0,9,9,1,
154,2010,1,7,Loren,Wolfe,308,1,1,1,0,9,9,1,
154,2010,1,5,Cletus,Foegen,314,1,1,1,0,9,9,1,
154,2010,1,NA,Scatter,,9,0,0,0,1,9,9,1,
154,2011,1,1,Jerald,Sorenson,823,1,1,1,0,10,10,1,
154,2011,1,12,Scott,Schank,943,1,0,0,0,10,10,1,
154,2011,1,NA,Scatter,,41,0,0,0,1,10,10,1,
154,2012,1,4,Michael,Edmunds,614,1,1,1,0,12,11,1,
154,2012,1,10,Randy,Nilsestuen,614,1,1,1,0,12,11,1,
154,2012,1,NA,Scatter,,11,0,0,0,1,12,11,1,
