distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
2450,2003,1,1,Michael,Reed,1679,0,0,0,0,1,1,1,
2450,2003,1,2,Jack,Gutschenritter,1825,1,1,1,0,1,1,1,
2450,2003,1,3,Alfred,Zietlow,3125,1,1,1,0,2,2,0,
2450,2003,1,4,Robert,Rosch,2776,1,1,1,0,3,3,0,
2450,2003,1,NA,Scatter,,32,0,0,0,1,1,1,1,
2450,2004,1,5,Judie,Ristow,2272,1,1,1,0,4,4,0,
2450,2004,1,6,Susan,Schultz,2102,1,1,1,0,5,5,0,
2450,2004,1,7,John,Greidanus,2007,1,1,1,0,6,6,0,
2450,2004,1,NA,Scatter,,35,0,0,0,1,4,4,0,
2450,2005,2,8,Tim,Bodnar,342,1,0,0,0,7,7,1,
2450,2005,2,9,Bill,Budzien,265,0,0,0,0,7,7,1,
2450,2005,2,10,Michael,Kusch,334,0,0,0,0,7,7,1,
2450,2005,2,NA,Scatter,,5,0,0,0,1,7,7,1,
2450,2005,1,11,Joseph,LeBlanc,1833,1,1,1,0,8,8,0,
2450,2005,1,12,Craig,Thompson,1284,1,0,0,0,9,9,0,
2450,2005,1,13,Randy,Howell,806,0,0,0,0,9,9,0,
2450,2005,1,8,Tim,Bodnar,1191,0,1,1,0,7,7,1,
2450,2005,1,10,Michael,Kusch,1517,1,0,1,0,7,7,1,
2450,2005,1,NA,Scatter,,30,0,0,0,1,7,7,1,
2450,2006,1,2,Jack,Gutschenritter,1282,1,1,1,0,1,1,1,
2450,2006,1,3,Alfred,Zietlow,1236,1,1,1,0,2,2,0,
2450,2006,1,4,Robert,Rosch,1132,1,1,1,0,3,3,0,
2450,2006,1,NA,Scatter,,23,0,0,0,1,1,1,1,
2450,2007,1,5,Judie,Ristow,3037,1,1,1,0,4,4,0,
2450,2007,1,6,Susan,Schultz,2819,1,1,1,0,5,5,0,
2450,2007,1,14,Kent,Rice,1801,1,0,0,0,6,6,0,
2450,2007,1,15,Karen,Schairer,1257,0,0,0,0,6,6,0,
2450,2007,1,NA,Scatter,,34,0,0,0,1,6,6,0,
2450,2008,1,16,Dean,Dobbertin,1467,0,0,0,0,8,8,0,
2450,2008,1,11,Joseph,LeBlanc,1855,1,1,1,0,8,8,0,
2450,2008,1,12,Craig,Thompson,2949,1,1,1,0,9,9,0,
2450,2008,1,10,Michael,Kusch,3002,1,1,1,0,7,7,1,
2450,2008,1,NA,Scatter,,35,0,0,0,1,7,7,1,
2450,2009,1,17,Laura,Moranchek,1411,0,0,0,0,2,2,0,
2450,2009,1,3,Alfred,Zietlow,2475,1,1,1,0,2,2,0,
2450,2009,1,4,Robert,Rosch,2838,1,1,1,0,3,3,0,
2450,2009,1,18,Lynn,Rotolo-Johnson,1183,0,0,0,0,1,1,1,
2450,2009,1,2,Jack,Gutschenritter,2293,1,1,1,0,1,1,1,
2450,2009,1,NA,Scatter,,27,0,0,0,1,1,1,1,
2450,2010,1,19,Donna,Vrakas,1557,1,0,0,0,4,4,0,
2450,2010,1,20,Mary Beth,Eckels,1107,0,0,0,0,4,4,0,
2450,2010,1,6,Susan,Schultz,1993,1,1,1,0,5,5,0,
2450,2010,1,14,Kent,Rice,1942,1,1,1,0,6,6,0,
2450,2010,1,NA,Scatter,,26,0,0,0,1,5,5,1,
2450,2011,1,10,Michael,Kusch,7460,1,1,1,0,7,7,1,
2450,2011,1,12,Craig,Thompson,6883,1,1,1,0,9,9,0,
2450,2011,1,11,Joseph,LeBlanc,6937,1,1,1,0,8,8,0,
2450,2011,1,NA,Scatter,,79,0,0,0,1,10,10,1,
2450,2012,1,3,Alfred,Zietlow,5486,1,1,1,0,2,2,0,
2450,2012,1,4,Robert,Rosch,4876,1,1,1,0,3,3,0,
2450,2012,1,21,Tim,Langer,4919,1,0,0,0,1,1,1,
2450,2012,1,NA,Scatter,,89,0,0,0,1,1,1,1,
