distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
196,2002,1,1,Betsy,Weiler,561,1,0,0,0,1,1,1,
196,2002,1,2,Duane,Natzke,488,1,0,0,0,1,1,1,
196,2002,1,3,Kevin,Zubke,508,1,0,0,0,1,1,1,
196,2002,1,4,,Goodrich,14,0,0,0,1,1,1,1,
196,2002,1,NA,Scatter,,2,0,0,0,1,1,1,1,
196,2003,1,5,Robert,Peter,572,0,0,0,0,2,2,1,
196,2003,1,6,Lori,Haines,601,1,1,1,0,2,2,1,
196,2003,1,NA,Scatter,,14,0,0,0,1,2,2,1,
196,2004,1,7,Tammy,Zenner,358,1,1,1,0,3,3,1,
196,2004,1,8,Ed,Schmidt,315,1,1,1,0,3,3,1,
196,2004,1,NA,Scatter,,11,0,0,0,1,3,3,1,
196,2005,1,1,Betsy,Weiler,337,1,1,1,0,4,4,1,
196,2005,1,3,Kevin,Zubke,305,1,1,1,0,4,4,1,
196,2005,1,2,Duane,Natzke,303,1,1,1,0,4,4,1,
196,2005,1,NA,Scatter,,6,0,0,0,1,4,4,1,
196,2006,1,6,Lori,Haines,380,1,1,1,0,5,5,1,
196,2006,1,5,Robert,Peter,317,1,1,1,0,5,5,1,
196,2006,1,9,Sanford,Morse,262,0,0,0,0,5,5,1,
196,2006,1,NA,Scatter,,8,0,0,0,1,5,5,1,
196,2007,1,10,Rick,Guralski,513,1,0,0,0,6,6,1,
196,2007,1,11,Jon,Wagner,384,1,0,0,0,6,6,1,
196,2007,1,8,Ed,Schmidt,306,1,1,1,0,6,6,1,
196,2007,1,NA,Scatter,,3,0,0,0,1,6,6,1,
196,2008,1,8,Ed,Schmidt,264,1,1,1,0,7,7,1,
196,2008,1,3,Kevin,Zubke,244,1,1,1,0,7,7,1,
196,2008,1,1,Betsy,Weiler,230,1,1,1,0,7,7,1,
196,2008,1,NA,Scatter,,7,0,0,0,1,7,7,1,
196,2009,1,5,Robert,Peter,376,1,1,1,0,8,8,1,
196,2009,1,6,Lori,Haines,368,1,1,1,0,8,8,1,
196,2009,1,NA,Scatter,,14,0,0,0,1,8,8,1,
196,2010,1,11,Jon,Wagner,120,1,1,1,0,9,9,1,
196,2010,1,10,Rick,Guralski,118,1,1,1,0,9,9,1,
196,2010,1,NA,Scatter,,1,0,0,0,1,9,9,1,
196,2011,1,1,Betsy,Weiler,615,1,1,1,0,10,10,1,
196,2011,1,3,Kevin,Zubke,614,1,1,1,0,10,10,1,
196,2011,1,8,Ed,Schmidt,578,1,1,1,0,10,10,1,
196,2011,1,NA,Scatter,,23,0,0,0,1,10,10,1,
196,2012,1,5,Robert,Peter,293,0,1,1,0,11,11,1,
196,2012,1,12,Ken,Ellenbecker,435,1,0,0,0,11,11,1,
196,2012,1,6,Lori,Haines,358,1,1,1,0,11,11,1,
196,2012,1,NA,Scatter,,7,0,0,0,1,11,11,1,
