distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
231,2007,1,1,Mike,Bondarenko,536,1,1,1,0,1,1,1,
231,2007,1,2,John,Hinz,493,1,1,1,0,1,1,1,
231,2007,1,NA,Scatter,Scatter,4,0,0,0,1,1,1,1,
231,2008,1,3,Dustin,Klanderman,524,1,1,1,0,2,2,1,
231,2008,1,4,Todd,Graf,495,1,1,1,0,2,2,1,
231,2008,1,NA,Scatter,Scatter,12,0,0,0,1,2,2,1,
231,2009,1,5,Deb,Rasmussen,523,0,1,1,0,3,3,1,
231,2009,1,6,Thomas,Schumacher,512,0,1,1,0,3,3,1,
231,2009,1,7,Jody,Lindquist,613,1,0,0,0,3,3,1,
231,2009,1,8,Ann,Hilmanowske,633,1,0,0,0,3,3,1,
231,2009,1,9,Jeff,Campbell,659,1,1,1,0,3,3,1,
231,2009,1,NA,Scatter,Scatter,17,0,0,0,1,3,3,1,
231,2010,1,5,Deb,Rasmussen,354,1,1,1,0,4,4,1,
231,2010,1,10,Brian,Bedford,357,1,0,0,0,4,4,1,
231,2010,1,NA,Scatter,Scatter,9,0,0,0,1,4,4,1,
231,2011,1,3,Dustin,Klanderman,1277,1,1,1,0,5,5,1,
231,2011,1,4,Todd,Graf,1175,1,1,1,0,5,5,1,
231,2011,1,NA,Scatter,Scatter,11,0,0,0,1,5,5,1,
231,2012,1,7,Jody,Lindquist,959,1,1,1,0,6,6,1,
231,2012,1,8,Ann,Hilmanowske,942,1,1,1,0,6,6,1,
231,2012,1,9,Jeff,Campbell,897,1,1,1,0,6,6,1,
231,2012,1,NA,Scatter,Scatter,68,0,0,0,1,6,6,1,
