distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
315,2002,1,1,Linda,Brown,450,1,1,1,0,1,1,0,
315,2002,1,2,Bob,Nelson,522,1,0,0,0,2,2,0,
315,2002,1,3,Steven,Perosino,58,0,0,0,1,2,2,0,
315,2002,1,NA,Scatter,,2,0,0,0,1,2,2,0,
315,2003,1,4,James,Brown,520,1,1,1,0,3,3,0,
315,2003,1,5,Bob,Teisberg,559,1,1,1,0,4,4,0,
315,2003,1,6,Lawrence,Deragon,144,0,0,0,0,5,5,1,
315,2003,1,7,Donald,Jeffords,484,1,0,0,0,5,5,1,
315,2003,1,NA,Scatter,,15,0,0,0,1,5,5,1,
315,2004,1,8,Jean,Buffalo-Reyes,448,1,1,1,0,6,6,0,
315,2004,1,9,Tamara,Deragon,260,1,1,1,0,6,6,0,
315,2004,1,10,David,Curran,240,0,0,0,1,6,6,0,
315,2004,1,NA,Scatter,,24,0,0,0,1,6,6,0,
315,2005,1,11,Diane,Anderson,362,1,0,0,0,7,7,0,
315,2005,1,10,David,Curran,364,1,0,1,0,8,8,0,
315,2005,1,2,Bob,Nelson,408,1,1,1,0,9,9,0,
315,2005,1,12,Paul,Tribovich,381,1,0,0,0,10,10,0,
315,2005,1,NA,Scatter,,15,0,0,0,1,10,10,0,
315,2006,1,13,Jacki,Merila,578,1,0,0,0,11,11,0,
315,2006,1,14,Debbie,Knopf,621,1,0,0,0,12,12,0,
315,2006,1,7,Donald,Jeffords,617,1,1,1,0,13,13,1,
315,2006,1,NA,Scatter,,31,0,0,0,1,13,13,1,
315,2007,1,15,Cindy,Garrity,124,1,0,0,0,14,14,0,
315,2007,1,16,Brian,Goodwin,107,1,0,0,0,14,14,0,
315,2007,1,17,Seth,Morris,86,0,0,0,1,14,14,0,
315,2007,1,18,Mary,Duffy,76,0,0,0,1,14,14,0,
315,2007,1,19,Larry,Deragon,75,0,0,0,1,14,14,0,
315,2007,1,20,Midge,Montano,14,0,0,0,1,14,14,0,
315,2007,1,NA,Scatter,,25,0,0,0,1,14,14,0,
315,2008,1,2,Bob,Nelson,341,1,1,1,0,15,15,0,
315,2008,1,21,Dana,Noteboom,325,0,0,0,0,15,15,0,
315,2008,1,12,Paul,Tribovich,434,1,1,1,0,16,16,0,
315,2008,1,NA,Scatter,,27,0,0,0,1,16,16,0,
315,2009,1,13,Jacki,Merila,568,1,1,1,0,17,17,1,
315,2009,1,14,Debbie,Knopf,630,1,1,1,0,18,18,1,
315,2009,1,7,Donald,Jeffords,603,1,1,1,0,19,19,1,
315,2009,1,NA,Scatter,,58,0,0,0,1,19,19,1,
315,2010,1,15,Cindy,Garrity,328,1,1,1,0,20,20,0,
315,2010,1,22,Ray,DePerry,265,0,0,0,0,20,20,0,
315,2010,1,16,Brian,Goodwin,284,1,1,1,0,20,20,0,
315,2010,1,NA,Scatter,,42,0,0,0,1,20,20,0,
315,2011,1,23,Billie Jo,Johnson,834,1,0,0,0,21,21,1,
315,2011,1,24,Sean,Heckman,300,0,0,0,0,22,22,0,
315,2011,1,25,Craig,Hoopman,639,1,0,0,0,22,22,0,
315,2011,1,26,Jennifer,Leask,609,1,0,0,0,23,23,0,
315,2011,1,12,Paul,Tribovich,369,0,1,1,0,23,23,0,
315,2011,1,NA,Scatter,,51,0,0,0,1,23,23,0,
315,2012,1,23,Billie Jo,Johnson,667,1,1,1,0,24,24,1,
315,2012,1,27,Liz,Woodworth,615,1,0,0,0,25,25,0,
315,2012,1,14,Debbie,Knopf,610,1,1,1,0,26,26,0,
315,2012,1,NA,Scatter,,65,0,0,0,1,26,26,0,
