distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
336,2002,1,1,Mark,Killingsworth,2434,1,1,1,0,1,1,1,
336,2002,1,2,David,Uttech,2520,1,1,1,0,1,1,1,
336,2002,1,3,Laurie,Propst,2520,1,1,1,0,1,1,1,
336,2002,1,NA,Scatter,,25,0,0,0,1,1,1,1,
336,2003,1,4,Joseph,Militello Jr,1354,1,1,1,0,2,2,1,
336,2003,1,5,Kathryn,Pals,1266,1,1,1,0,2,2,1,
336,2003,1,6,Paul,Uttech,1276,1,1,1,0,2,2,1,
336,2003,1,NA,Scatter,,11,0,0,0,1,2,2,1,
336,2004,1,7,Gary,Spielman,3029,1,1,1,0,3,3,1,
336,2004,1,8,Bev,Beal-Loeck,3020,1,1,1,0,3,3,1,
336,2004,1,9,Bob ,Neuman,2929,1,1,1,0,3,3,1,
336,2004,1,NA,Scatter,,31,0,0,0,1,3,3,1,
336,2006,2,6,Paul,Uttech,980,1,1,1,0,4,4,1,
336,2006,2,14,Mark,Kirst,1568,1,0,0,0,4,4,1,
336,2006,2,10,Marge,Jorgensen,1607,1,0,0,0,4,4,1,
336,2006,2,12,Jim,Szopinski,559,1,0,0,0,4,4,1,
336,2006,2,13,Katherine,Berkvam,1391,1,0,0,0,4,4,1,
336,2006,2,11,Russell,Fortune,619,1,0,0,0,4,4,1,
336,2006,2,16,Jim,Skelly,348,0,0,0,0,4,4,1,
336,2006,2,15,John,Krause Jr.,419,1,0,0,0,4,4,1,
336,2006,2,NA,Scatter,,9,0,0,0,1,4,4,1,
336,2006,1,6,Paul,Uttech,2004,0,1,1,0,5,5,1,
336,2006,1,10,Marge,Jorgensen,2304,1,0,1,0,5,5,1,
336,2006,1,11,Russell,Fortune,1064,0,0,1,0,5,5,1,
336,2006,1,12,Jim,Szopinski,1153,0,0,1,0,5,5,1,
336,2006,1,13,Katherine,Berkvam,2009,1,0,1,0,5,5,1,
336,2006,1,14,Mark,Kirst,2429,1,0,1,0,5,5,1,
336,2006,1,15,John,Krause Jr.,234,0,0,1,0,5,5,1,
336,2006,1,NA,Scatter,,23,0,0,0,1,5,5,1,
336,2007,1,7,Gary,Spielman,1332,1,1,1,0,6,6,1,
336,2007,1,9,Bob,Neuman,1135,0,1,1,0,6,6,1,
336,2007,1,8,Bev,Beal-Loeck,1462,1,1,1,0,6,6,1,
336,2007,1,16,Jim,Skelly,1023,0,0,1,0,6,6,1,
336,2007,1,16,Nate,Dassler,1992,1,0,0,0,6,6,1,
336,2007,1,17,Jean,Hill,1529,1,0,0,0,6,6,1,
336,2007,1,NA,Scatter,,8,0,0,0,1,6,6,1,
336,2008,1,18,Kimberly,Darst,2099,1,0,0,0,7,7,1,
336,2008,1,19,Joanne,Tyjeski,2988,1,0,0,0,7,7,1,
336,2008,1,16,Jim,Skelly,1290,0,0,1,0,7,7,1,
336,2008,1,20,Mike,Cowan,1233,0,0,0,0,7,7,1,
336,2008,1,21,Lisa,Panzer,2445,1,0,0,0,7,7,1,
336,2008,1,28,Tom,Zeamer,1552,0,0,0,0,7,7,1,
336,2008,1,NA,Scatter,,18,0,0,0,1,7,7,1,
336,2009,1,10,Marge,Jorgensen,1341,1,1,1,0,8,8,1,
336,2009,1,22,Robert,Castro,534,0,0,0,0,8,8,1,
336,2009,1,23,Erin,Broome,935,0,0,0,0,8,8,1,
336,2009,1,7,Gary,Spielman,1161,1,1,1,0,8,8,1,
336,2009,1,24,Del,Yaroch,939,0,0,0,0,8,8,1,
336,2009,1,25,Daniel,Feuling,1076,1,0,0,0,8,8,1,
336,2009,1,NA,Scatter,,17,0,0,0,1,8,8,1,
336,2010,1,26,Chad,Prieve,1265,1,0,0,0,9,9,1,
336,2010,1,17,Jean,Hill,1253,1,1,1,0,9,9,1,
336,2010,1,8,Bev,Beal-Loeck,1262,1,1,1,0,9,9,1,
336,2010,1,NA,Scatter,,45,0,0,0,1,9,9,1,
336,2011,1,21,Lisa,Panzer,3064,1,1,1,0,10,10,1,
336,2011,1,27,Mickale,Carter,1927,0,0,0,0,10,10,1,
336,2011,1,18,Kimberly,Darst,2427,1,1,1,0,10,10,1,
336,2011,1,19,Joanne,Tyjeski,3408,1,1,1,0,10,10,1,
336,2011,1,NA,Scatter,,97,0,0,0,1,10,10,1,
336,2012,1,7,Gary,Spielman,2016,1,1,1,0,11,11,1,
336,2012,1,10,Marge,Jorgensen,1980,1,1,1,0,11,11,1,
336,2012,1,15,John,Krause Jr.,921,0,0,1,0,11,11,1,
336,2012,1,NA,Scatter,,489,0,0,0,1,11,11,1,
