distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
364,2002,1,1,Mike,Klein,290,1,1,1,0,1,1,1,
364,2002,1,2,Kevin,Bockhop,283,1,1,1,0,1,1,1,
364,2002,1,3,Sally,Carey,222,1,0,0,0,1,1,1,
364,2002,1,NA,Scatter,,86,0,0,0,1,1,1,1,
364,2003,1,4,Steven,Craven,268,1,1,1,0,2,2,1,1 year term
364,2003,1,5,Roger,Buss,145,0,0,0,0,2,2,1,
364,2003,1,6,Kay,Austin,329,1,1,1,0,2,2,1,
364,2003,1,7,Craig,Abing,245,0,0,0,0,2,2,1,
364,2003,1,8,Joe,Olthafer,271,1,0,0,0,2,2,1,
364,2003,1,NA,Scatter,,3,0,0,0,1,2,2,1,
364,2004,1,4,Steven,Craven,286,1,1,1,0,3,3,1,
364,2004,1,5,Roger,Buss,154,0,0,1,0,3,3,1,
364,2004,1,7,Craig,Abing,274,1,0,1,0,3,3,1,
364,2004,1,9,Ken,Heinrichs,268,1,0,0,0,3,3,1,2 year term
364,2004,1,NA,Scatter,,2,0,0,0,1,3,3,1,
364,2005,1,2,Kevin,Bockhop,218,1,1,1,0,4,4,1,
364,2005,1,3,Sally,Carey,245,1,1,1,0,4,4,1,
364,2005,1,1,Mike,Klein,247,1,1,1,0,4,4,1,
364,2005,1,NA,Scatter,,9,0,0,0,1,4,4,1,
364,2006,1,11,Ruth,Kamps,258,1,0,0,0,5,5,1,
364,2006,1,12,Page,Leahy,177,0,0,0,0,5,5,1,
364,2006,1,13,Tammy,Haag,258,1,0,0,0,5,5,1,
364,2006,1,NA,Scatter,,36,0,0,0,1,5,5,1,
364,2007,1,14,Dave,Johnson,275,1,0,0,0,6,6,1,
364,2007,1,7,Craig,Abing,281,1,1,1,0,6,6,1,
364,2007,1,NA,Scatter,,7,0,0,0,1,6,6,1,
364,2008,1,2,Kevin,Bockhop,331,1,1,1,0,7,7,1,
364,2008,1,15,Vaughn,Mester,476,1,0,0,0,7,7,1,
364,2008,1,3,Sally,Carey,464,1,1,1,0,7,7,1,
364,2008,1,16,Carla,Rand,305,0,0,0,0,7,7,1,
364,2008,1,NA,Scatter,,6,0,0,0,1,7,7,1,
364,2009,1,11,Ruth,Kamps,252,1,1,1,0,8,8,1,
364,2009,1,17,Andy,Miller,111,0,0,0,0,8,8,1,
364,2009,1,13,Tammy,Haag,230,1,1,1,0,8,8,1,
364,2009,1,NA,Scatter,,2,0,0,0,1,8,8,1,
364,2010,1,14,Dave,Johnson,172,1,1,1,0,9,9,1,
364,2010,1,18,Jared,Reuter,158,1,0,0,0,9,9,1,
364,2010,1,7,Craig,Abing,151,0,1,1,0,9,9,1,
364,2010,1,NA,Scatter,,1,0,0,0,1,9,9,1,
364,2011,1,7,Craig,Abing,304,1,0,1,0,10,10,1,
364,2011,1,19,Jerry,Miller,240,0,0,0,0,10,10,1,
364,2011,1,3,Sally,Carey,284,1,1,1,0,10,10,1,
364,2011,1,20,Peggy,Bockhop,247,0,0,0,0,10,10,1,
364,2011,1,15,Vaughn,Mester,401,1,1,1,0,10,10,1,
364,2012,1,13,Tammy,Haag,316,1,1,1,0,11,11,1,
364,2012,1,11,Ruth,Kamps,323,1,1,1,0,11,11,1,
