distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
422,2002,1,1,Dannie,Shear,445,1,0,0,0,1,1,1,
422,2002,1,2,Sherri Lyne,O'Brien,563,1,1,1,0,1,1,1,
422,2002,1,3,Judy,Nupnau,342,0,0,0,0,1,1,1,
422,2003,1,4,Doug,Clark,517,1,0,0,0,2,2,1,
422,2003,1,5,Nicole,Yoss,387,1,0,0,0,2,2,1,
422,2003,1,3,Judy,Nupnau,363,1,0,1,0,2,2,1,
422,2004,1,6,Norm,Jacobs,544,1,0,0,0,3,3,1,
422,2004,1,7,Mary Jo,Franze,504,1,1,1,0,3,3,1,
422,2004,1,8,Joan,Stirrat,486,1,1,1,0,3,3,1,
422,2004,1,3,Judy,Nupnau,448,1,1,1,0,3,3,1,2 year term
422,2004,1,9,,Rumpel,420,0,0,0,0,3,3,1,
422,2005,1,2,Sherri Lyne,O'Brien,326,1,1,1,0,4,4,1,
422,2005,1,10,Richard,Himmelmann,261,1,0,0,0,4,4,1,
422,2006,1,4,Doug,Clark,521,1,1,1,0,5,5,1,
422,2006,1,11,David,Patterson,321,0,0,0,0,5,5,1,
422,2006,1,12,Mindy,Brancamp,561,1,0,0,0,5,5,1,
422,2006,1,3,Judy,Nupnau,423,1,1,1,0,5,5,1,1 year term
422,2006,1,13,,Wittwer,302,0,0,0,0,5,5,1,
422,2006,1,14,David,Berner,496,1,0,0,0,5,5,1,2 year term
422,2007,1,3,Judy,Nupnau,507,0,1,1,0,6,6,1,
422,2007,1,6,Norm,Jacobs,715,1,1,1,0,6,6,1,
422,2007,1,8,Joan,Stirrat,555,1,1,1,0,6,6,1,
422,2007,1,15,Michael,Ace,614,1,0,0,0,6,6,1,
422,2008,1,11,David,Patterson,620,1,0,1,0,7,7,1,
422,2008,1,13,,Wittwer,461,0,0,1,0,7,7,1,
422,2008,1,10,Richard,Himmelmann,479,0,1,1,0,7,7,1,
422,2008,1,16,Rodney,Jordan,528,1,0,0,0,7,7,1,
422,2009,1,4,Doug,Clark,424,1,1,1,0,8,8,1,
422,2009,1,12,Mindy,Brancamp,416,1,1,1,0,8,8,1,
422,2010,1,8,Joan,Stirrat,269,1,1,1,0,9,9,1,
422,2010,1,17,Jim,Olson,345,1,0,0,0,9,9,1,
422,2010,1,15,Michael,Ace,317,1,1,1,0,9,9,1,
422,2010,1,NA,Scatter,,19,0,0,0,0,9,9,1,
422,2011,1,18,John,Pelock,1083,1,0,0,0,10,10,1,
422,2011,1,11,David,Patterson,831,1,1,1,0,10,10,1,
422,2011,1,16,Rodney,Jordan,656,0,1,1,0,10,10,1,
422,2012,1,4,Doug,Clark,824,1,1,1,0,11,11,1,
422,2012,1,19,John,Turner,844,1,0,0,0,11,11,1,
