distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
434,2002,1,1,Martin,Lehman,390,1,1,1,0,1,1,1,
434,2002,1,2,,Stephan,365,0,1,1,0,1,1,1,
434,2002,1,3,Bonnie,Olsen,423,1,1,1,0,1,1,1,
434,2002,1,4,George,Doty,367,0,0,0,0,1,1,1,
434,2002,1,5,Mark,Finger,421,1,1,1,0,1,1,1,
434,2003,1,4,George,Doty,913,1,0,1,0,2,2,1,
434,2003,1,6,Linda,Reetz,973,1,1,1,0,2,2,1,
434,2003,1,7,Lori,Kray,872,1,0,0,0,2,2,1,
434,2003,1,NA,Scatter,,30,0,0,0,0,2,2,1,
434,2004,1,8,Sue,Haase,505,1,1,1,0,2,2,1,
434,2004,1,9,Mike,Shattuck,507,1,1,1,0,3,3,1,
434,2004,1,10,Christian,Stemler,491,1,1,1,0,3,3,1,
434,2006,1,4,George,Doty,574,1,1,1,0,4,4,1,
434,2006,1,7,Lori,Kray,560,1,1,1,0,4,4,1,
434,2006,1,6,Linda,Reetz,609,1,1,1,0,4,4,1,
434,2006,1,NA,Scatter,,6,0,0,0,1,4,4,1,
434,2007,1,11,Kenneth,Doro,1122,1,0,0,0,5,5,1,
434,2007,1,8,Sue,Haase,1158,1,1,1,0,5,5,1,
434,2007,1,12,Sue,Derleth,33,0,0,0,1,5,5,1,
434,2007,1,13,Larry,Albright,11,0,0,0,1,5,5,1,
434,2007,1,NA,Scatter,,45,0,0,0,1,5,5,1,
434,2008,1,14,Paul,Werch,885,1,0,0,0,6,6,1,
434,2008,1,3,Bonnie,Olsen,943,1,1,1,0,6,6,1,
434,2008,1,5,Mark,Finger,900,1,1,1,0,6,6,1,
434,2008,1,NA,Scatter,,3,0,0,0,1,6,6,1,
434,2011,1,3,Bonnie,Olsen,1559,1,1,1,0,7,7,1,
434,2011,1,5,Mark,Finger,1275,1,1,1,0,7,7,1,
434,2011,1,15,,Marks,990,0,0,0,0,7,7,1,
434,2011,1,14,Paul,Werch,1444,1,1,1,0,7,7,1,
434,2011,1,16,,Skowronski,699,0,0,0,0,7,7,1,
434,2012,1,7,Lori,Kray,1092,0,1,1,0,8,8,1,
434,2012,1,6,Linda,Reetz,1191,0,1,1,0,8,8,1,
434,2012,1,17,Catherine,Kujawa,1257,1,0,0,0,8,8,1,
434,2012,1,18,Beth,Malchetske,1281,1,0,0,0,8,8,1,
434,2012,1,NA,Scatter,,27,0,0,0,1,8,8,1,
