distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6013,2002,1,1,Michael,Pietsch,1047,1,0,0,0,1a,1,0,
6013,2002,1,NA,Scatter,,10,0,0,0,1,1a,1,0,
6013,2002,1,2,Gary,Miller,1072,1,0,0,0,1b,2,0,
6013,2002,1,NA,Scatter,,25,0,0,0,1,1b,2,0,
6013,2003,1,3,Susan,Pruessing,1291,1,0,0,0,2c,3,0,
6013,2003,1,4,Tyler,August,737,0,0,0,0,2c,3,0,
6013,2003,1,NA,Scatter,,6,0,0,0,1,2c,3,0,
6013,2004,1,5,Ann,Zubow,1054,1,0,0,0,3d,4,0,
6013,2004,1,NA,Scatter,,4,0,0,0,1,3d,4,0,
6013,2004,1,6,Michael,Lynch,1085,1,0,0,0,3d,5,0,
6013,2004,1,NA,Scatter,,7,0,0,0,1,3d,5,0,
6013,2005,1,7,Rick,Ackman,745,1,0,0,0,4a,6,0,
6013,2005,1,8,Leslie,Fisk,361,0,0,0,0,4a,6,0,
6013,2005,1,NA,Scatter,,5,0,0,0,1,4a,6,0,
6013,2005,1,9,Kim,Arntz,751,1,0,0,0,4b,7,0,
6013,2005,1,10,David,Waro,338,0,0,0,0,4b,7,0,
6013,2005,1,NA,Scatter,,4,0,0,0,1,4b,7,0,
6013,2006,1,3,Susan,Pruessing,881,1,1,1,0,5c,8,0,
6013,2006,1,NA,Scatter,,8,0,0,0,1,5c,8,0,
6013,2007,1,5,Ann,Zubow,1000,1,1,1,0,5d,9,0,
6013,2007,1,11,David,Rendall,702,0,0,0,0,5d,9,0,
6013,2007,1,6,Michael,Lynch,999,1,1,1,0,5e,10,0,
6013,2007,1,12,Megan,O'Rielly-Enk,730,0,0,0,0,5e,10,0,
6013,2007,1,NA,Scatter,,3,0,0,0,1,5e,10,0,
6013,2008,1,13,David,Sharpe,1107,1,0,0,0,6a,11,0,
6013,2008,1,NA,Scatter,,10,0,0,0,1,6a,11,0,
6013,2008,1,9,Kim,Arntz,1174,1,1,1,0,6b,12,0,
6013,2008,1,NA,Scatter,,8,0,0,0,1,6b,12,0,
6013,2009,1,3,Susan,Pruessing,1251,1,1,1,0,7c,13,0,
6013,2009,1,NA,Scatter,,11,0,0,0,1,7c,13,0,
6013,2010,1,5,Ann,Zubow,1031,1,1,1,0,7d,14,0,
6013,2010,1,NA,Scatter,,1,0,0,0,1,7d,14,0,
6013,2010,1,14,Edward,Hayden,1081,1,0,0,0,7e,15,0,
6013,2010,1,NA,Scatter,,4,0,0,0,1,7e,15,0,
6013,2011,1,15,Gretchen,McCarthy,1698,1,0,0,0,8a,16,0,
6013,2011,1,NA,Scatter,,6,0,0,0,1,8a,17,0,
6013,2011,1,9,Kim,Arntz,1695,1,1,1,0,8b,18,0,
6013,2011,1,NA,Scatter,,13,0,0,0,1,8b,18,0,
6013,2012,1,3,Susan,Pruessing,1519,1,1,1,0,9c,19,0,
6013,2012,1,NA,Scatter,,18,0,0,0,1,9c,19,0,
