distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
700,2002,1,1,Carol,Kloepping,940,1,1,1,0,1,1,1,
700,2002,1,2,Neale,Scott,783,0,0,0,0,1,1,1,
700,2002,1,3,Susan,Welch,810,1,0,0,0,1,1,1,
700,2002,1,4,Doug,Zettle,1008,1,0,0,0,1,1,1,
700,2002,1,NA,Scatter,,22,0,0,0,1,1,1,1,
700,2003,1,5,Teresa,Earleywine,712,1,0,0,0,2,2,1,
700,2003,1,6,Jeff,Wymer,462,0,1,1,0,2,2,1,
700,2003,1,7,James,Burchell,463,1,1,1,0,2,2,1,
700,2003,1,NA,Scatter,,2,0,0,0,1,2,2,1,
700,2004,1,8,Peggy,Olsen,257,1,1,1,0,3,3,1,
700,2004,1,9,Jon,Peterson,57,1,0,0,1,3,3,1,
700,2004,1,NA,Scatter,,19,0,0,0,1,3,3,1,
700,2005,1,1,Carol,Kloepping,387,1,1,1,0,4,4,1,
700,2005,1,3,Susan,Welch,385,1,1,1,0,4,4,1,
700,2005,1,4,Doug,Zettle,380,1,1,1,0,4,4,1,
700,2005,1,10,Kathy,Jaggi,135,0,0,0,0,4,4,1,
700,2005,1,NA,Scatter,,3,0,0,0,1,4,4,1,
700,2006,1,7,James,Burchell,192,1,1,1,0,5,5,1,
700,2006,1,5,Teresa,Earleywine,241,1,1,1,0,5,5,1,
700,2006,1,NA,Scatter,,18,0,0,0,1,5,5,1,
700,2007,1,8,Peggy,Olsen,417,1,1,1,0,6,6,1,
700,2007,1,9,Jon,Peterson,435,1,1,1,0,6,6,1,
700,2007,1,NA,Scatter,,16,0,0,0,1,6,6,1,
700,2008,1,1,Carol,Kloepping,426,1,1,1,0,7,7,1,
700,2008,1,3,Susan,Welch,447,1,1,1,0,7,7,1,
700,2008,1,11,Chris,Searles,446,1,0,0,0,7,7,1,
700,2008,1,12,Jim,Wahl,428,1,0,0,0,7,7,1,
700,2008,1,13,Mike,Krupke,81,1,0,0,1,7,7,1,
700,2008,1,14,Kathy,Nieman,31,0,0,0,1,7,7,1,
700,2008,1,NA,Scatter,,42,0,0,0,1,7,7,1,
700,2009,1,5,Teresa,Earleywine,452,1,1,1,0,8,8,1,
700,2009,1,13,Mike,Krupke,444,1,1,1,0,8,8,1,
700,2009,1,NA,Scatter,,15,0,0,0,1,8,8,1,
700,2010,1,8,Peggy,Olsen,644,0,1,1,0,9,9,1,
700,2010,1,1,Carol,Kloepping,815,0,1,1,0,9,9,1,
700,2010,1,15,Allen,Schneider,1277,1,0,0,0,9,9,1,
700,2010,1,16,Paul,Donovan,1108,1,0,0,0,9,9,1,
700,2010,1,NA,Scatter,,16,0,0,0,1,9,9,1,
700,2011,1,17,Howard,Balch,682,0,0,0,0,10,10,1,
700,2011,1,18,Michael,Oellerich,794,1,0,0,0,10,10,1,
700,2011,1,19,Dana,Shanks,825,1,0,0,0,10,10,1,
700,2011,1,20,James,Wahl,1015,1,0,0,0,10,10,1,
700,2012,1,21,Bruce,Kloepping,477,0,0,0,0,11,11,1,
700,2012,1,17,Howard,Balch,250,0,0,1,0,11,11,1,
700,2012,1,5,Teresa,Earleywine,789,1,1,1,0,11,11,1,
700,2012,1,13,Mike,Krupke,710,1,1,1,0,11,11,1,
700,2012,1,NA,Scatter,,364,0,0,0,1,11,11,1,
