distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
735,2002,1,1,Ernest,Gerber,539,1,1,1,0,1,1,1,
735,2002,1,2,Tom,Hanson,499,1,1,1,0,1,1,1,
735,2002,1,3,Helen,Geisler,500,1,1,1,0,1,1,1,
735,2002,1,NA,Scatter,,5,0,0,0,1,1,1,1,
735,2003,1,4,Sonia,Tinberg,603,1,1,1,0,2,2,1,
735,2003,1,5,Daniel,Kempen,756,1,1,1,0,2,2,1,
735,2003,1,NA,Scatter,,12,0,0,0,1,2,2,1,
735,2004,1,6,Ken,Bartels,590,1,1,1,0,3,3,1,
735,2004,1,7,Ben,Host,539,1,1,1,0,3,3,1,
735,2004,1,NA,Scatter,,17,0,0,0,1,3,3,1,
735,2005,1,1,Ernest,Gerber,629,1,1,1,0,4,4,1,
735,2005,1,8,Deb,Klund,451,1,0,0,0,4,4,1,
735,2005,1,9,Lisa,Inczauskis,316,0,0,0,0,4,4,1,
735,2005,1,2,Tom,Hanson,587,1,1,1,0,4,4,1,
735,2005,1,NA,Scatter,,5,0,0,0,1,4,4,1,
735,2006,1,4,Sonia,Tinberg,534,1,1,1,0,5,5,1,
735,2006,1,5,Daniel,Kempen,635,1,1,1,0,5,5,1,
735,2006,1,NA,Scatter,,7,0,0,0,1,5,5,1,
735,2007,1,6,Ken,Bartels,615,1,1,1,0,6,6,1,
735,2007,1,7,Ben,Host,589,1,1,1,0,6,6,1,
735,2007,1,NA,Scatter,,14,0,0,0,1,6,6,1,
735,2008,1,10,Andrew,Anderson,546,1,0,0,0,7,7,1,
735,2008,1,11,Al,Checkalski,430,0,0,0,0,7,7,1,
735,2008,1,2,Tom,Hanson,642,1,1,1,0,7,7,1,
735,2008,1,8,Deb,Klund,486,1,1,1,0,7,7,1,1 year term
735,2008,1,12,Darrell,Hoffman,274,0,0,0,0,7,7,1,
735,2008,1,13,Colleen,Kopras,610,1,0,0,0,7,7,1,
735,2008,1,14,Jennifer,Abernathy,400,0,0,0,0,7,7,1,
735,2008,1,NA,Scatter,,2,0,0,0,1,7,7,1,
735,2009,1,5,Daniel,Kempen,608,1,1,1,0,8,8,1,
735,2009,1,8,Deb,Klund,543,1,1,1,0,8,8,1,
735,2009,1,NA,Scatter,,14,0,0,0,1,8,8,1,
735,2010,1,1,Ernest,Gerber,338,1,1,1,0,9,9,1,
735,2010,1,7,Ben,Host,302,1,1,1,0,9,9,1,
735,2010,1,NA,Scatter,,2,0,0,0,1,9,9,1,
735,2011,1,10,Andrew,Anderson,562,1,1,1,0,10,10,1,
735,2011,1,15,Whitney,Trott,508,1,0,0,0,10,10,1,1 year term
735,2011,1,16,David,Trott,462,0,0,0,0,10,10,1,
735,2011,1,17,Lisa,Beseler,344,0,0,0,0,10,10,1,
735,2011,1,18,Steve,Golat,649,1,0,0,0,10,10,1,
735,2011,1,2,Tom,Hanson,583,1,1,1,0,10,10,1,
735,2011,1,NA,Scatter,,2,0,0,0,1,10,10,1,
735,2012,1,19,Kent,Meyer,315,0,0,0,0,11,11,1,
735,2012,1,5,Daniel,Kempen,580,1,1,1,0,11,11,1,
735,2012,1,15,Whitney,Trott,545,1,1,1,0,11,11,1,
735,2012,1,NA,Scatter,,1,0,0,0,1,11,11,1,
