distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
870,2002,1,1,Lyle,Jankee,195,1,0,0,0,1,1,1,
870,2002,1,2,Cedric,Boettcher,238,1,1,1,0,1,1,1,
870,2002,1,3,Harland,Danielson,162,1,1,1,0,1,1,1,
870,2002,1,NA,Scatter,,2,0,0,0,1,1,1,1,
870,2003,1,4,Norman,Siverling,553,1,1,1,0,2,2,1,
870,2003,1,5,Bonita,Mickelson,527,1,1,1,0,2,2,1,
870,2003,1,NA,Scatter,,3,0,0,0,1,2,2,1,
870,2004,1,6,Brian,Dulmes,227,1,0,0,0,3,3,1,
870,2004,1,7,Michael,Glomski,159,0,0,0,0,3,3,1,
870,2004,1,8,Judith,Gilles,301,1,1,1,0,3,3,1,
870,2004,1,9,Glen,Sikorski,173,0,0,0,0,3,3,1,
870,2004,1,3,Harland,Danielson,222,1,1,1,0,3,3,1,
870,2004,1,NA,Scatter,,8,0,0,0,1,3,3,1,
870,2005,1,2,Cedric,Boettcher,619,1,1,1,0,4,4,1,
870,2005,1,7,Michael,Glomski,394,1,0,1,0,4,4,1,
870,2005,1,NA,Scatter,,5,0,0,0,1,4,4,1,
870,2006,1,10,Rebecca,Hinzmann,287,1,0,0,0,5,5,1,
870,2006,1,11,Melissa,Greene,276,1,0,0,0,5,5,1,
870,2006,1,4,Norman,Siverling,261,1,1,1,0,5,5,1,
870,2006,1,NA,Scatter,,1,0,0,0,1,5,5,1,
870,2007,1,3,Harland,Danielson,517,1,1,1,0,6,6,1,
870,2007,1,6,Brian,Dulmes,501,1,1,1,0,6,6,1,
870,2007,1,4,Norman,Siverling,530,1,1,1,0,6,6,1,
870,2007,1,NA,Scatter,,5,0,0,0,1,6,6,1,
870,2008,1,7,Michael,Glomski,349,1,1,1,0,7,7,1,
870,2008,1,2,Cedric,Boettcher,462,1,1,1,0,7,7,1,
870,2008,1,NA,Scatter,,13,0,0,0,1,7,7,1,
870,2009,2,11,Melissa,Greene,303,1,1,1,0,8,8,1,
870,2009,2,12,Jeff,Chrusciel,159,0,0,0,0,8,8,1,
870,2009,2,10,Rebecca,Hinzmann,206,1,1,1,0,8,8,1,
870,2009,2,8,Judith,Gilles,164,1,1,1,0,8,8,1,
870,2009,2,13,Scot,Kelly,202,1,0,0,0,8,8,1,
870,2009,2,NA,Scatter,,1,0,0,0,1,8,8,1,
870,2009,1,11,Melissa,Greene,590,1,1,1,0,9,9,1,
870,2009,1,10,Rebecca,Hinzmann,426,1,1,1,0,9,9,1,
870,2009,1,13,Scot,Kelly,568,1,0,0,0,9,9,1,
870,2009,1,8,Judith,Gilles,315,0,1,1,0,9,9,1,
870,2009,1,NA,Scatter,,64,0,0,0,1,9,9,1,
870,2010,2,6,Brian,Dulmes,124,1,1,1,0,10,10,1,
870,2010,2,3,Harland,Danielson,108,1,1,1,0,10,10,1,
870,2010,2,7,Michael,Glomski,113,1,1,1,0,10,10,1,
870,2010,2,14,Jim,Munroe,193,1,0,0,0,10,10,1,
870,2010,2,4,Norman,Siverling,76,0,1,1,0,10,10,1,
870,2010,2,15,Tom,Stephens,112,1,0,0,0,10,10,1,
870,2010,2,12,Jeff,Chrusciel,96,1,0,1,0,10,10,1,
870,2010,1,7,Michael,Glomski,253,1,1,1,0,11,11,1,
870,2010,1,15,Tom,Stephens,221,0,0,0,0,11,11,1,
870,2010,1,14,Jim,Munroe,363,1,0,0,0,11,11,1,
870,2010,1,12,Jeff,Chrusciel,185,0,0,1,0,11,11,1,
870,2010,1,3,Harland,Danielson,191,0,1,1,0,11,11,1,
870,2010,1,6,Brian,Dulmes,255,1,1,1,0,11,11,1,
870,2010,1,NA,Scatter,,2,0,0,0,1,11,11,1,
870,2011,1,10,Rebecca,Hinzmann,571,1,1,1,0,12,12,1,
870,2011,1,15,Tom,Stephens,269,0,0,1,0,12,12,1,
870,2011,1,2,Cedric,Boettcher,632,1,1,1,0,12,12,1,
870,2011,1,16,Matthew,Helminski,569,0,0,0,0,12,12,1,
870,2011,1,NA,Scatter,,6,0,0,0,1,12,12,1,
870,2012,1,11,Melissa,Greene,505,0,1,1,0,13,13,1,
870,2012,1,13,Scot,Kelly,583,1,1,1,0,13,13,1,
870,2012,1,17,Tarese,Dubiel,521,1,0,0,0,13,13,1,
870,2012,1,NA,Scatter,,6,0,0,0,1,13,13,1,
