distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
882,2002,1,1,Rebecca,Gutzman,322,1,1,1,0,1,1,0,
882,2002,1,2,Tim,Perry,217,1,1,1,0,1,2,0,
882,2002,1,3,Jim,Williams,143,0,0,0,0,1,2,0,
882,2002,1,NA,Scatter,,13,0,0,0,1,1,2,0,
882,2003,1,4,Gary,Froehlich,298,0,0,0,0,2,3,0,
882,2003,1,5,William,Berger,352,1,1,1,0,2,3,0,
882,2003,1,6,Daniel,DeYoung,635,1,1,1,0,2,4,1,
882,2003,1,NA,Scatter,,3,0,0,0,1,2,4,1,
882,2004,1,7,Shelby,Heller,299,1,1,1,0,3,5,0,
882,2004,1,8,Randall,Bobholz,306,1,1,1,0,3,6,0,
882,2004,1,9,Cheryl,Wiersma,308,1,1,1,0,3,7,0,
882,2005,1,10,Jason,Graham,319,1,0,0,0,4,8,0,
882,2005,1,11,Rick,Nelson,178,0,0,0,0,4,8,0,
882,2005,1,1,Rebecca,Gutzman,390,1,1,1,0,4,9,0,
882,2006,1,12,John,Heil,199,1,0,0,0,5,10,0,
882,2006,1,6,Daniel,DeYoung,219,1,1,1,0,5,11,1,
882,2006,1,NA,Scatter,,7,0,0,0,1,5,11,1,
882,2007,1,7,Shelby,Heller,439,1,1,1,0,6,12,0,
882,2007,1,8,Randall,Bobholz,447,1,1,1,0,6,13,0,
882,2007,1,13,Rita,Woelffer Burmania,451,1,0,0,0,6,14,0,
882,2007,1,NA,Scatter,,18,0,0,0,1,6,14,0,
882,2008,1,1,Rebecca,Gutzman,331,1,1,1,0,7,15,0,
882,2008,1,10,Jason,Graham,324,1,1,1,0,7,16,0,
882,2008,1,NA,Scatter,,24,0,0,0,1,7,16,0,
882,2009,1,12,John,Heil,302,1,1,1,0,8,17,0,
882,2009,1,6,Daniel,DeYoung,263,1,1,1,0,8,18,1,
882,2009,1,14,Pete,Schrandt,91,0,0,0,1,8,18,1,
882,2009,1,NA,Scatter,,8,0,0,0,1,8,18,1,
882,2010,1,7,Shelby,Heller,421,1,1,1,0,9,19,0,
882,2010,1,13,Rita,Burmania,446,1,1,1,0,9,20,0,
882,2010,1,8,Randall,Bobholz,102,1,1,1,0,9,21,0,
882,2010,1,NA,Scatter,,11,0,0,0,1,9,21,0,
882,2011,1,10,Jason,Graham,475,1,1,1,0,10,22,0,
882,2011,1,16,Denise,Bancroft-Hart,448,1,0,0,0,10,23,0,
882,2011,1,NA,Scatter,,41,0,0,0,1,10,23,0,
882,2012,1,12,John,Heil,321,1,1,1,0,11,24,0,
882,2012,1,6,Daniel,DeYoung,339,1,1,1,0,11,25,1,
882,2012,1,NA,Scatter,,9,0,0,0,1,11,25,1,
