distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
910,2000,1,1,Sharon,Roznik,919,1,0,0,0,1,1,1,?
910,2000,1,2,Judy,Straub,952,1,0,0,0,1,1,1,?
910,2000,1,3,Terry,Leininger,341,1,0,0,0,1,1,1,?
910,2000,1,4,Gerald,Marking,735,1,0,0,0,1,1,1,?
910,2001,1,5,Gerald,Ninnemann,1249,1,0,0,0,2,2,1,?
910,2001,1,6,Verlyn,Grahl,1192,1,0,0,0,2,2,1,?
910,2002,1,7,Michael,Bowe,543,1,1,1,0,3,3,1,?
910,2002,1,8,William,Marchant,551,1,1,1,0,3,3,1,?
910,2002,1,9,Christopher,Candee,508,1,0,0,0,3,3,1,----
910,2003,1,9,Christopher,Candee,1049,1,1,1,0,4,4,1,
910,2003,1,14,Jay,Miler,270,1,0,0,0,4,4,1,
910,2003,1,13,James,McCready,182,1,0,0,0,4,4,1,
910,2003,1,81,Jim,Wolters,49,0,0,0,0,4,4,1,
910,2003,1,82,Terrence,O'Conner,46,0,0,0,0,4,4,1,
910,2003,1,NA,Scatter,Scatter,4,0,0,0,1,4,4,1,
910,2004,1,5,Jerry,Ninnemann,548,0,1,1,0,1,1,1,
910,2004,1,10,Karl,McCarty,1201,1,0,0,0,1,1,1,
910,2004,1,11,Steven,Feucht,1314,1,0,0,0,2,1,1,
910,2004,1,NA,Scatter,Scatter,5,0,0,0,1,2,1,1,
910,2005,1,NA,Scatter,Scatter,2,0,0,0,1,6,1,1,
910,2005,1,7,Mike,Bowe,1286,1,1,1,0,1,1,1,
910,2005,1,35,Paul ,Peters,77,1,0,0,1,2,1,1,
910,2005,1,NA,Scatter,,49,0,0,0,1,6,6,1,
910,2006,1,9,Christopher,Candee,573,1,1,1,0,1,1,1,
910,2006,1,13,James,McCready,586,1,1,1,0,2,1,1,
910,2006,1,14,Jay,Miller,580,1,1,1,0,3,1,1,
910,2006,1,NA,Scatter,,6,0,0,0,1,1,1,1,
910,2007,1,10,Karl,McCarty,1400,1,1,1,0,1,1,1,
910,2007,1,15,Mike,Weiss,51,1,0,0,1,2,1,1,
910,2007,1,NA,Scatter,Scatter,35,0,0,0,1,2,1,1,
910,2008,1,35,Paul,Peters,188,1,0,0,0,1,1,1,
910,2008,1,36,Nick,Schneider,21,0,0,0,1,2,2,1,
910,2008,1,7,Mike,Bowe,26,1,1,1,1,2,2,1,
910,2008,1,NA,Scatter,Scatter,26,0,0,0,1,2,2,1,
910,2009,1,36,Nick,Schneider,1229,1,0,1,0,1,1,0,
910,2009,1,13,Jim,McCready,14,1,1,1,1,2,2,0,
910,2009,1,NA,Scatter,,29,0,0,0,1,2,2,0,
910,2010,1,2,Judy,Straub,72,1,0,1,1,1,1,0,
910,2010,1,NA,Scatter,Scatter,24,0,0,0,1,1,1,0,
910,2011,1,35,Paul,Peters,1991,1,1,1,0,1,1,0,
910,2011,1,36,Nick,Schneider,1837,1,1,1,0,2,2,0,
910,2011,1,79,Chad,Warnecke,1832,1,0,0,0,3,3,0,
910,2011,1,NA,Scatter,Scatter,35,0,0,0,1,3,3,0,
910,2012,1,80,Jody,Bembenek,717,1,0,0,0,1,1,0,
910,2012,1,79,Chad,Warnecke,714,0,1,1,0,1,1,0,
910,2012,1,NA,Scatter,Scatter,1,0,0,0,1,1,1,0,
