distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
994,2007,1,1,Bennett,Ballweg,145,1,1,1,0,1,1,0,
994,2007,1,2,Clayton,Williams,115,1,0,0,0,2,2,0,
994,2007,1,3,Steve,Adams,49,0,0,0,0,2,2,0,
994,2007,1,4,Dennis,Bausch,147,1,1,1,0,3,3,0,
994,2008,1,5,Keri,Retallick,511,1,1,1,0,4,4,0,
994,2008,1,6,Laura,Grandgenett,466,1,1,1,0,5,5,0,
994,2008,1,NA,Scatter,,3,0,0,0,1,5,5,0,
994,2009,1,7,Chantel,Hampton,353,1,1,1,0,6,6,0,
994,2009,1,8,Len,Demert,340,1,1,1,0,7,7,0,
994,2010,1,1,Bennett,Ballweg,173,1,1,1,0,1,1,0,
994,2010,1,2,Clayton,Williams,166,1,1,1,0,2,2,0,
994,2010,1,4,Dennis,Bausch,177,1,1,1,0,3,3,0,
994,2011,1,9,Pete,Stohs,73,1,0,0,0,4,4,0,
994,2011,1,6,Laura,Grandgenett,226,1,1,1,0,5,5,0,
994,2012,1,7,Chantel,Hampton,217,1,1,1,0,6,6,0,
994,2012,1,10,Shelby,Roe,160,1,0,0,0,7,7,0,
994,2012,1,11,LuAnne,Johll,65,0,0,0,0,7,7,0,
994,2012,1,12,Dale,Kruger,56,0,0,0,0,8,8,0,
994,2012,1,13,Amy,Morley,180,1,0,0,0,8,8,0,
994,2013,1,13,Amy,Morley,155,1,1,1,0,8,8,0,
994,2013,1,2,Clayton,Williams,149,1,1,1,0,2,2,0,
994,2013,1,4,Dennis,Bausch,149,1,1,1,0,3,3,0,
994,2013,1,14,Duane,Kartman,150,1,0,0,0,5,5,0,
