distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1029,2002,1,1,Richard,Karshna,256,1,1,1,0,1,1,1,
1029,2002,1,2,Gene,Dana,285,1,1,1,0,1,1,1,
1029,2002,1,NA,Scatter,,16,0,0,0,1,1,1,1,
1029,2003,1,3,Daniel,Zuelsdorf,654,1,1,1,0,2,2,1,
1029,2003,1,4,Aileen,Dahlke,600,1,1,1,0,2,2,1,
1029,2003,1,5,Terry,DeHaai,287,1,0,0,0,2,2,1,
1029,2003,1,6,Todd,Schulz,135,0,0,0,0,2,2,1,
1029,2003,1,NA,Scatter,,20,0,0,0,1,2,2,1,
1029,2004,1,7,Jeff,Thiel,277,1,1,1,0,3,3,1,
1029,2004,1,8,Brian,Obbink,293,1,1,1,0,3,3,1,
1029,2005,1,2,Gene,Dana,489,1,1,1,0,4,4,1,
1029,2005,1,1,Richard,Karshna,200,0,1,1,0,4,4,1,
1029,2005,1,9,Lester,Paul,336,1,0,0,0,4,4,1,
1029,2005,1,NA,Scatter,,7,0,0,0,1,4,4,1,
1029,2006,1,4,Aileen,Dahlke,326,0,1,1,0,5,5,1,
1029,2006,1,10,Terry,DuMez,317,0,0,0,0,5,5,1,
1029,2006,1,3,Daniel,Zuelsdorf,334,1,1,1,0,5,5,1,
1029,2006,1,11,Terry,Eernisse,350,1,0,0,0,5,5,1,
1029,2006,1,NA,Scatter,,7,0,0,0,1,5,5,1,
1029,2007,1,12,Phil,Grasty,273,0,0,0,0,6,6,1,
1029,2007,1,13,Ruth,Navis,507,1,0,0,0,6,6,1,
1029,2007,1,7,Jeff,Thiel,636,1,1,1,0,6,7,0,
1029,2007,1,14,Colleen,Menzel,202,0,0,0,0,6,8,0,
1029,2007,1,11,Terry,Eernisse,570,1,1,1,0,6,8,0,
1029,2007,1,NA,Scatter,,10,0,0,0,1,6,8,0,
1029,2008,1,4,Aileen,Dahlke,736,1,0,1,0,7,9,0,
1029,2008,1,15,James,Lautenschlaeger,345,1,0,0,0,7,10,0,
1029,2008,1,9,Lester,Paul,472,1,1,1,0,7,10,0,
1029,2008,1,NA,Scatter,,14,0,0,0,1,7,10,0,
1029,2009,1,3,Daniel,Zuelsdorf,599,1,1,1,0,8,11,1,
1029,2009,1,15,James,Lautenschlaeger,547,1,0,1,0,8,11,1,
1029,2009,1,16,Vickie,Boehnlein,467,0,0,0,0,8,11,1,
1029,2009,1,17,Chad,Hoopman,688,1,1,0,0,8,11,1,
1029,2009,1,NA,Scatter,,2,0,0,0,1,8,11,1,
1029,2010,1,18,Laura,Schieffer,537,1,0,0,0,9,12,0,
1029,2010,1,7,Jeff,Thiel,349,0,1,1,0,9,12,0,
1029,2010,1,17,Chad,Hoopman,816,1,1,1,0,9,13,0,
1029,2010,1,NA,Scatter,,11,0,0,0,1,9,13,0,
1029,2011,1,4,Aileen,Dahlke,1311,1,1,1,0,10,14,0,
1029,2011,1,19,Joseph,Koeppen,696,0,0,0,0,10,15,0,
1029,2011,1,20,Daniel,Bruhn,762,1,0,0,0,10,15,0,
1029,2011,1,7,Jeff,Thiel,1049,1,1,1,0,10,16,1,
1029,2011,1,21,Julie,Reichle,1034,1,0,0,0,10,16,1,
1029,2011,1,22,Carol,Reineke,55,0,0,0,0,10,16,1,
1029,2011,1,NA,Scatter,,60,0,0,0,1,10,16,1,
1029,2012,1,23,Gina,Sotelo,900,1,0,0,0,11,17,0,
1029,2012,1,24,Todd,Bucher,708,1,0,0,0,11,18,1,
1029,2012,1,25,Michael,Isken,577,0,0,0,0,11,18,1,
1029,2012,1,15,James,Lautenschlaeger,731,1,1,1,0,11,18,1,
1029,2012,1,7,Jeff,Thiel,590,1,1,1,0,11,18,1,
1029,2012,1,NA,Scatter,,19,0,0,0,1,11,18,1,
