distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1015,2005,1,1,Rich,Krause,1694,1,0,0,0,1,1,1,
1015,2005,1,2,Phil,Vollrath,1686,0,1,1,0,1,1,1,
1015,2005,1,3,Kevin,Kennedy,2137,1,0,0,0,2,2,1,
1015,2005,1,4,Tim,Wegener,1507,0,0,0,0,2,2,1,
1015,2006,1,5,Mike,McMenimen,2492,1,0,0,0,1,1,1,
1015,2006,1,6,Chris,Roche,1737,0,0,0,0,1,1,1,
1015,2006,1,7,Brian,Wichman,1957,1,0,0,0,1,1,1,
1015,2006,1,NA,scatter,scatter,26,0,0,0,1,1,1,1,
1015,2007,1,8,Chuck,Buehler,2541,1,1,1,0,3,3,1,
1015,2007,1,9,John,Pendergast,2563,1,1,1,0,3,3,1,
1015,2007,1,10,Pat,McComis,2552,1,1,1,0,3,3,1,
1015,2007,1,11,Daniel,Carr,2010,0,0,0,0,3,3,1,
1015,2008,1,12,Duey,Stroebel,2029,1,0,0,0,4,4,1,
1015,2008,1,3,Kevin,Kennedy,2143,1,1,1,0,4,4,1,
1015,2008,1,13,Patricia,Panighetti,1315,0,0,0,0,4,4,1,
1015,2008,1,14,Ellen,Wilde,1696,1,0,0,0,4,4,1,
1015,2009,1,14,Ellen,Wilde,1841,1,1,1,0,5,5,1,
1015,2009,1,5,Mike,McMenimen,1846,1,1,1,0,5,5,1,
1015,2010,2,15,Jeffrey,Brey,457,1,0,0,0,6,6,1,
1015,2010,2,16,Rick,Leach,376,1,0,0,0,6,6,1,
1015,2010,2,17,Eric,Cummings,285,0,0,0,0,6,6,1,
1015,2010,2,18,David,Krier,266,0,0,0,0,6,6,1,
1015,2010,2,19,Charleen,Eickhoff,409,1,0,0,0,6,6,1,
1015,2010,2,20,Chris,Reimer,304,1,0,0,0,6,6,1,
1015,2010,2,21,James,Burkee,354,1,0,0,0,6,6,1,
1015,2010,2,22,Pete,Pavalko,464,1,0,0,0,6,6,1,
1015,2010,2,23,Mindy,Warren,266,0,0,0,0,6,6,1,
1015,2010,1,15,Jeffrey,Brey,1191,1,0,0,0,7,7,1,
1015,2010,1,16,Rick,Leach,1296,1,0,0,0,7,7,1,
1015,2010,1,19,Charleen,Eickhoff,1093,0,0,0,0,7,7,1,
1015,2010,1,20,Chris,Reimer,1270,1,0,0,0,7,7,1,
1015,2010,1,21,James,Burkee,812,0,0,0,0,7,7,1,
1015,2010,1,22,Pete,Pavalko,1122,0,0,0,0,7,7,1,
1015,2010,1,NA,scatter,scatter,21,0,0,0,1,7,7,1,
1015,2011,1,3,Kevin,Kennedy,3551,1,1,1,0,8,8,1,
1015,2011,1,12,Duey,Stroebel,3983,1,1,1,0,8,8,1,
1015,2011,1,NA,scatter,scatter,146,0,0,0,1,8,8,1,
1015,2012,1,23,Jodi,Heston,2795,1,0,0,0,9,9,1,
1015,2012,1,18,David,Krier,2811,1,0,1,0,9,9,1,
1015,2012,1,24,Troy,Forrest,1879,1,0,0,0,9,9,1,
1015,2012,1,25,Rod,Mayer,1698,1,0,0,0,9,9,1,
