distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5054,2003,1,1,Mary,Anderson,2201,1,1,1,0,1,1,1,
5054,2003,1,2,Cheryl,Baysinger,2042,1,0,0,0,1,1,1,
5054,2003,1,3,Roger,Runkel,2092,1,1,1,0,1,1,1,
5054,2003,1,4,Warren,Wiedmeyer,1973,1,1,1,0,1,1,1,
5054,2004,1,5,Charlene,Brandes,1838,1,1,1,0,2,2,1,
5054,2004,1,6,Donald,Kurtz,2024,1,1,1,0,2,2,1,
5054,2004,1,NA,Scatter,,62,0,0,0,1,2,2,1,
5054,2005,1,7,Michael,Infusino,1774,1,1,1,0,1c,3,0,
5054,2005,1,NA,Scatter,,13,0,0,0,1,1c,3,0,
5054,2005,1,1,Mary,Anderson,1702,1,1,1,0,1d,4,0,
5054,2005,1,NA,Scatter,,8,0,0,0,1,1d,4,0,
5054,2005,1,8,Mary Ellen,Pearsall,1748,1,0,0,0,1g,5,0,
5054,2005,1,NA,Scatter,,10,0,0,0,1,1g,5,0,
5054,2006,1,3,Roger,Runkel,752,1,1,1,0,2e,6,0,
5054,2006,1,9,,Gorlinski,727,0,0,0,0,2e,6,0,
5054,2006,1,NA,Scatter,,4,0,0,0,1,2e,6,0,
5054,2006,1,2,Cheryl,Baysinger,1174,1,1,1,0,2f,7,0,
5054,2006,1,NA,Scatter,,5,0,0,0,1,2f,7,0,
5054,2006,1,8,Mary Ellen,Pearsall,1150,1,1,1,0,2,8,1,
5054,2006,1,NA,Scatter,,6,0,0,0,1,2,8,1,
5054,2007,1,5,Charlene,Brandes,1456,1,1,1,0,3a,9,0,
5054,2007,1,NA,Scatter,,6,0,0,0,1,3a,9,0,
5054,2007,1,6,Donald,Kurtz,1474,1,1,1,0,3b,10,0,
5054,2007,1,NA,Scatter,,12,0,0,0,1,3b,10,0,
5054,2008,1,7,Michael,Infusino,1317,1,1,1,0,4c,11,0,
5054,2008,1,NA,Scatter,,7,0,0,0,1,4c,11,0,
5054,2008,1,1,Mary,Anderson,1249,1,1,1,0,4d,12,0,
5054,2008,1,NA,Scatter,,4,0,0,0,1,4d,12,0,
5054,2009,1,3,Roger,Runkel,2404,1,1,1,0,5e,13,0,
5054,2009,1,NA,Scatter,,23,0,0,0,1,5e,13,0,
5054,2009,1,2,Cheryl,Baysinger,2344,1,1,1,0,5f,14,0,
5054,2009,1,NA,Scatter,,21,0,0,0,1,5f,14,0,
5054,2009,1,8,Mary Ellen,Pearsall,2355,1,1,1,0,5g,15,0,
5054,2009,1,NA,Scatter,,19,0,0,0,1,5g,15,0,
5054,2010,1,5,Charlene,Brandes,916,1,1,1,0,6a,16,0,
5054,2010,1,NA,Scatter,,7,0,0,0,1,6a,16,0,
5054,2010,1,6,Donald,Kurtz,952,1,1,1,0,6b,17,0,
5054,2010,1,NA,Scatter,,9,0,0,0,1,6b,17,0,
5054,2011,1,10,Henry,Billingsley,128,1,0,0,0,7c,18,0,
5054,2011,1,NA,Scatter,,93,0,0,0,1,7c,18,0,
5054,2011,1,1,Mary,Anderson,2862,1,1,1,0,7d,19,0,
5054,2011,1,NA,Scatter,,26,0,0,0,1,7d,19,0,
5054,2012,1,3,Roger,Runkel,2891,1,1,1,0,7e,20,0,
5054,2012,1,NA,Scatter,,2,0,0,0,1,7e,20,0,
5054,2012,1,2,Cheryl,Baysinger,2847,1,1,1,0,7f,21,0,
5054,2012,1,NA,Scatter,,4,0,0,0,1,7f,21,0,
5054,2012,1,8,Mary Ellen,Pearsall,2831,1,1,1,0,7,22,1,
5054,2012,1,NA,Scatter,,7,0,0,0,1,7,22,1,
