distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1085,2002,1,1,Randy,Lisowe,482,1,0,0,0,1,1,1,
1085,2002,1,2,Larry,Hedrich,518,1,1,1,0,1,1,1,
1085,2002,1,3,Jill,Stache,358,0,0,0,0,1,1,1,
1085,2003,1,4,Debra,Hintz,482,1,1,1,0,2,2,1,
1085,2003,1,5,Russ,Rautmann,423,0,0,0,0,2,2,1,
1085,2004,1,6,Karen,Doerr,396,1,1,1,0,3,3,1,
1085,2004,1,7,Paul,Meier,492,1,1,1,0,3,3,1,
1085,2004,1,8,Rick,Mueller,399,1,0,0,0,3,3,1,
1085,2004,1,NA,Scatter,,1,0,0,0,1,3,3,1,
1085,2005,1,1,Randy,Lisowe,385,1,1,1,0,4,4,1,
1085,2005,1,2,Larry,Hedrich,396,1,1,1,0,4,4,1,
1085,2005,1,NA,Scatter,,5,0,0,0,1,4,4,1,
1085,2006,1,4,Debra,Hintz,438,1,1,1,0,5,5,1,
1085,2006,1,NA,Scatter,,9,0,0,0,1,5,5,1,
1085,2007,1,7,Paul,Meier,792,1,1,1,0,6,6,1,
1085,2007,1,5,Russ,Rautmann,665,1,0,1,0,6,6,1,
1085,2007,1,8,Rick,Mueller,320,0,1,1,0,6,6,1,
1085,2007,1,NA,Scatter,,20,0,0,0,1,6,6,1,
1085,2008,1,9,Jerry,Kolbe,845,1,0,0,0,7,7,1,
1085,2008,1,8,Rick,Mueller,680,0,0,1,0,7,7,1,
1085,2008,1,1,Randy,Lisowe,809,1,1,1,0,7,7,1,
1085,2008,1,2,Larry,Hedrich,718,1,1,1,0,7,7,1,
1085,2008,1,NA,Scatter,,3,0,0,0,1,7,7,1,
1085,2009,1,2,Larry,Hedrich,828,1,0,1,0,8,8,1,
1085,2009,1,4,Debra,Hintz,603,0,1,1,0,8,8,1,
1085,2009,1,NA,Scatter,,3,0,0,0,1,8,8,1,
1085,2010,1,7,Paul,Meier,395,1,0,1,0,9,9,1,
1085,2010,1,10,Terry,Fluhr,282,0,0,0,0,9,9,1,
1085,2010,1,11,Corey,Bricki,406,1,0,0,0,9,9,1,
1085,2010,1,NA,Scatter,,2,0,0,0,1,9,9,1,
1085,2011,1,12,Ron,Gruett,1015,0,0,0,0,10,10,1,
1085,2011,1,9,Jerry,Kolbe,1182,1,1,1,0,10,10,1,
1085,2011,1,1,Randy,Lisowe,1131,1,1,1,0,10,10,1,
1085,2011,1,NA,Scatter,,1,0,0,0,1,10,10,1,
1085,2012,1,13,Tricia,Ronk,1280,1,0,0,0,11,11,1,
1085,2012,1,NA,Scatter,,5,0,0,0,1,11,11,1,
