distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1120,2002,1,1,Carol,Wozniak,62,0,0,0,1,1,1,1,
1120,2002,1,2,Chris,Wojcok,106,0,0,0,0,1,1,1,
1120,2002,1,3,Paul,Ladwig,119,1,0,0,0,1,1,1,
1120,2002,1,4,Odell,Olson,118,1,1,1,0,1,1,1,
1120,2002,1,NA,Scatter,,10,0,0,0,1,1,1,1,
1120,2003,1,5,Marlin,Klatt,192,1,1,1,0,2,2,1,
1120,2003,1,6,Jerry (Jake),Fall,180,1,1,1,0,2,2,1,
1120,2003,1,NA,Scatter,,24,0,0,0,1,2,2,1,
1120,2004,1,7,Mary,Smith,158,1,1,1,0,3,3,1,
1120,2004,1,NA,Scatter,,11,0,0,0,1,3,3,1,
1120,2005,1,8,Barry,Ketz,194,1,0,0,0,4,4,1,
1120,2005,1,3,Paul,Ladwig,174,1,1,1,0,4,4,1,
1120,2005,1,9,Kurt,Bussewitz,113,0,0,0,0,4,4,1,
1120,2005,1,10,Norman (Mark),Kirchner,109,0,0,0,0,4,4,1,
1120,2005,1,NA,Scatter,,6,0,0,0,1,4,4,1,
1120,2006,1,6,Jerry (Jake),Fall,158,1,1,1,0,5,5,1,
1120,2006,1,5,Marlin,Klatt,150,1,1,1,0,5,5,1,
1120,2006,1,NA,Scatter,,4,0,0,0,1,5,5,1,
1120,2007,1,7,Mary,Smith,123,1,1,1,0,6,6,1,
1120,2008,1,8,Barry,Ketz,225,1,1,1,0,7,7,1,
1120,2008,1,3,Paul,Ladwig,202,1,1,1,0,7,7,1,
1120,2008,1,NA,Scatter,,13,0,0,0,1,7,7,1,
1120,2009,1,11,Jeff,Lien,206,1,0,0,0,8,8,1,
1120,2009,1,9,Kurt,Bussewitz,179,1,0,1,0,8,8,1,
1120,2009,1,5,Marlin,Klatt,128,0,1,1,0,8,8,1,
1120,2009,1,12,Stacey,Schradle,121,0,0,0,0,8,8,1,
1120,2009,1,NA,Scatter,,6,0,0,0,1,8,8,1,
1120,2010,1,13,Jill,Otto,107,1,0,0,0,9,9,1,
1120,2010,1,NA,Scatter,,5,0,0,0,1,9,9,1,
1120,2011,1,8,Barry,Ketz,249,1,1,1,0,10,10,1,
1120,2011,1,3,Paul,Ladwig,245,1,1,1,0,10,10,1,
1120,2011,1,NA,Scatter,,3,0,0,0,1,10,10,1,
1120,2012,1,9,Kurt,Bussewitz,388,1,1,1,0,11,11,1,
1120,2012,1,11,Jeff,Lien,388,1,1,1,0,11,11,1,
1120,2012,1,NA,Scatter,,9,0,0,0,1,11,11,1,
