distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1155,2002,1,1,Jim,Jumbeck,626,1,1,1,0,1,1,1,
1155,2002,1,2,Charlie,Krueger,724,1,1,1,0,1,1,1,
1155,2002,1,NA,Scatter,,18,0,0,0,1,1,1,1,
1155,2003,2,3,Pat,Duffy,261,1,1,1,0,2,2,1,
1155,2003,2,4,Barry,Drazkowski,287,1,0,0,0,2,2,1,
1155,2003,2,5,Jo,Ressie,135,1,0,0,0,2,2,1,
1155,2003,2,6,John,Dehnke,62,0,0,0,1,2,2,1,
1155,2003,2,7,Monica,Herman,95,1,0,0,1,2,2,1,
1155,2003,1,3,Pat,Duffy,478,1,1,1,0,3,3,1,
1155,2003,1,4,Barry,Drazkowski,510,1,0,0,0,3,3,1,
1155,2003,1,5,Jo,Ressie,361,0,0,0,0,3,3,1,
1155,2003,1,7,Monica,Herman,201,0,0,0,0,3,3,1,
1155,2003,1,NA,Scatter,,2,0,0,0,1,3,3,1,
1155,2004,1,5,Jo,Ressie,525,1,0,1,0,4,4,1,
1155,2004,1,8,Doreen,Ziegler,546,1,1,1,0,4,4,1,
1155,2004,1,9,Karen,Knospe,556,1,1,1,0,4,4,1,
1155,2004,1,NA,Scatter,,17,0,0,0,1,4,4,1,
1155,2005,1,10,Kevin,Hutter,414,1,0,0,0,5,5,1,
1155,2005,1,11,Tom,Rothering ,457,1,0,0,0,5,5,1,
1155,2005,1,2,Charlie,Krueger,455,1,1,1,0,5,5,1,
1155,2005,1,12,Steve,Scharlau,172,0,0,0,0,5,5,1,
1155,2005,1,NA,Scatter,,14,0,0,0,1,5,5,1,
1155,2006,1,4,Barry,Drazkowski,1189,0,1,1,0,6,6,1,
1155,2006,1,13,Daniel,Foegen,1222,1,0,0,0,6,6,1,
1155,2006,1,12,Steve,Scharlau,1245,1,0,1,0,6,6,1,
1155,2006,1,NA,Scatter,,30,0,0,0,1,6,6,1,
1155,2007,1,10,Kevin,Hutter,311,0,1,1,0,7,7,1,
1155,2007,1,14,Steve,Willadsen,585,1,0,0,0,7,7,1,
1155,2007,1,9,Karen,Knospe,296,0,1,1,0,7,7,1,
1155,2007,1,15,Larry,Gabel,518,1,0,0,0,7,7,1,
1155,2007,1,5,Jo,Ressie,307,0,0,1,0,7,7,1,
1155,2007,1,16,Ed,Callahan,574,1,0,0,0,7,7,1,
1155,2007,1,NA,Scatter,,4,0,0,0,1,7,7,1,
1155,2008,1,2,Charlie,Krueger,582,1,1,1,0,8,8,1,
1155,2008,1,5,Jo,Ressie,511,1,0,1,0,8,8,1,
1155,2009,1,17,Sue,Pronschinske,564,1,0,0,0,9,9,1,
1155,2009,1,10,Kevin,Hutter,289,0,0,1,0,9,9,1,
1155,2009,1,12,Steve,Scharlau,349,1,1,1,0,9,9,1,
1155,2009,1,3,Pat,Duffy,98,0,0,1,1,9,9,1,
1155,2010,1,16,Ed,Callahan,397,1,1,1,0,10,10,1,
1155,2010,1,18,Steven,Duellman,316,0,0,0,0,10,10,1,
1155,2010,1,14,Steve,Willadsen,545,1,1,1,0,10,10,1,
1155,2010,1,15,Larry,Gabel,389,0,1,1,0,10,10,1,
1155,2010,1,9,Karen,Knospe,451,1,0,1,0,10,10,1,
1155,2010,1,NA,Scatter,,8,0,0,0,1,10,10,1,
1155,2011,1,2,Charlie,Krueger,707,1,1,1,0,11,11,1,
1155,2011,1,5,Jo,Ressie,592,1,1,1,0,11,11,1,
1155,2011,1,18,Steven,Duellman,517,0,0,1,0,11,11,1,
1155,2011,1,NA,Scatter,,8,0,0,0,1,11,11,1,
1155,2012,1,12,Steve,Scharlau,647,1,1,1,0,12,12,1,
1155,2012,1,18,Steven,Duellman,448,0,0,1,0,12,12,1,
1155,2012,1,17,Sue,Pronschinske,785,1,1,1,0,12,12,1,
1155,2012,1,NA,Scatter,,13,0,0,0,1,12,12,1,
