distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1162,2003,1,1,Tom,Peissig,805,1,1,1,0,1,1,1,
1162,2003,1,2,William,Tesmer Jr.,650,1,0,0,0,1,1,1,
1162,2003,1,3,Debra,Koncel,457,0,0,0,0,1,1,1,
1162,2004,1,4,Rick,Weber,570,1,1,1,0,2,2,1,
1162,2004,1,5,Ross,Rannow,522,1,1,1,0,2,2,1,
1162,2004,1,6,Connie,Mullins,574,1,1,1,0,2,2,1,
1162,2005,1,7,Jeremy,Hackel,658,1,1,1,0,3,3,1,
1162,2005,1,8,Cheryl,Ploeckelman,606,1,1,0,0,3,3,1,
1162,2005,1,9,Dennis,Schultz,494,0,0,0,0,3,3,1,
1162,2006,1,10,Cindy,Kolzow,746,1,0,0,0,4,4,1,
1162,2006,1,2,William,Tesmer Jr.,746,1,1,1,0,4,4,1,
1162,2006,1,1,Tom,Peissig,740,1,1,1,0,4,4,1,1 year term
1162,2007,1,5,Ross,Rannow,414,0,1,1,0,5,5,1,
1162,2007,1,11,Donna,Krueger,644,1,0,0,0,5,5,1,
1162,2007,1,4,Rick,Weber,545,0,1,1,0,5,5,1,
1162,2007,1,12,Randy,Schade,627,1,0,0,0,5,5,1,
1162,2007,1,13,Larry,Oehmichen,728,1,0,0,0,5,5,1,
1162,2007,1,14,Dennis,Engel,828,1,0,0,0,5,5,1,
1162,2008,1,4,Rick,Weber,511,1,1,1,0,6,6,1,
1162,2008,1,8,Cheryl,Ploeckelman,562,1,1,1,0,6,6,1,
1162,2009,1,15,Eric,Elmhorst,358,0,0,0,0,7,7,1,
1162,2009,1,16,Ed,Haas,429,1,0,0,0,7,7,1,
1162,2009,1,2,William,Tesmer Jr.,441,1,1,1,0,7,7,1,
1162,2010,1,15,Eric,Elmhorst,489,1,0,1,0,8,8,1,
1162,2010,1,11,Donna,Krueger,498,1,1,1,0,8,8,1,
1162,2010,1,13,Larry,Oehmichen,327,0,1,1,0,8,8,1,
1162,2010,1,17,Lavinia,Bonacker,376,0,0,0,0,8,8,1,
1162,2010,1,14,Dennis,Engel,452,1,1,1,0,8,8,1,
1162,2011,1,8,Cheryl,Ploeckelman,787,1,1,1,0,9,9,1,
1162,2011,1,18,Todd,Schmidt,797,1,0,0,0,9,9,1,
1162,2011,1,4,Rick,Weber,560,0,1,1,0,9,9,1,
1162,2012,1,2,William,Tesmer Jr.,656,1,1,1,0,10,10,1,
1162,2012,1,4,Rick,Weber,448,0,0,1,0,10,10,1,
1162,2012,1,19,Seth,Pinter,757,1,0,0,0,10,10,1,
