distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1183,2002,1,1,James,Schieble,379,1,1,1,0,1,1,1,
1183,2002,1,2,Ronald,Thomas,402,1,0,0,0,1,1,1,
1183,2002,1,3,Patrick,Baker,361,0,0,0,0,1,1,1,
1183,2002,1,NA,Scatter,,4,0,0,0,1,1,1,1,
1183,2003,1,3,Patrick,Baker,1174,0,0,1,0,2,2,1,
1183,2003,1,4,Steve,Roberts,1569,1,0,0,0,2,2,1,
1183,2003,1,5,Trish,O'Neil,1471,1,1,1,0,2,2,1,
1183,2003,1,6,Don,Nelson,1423,1,1,1,0,2,2,1,
1183,2003,1,NA,Scatter,,22,0,0,0,1,2,2,1,
1183,2004,1,7,Liz,Hughes O'Donnell,427,1,0,0,0,3,3,1,
1183,2004,1,8,Sara,Glasbrenner,213,0,0,0,0,3,3,1,
1183,2004,1,9,Glenn,Perkins,328,0,0,0,0,3,3,1,
1183,2004,1,10,Jerry,Gaska,463,1,1,1,0,3,3,1,
1183,2004,1,NA,Scatter,,3,0,0,0,1,3,3,1,
1183,2005,1,11,Mary,Carpenter,882,1,0,0,0,4,4,1,
1183,2005,1,12,Julia,Hoffman,175,1,0,0,0,4,4,1,
1183,2005,1,9,Glenn,Perkins,97,0,0,1,1,4,4,1,
1183,2005,1,NA,Scatter,,16,0,0,0,1,4,4,1,
1183,2006,1,6,Don,Nelson,719,1,1,1,0,5,5,1,
1183,2006,1,5,Trish,O'Neil,733,1,1,1,0,5,5,1,
1183,2006,1,8,Sara,Glasbrenner,169,1,0,1,0,5,5,1,
1183,2006,1,9,Glenn,Perkins,78,0,0,1,1,5,5,1,
1183,2006,1,4,Steve,Roberts,12,0,1,1,1,5,5,1,
1183,2006,1,NA,Scatter,,66,0,0,0,1,5,5,1,
1183,2007,1,10,Jerry,Gaska,1381,1,1,1,0,6,6,1,
1183,2007,1,7,Liz,Hughes O'Donnell,1223,1,1,1,0,6,6,1,
1183,2007,1,NA,Scatter,,29,0,0,0,1,6,6,1,
1183,2008,1,13,Alice,Schmidt,800,1,0,0,0,7,7,1,
1183,2008,1,11,Mary,Carpenter,726,1,1,1,0,7,7,1,
1183,2008,1,12,Julia,Hoffman,760,1,1,1,0,7,7,1,
1183,2008,1,NA,Scatter,,19,0,0,0,1,7,7,1,
1183,2009,1,14,Sally,Owen,1055,1,0,0,0,8,8,1,
1183,2009,1,15,Pam,Larson,902,1,0,0,0,8,8,1,
1183,2009,1,16,William,Braun,827,0,0,0,0,8,8,1,
1183,2009,1,6,Don,Nelson,899,1,1,1,0,8,8,1,
1183,2010,1,7,Liz,Hughes O'Donnell,451,1,1,1,0,9,9,1,
1183,2010,1,17,Mary,Arnold,457,1,0,0,0,9,9,1,
1183,2010,1,NA,Scatter,,16,0,0,0,1,9,9,1,
1183,2011,1,18,Kevin,White,1258,1,0,0,0,10,10,1,
1183,2011,1,16,William,Braun,1149,1,0,1,0,10,10,1,
1183,2011,1,19,Jean,Bosquet,190,0,0,0,0,10,10,1,
1183,2011,1,NA,Scatter,,16,0,0,0,1,10,10,1,
1183,2012,1,14,Sally,Owen,856,1,1,1,0,11,11,1,
1183,2012,1,6,Don,Nelson,792,1,1,1,0,11,11,1,
1183,2012,1,20,Peter,Fogarty,787,0,0,0,0,11,11,1,
1183,2012,1,NA,Scatter,,37,0,0,0,1,11,11,1,
