distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1204,2002,1,1,Jim,Hodowanic,286,1,0,0,0,1,1,1,
1204,2002,1,2,Angela,Boulding,181,1,1,1,0,1,1,1,
1204,2002,1,NA,Scatter,,8,0,0,0,1,1,1,1,
1204,2003,1,3,Lyle,Briggs,292,1,1,1,0,2,2,1,
1204,2003,1,4,John,Tuminello,280,1,0,0,0,2,2,1,
1204,2003,1,5,Gerald,Phelps,125,1,1,1,0,2,2,1,
1204,2003,1,NA,Scatter,,1,0,0,0,1,2,2,1,
1204,2004,1,6,Pam,Baughman,352,1,0,0,0,3,3,1,
1204,2004,1,5,Gerald,Phelps,134,0,1,1,0,3,3,1,
1204,2004,1,NA,Scatter,,1,0,0,0,1,3,3,1,
1204,2005,1,7,Susan,Smith,110,0,0,0,0,4,4,1,
1204,2005,1,8,Lee,Swanson,310,1,0,0,0,4,4,1,
1204,2005,1,9,Eileen,Sikora,246,1,0,0,0,4,4,1,
1204,2005,1,1,Jim,Hodowanic,178,0,1,1,0,4,4,1,
1204,2005,1,NA,Scatter,,8,0,0,0,1,4,4,1,
1204,2006,1,3,Lyle,Briggs,212,0,1,1,0,5,5,1,
1204,2006,1,10,Paul,Wallerius,240,1,0,0,0,5,5,1,
1204,2006,1,NA,Scatter,,6,0,0,0,1,5,5,1,
1204,2007,1,2,Angela,Boulding,144,0,0,1,0,6,6,1,
1204,2007,1,6,Pam,Baughman,299,1,1,1,0,6,6,1,
1204,2008,1,9,Eileen,Sikora,359,1,1,1,0,7,7,1,
1204,2008,1,11,James,Herbst,59,1,0,0,1,7,7,1,
1204,2008,1,NA,Scatter,,37,0,0,0,1,7,7,1,
1204,2009,1,10,Paul,Wallerius,286,1,1,1,0,8,8,1,
1204,2009,1,3,Lyle,Briggs,308,1,1,1,0,8,8,1,
1204,2009,1,NA,Scatter,,10,0,0,0,1,8,8,1,
1204,2010,1,6,Pam,Baughman,294,1,1,1,0,9,9,1,
1204,2010,1,NA,Scatter,,8,0,0,0,1,9,9,1,
1204,2011,1,11,James,Herbst,314,1,1,1,0,10,10,1,
1204,2011,1,9,Eileen,Sikora,370,1,1,1,0,10,10,1,
1204,2011,1,12,Pam,Elliott,74,1,0,0,1,10,10,1,
1204,2011,1,NA,Scatter,,21,0,0,0,1,10,10,1,
1204,2012,1,10,Paul,Wallerius,295,1,1,1,0,11,11,1,
1204,2012,1,12,Pam,Elliott,252,1,0,1,0,11,11,1,
1204,2012,1,3,Lyle,Briggs,313,1,1,1,0,11,11,1,
1204,2012,1,NA,Scatter,,9,0,0,0,1,11,11,1,
