distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1218,2007,1,1,Tim,Bahr,496,0,0,0,0,1,1,1,
1218,2007,1,2,Larry,Statezny,832,1,1,1,0,1,1,1,
1218,2007,1,3,Andrew,Okrasinski,803,1,0,0,0,1,1,1,
1218,2008,1,1,Tim,Bahr,620,0,0,1,0,2,2,1,
1218,2008,1,4,Andrew,McMillion,1116,1,1,1,0,2,2,1,
1218,2008,1,5,Eugene ,Carlson,932,1,1,1,0,2,2,1,Eugene won the election and then resigned.  He then ran again in the 2009 election.
1218,2009,1,5,Eugene ,Carlson,867,1,1,1,0,3,3,1,
1218,2009,1,6,Ann,Mihalko,944,1,1,1,0,3,3,1,
1218,2010,1,1,Tim,Bahr,380,0,0,1,0,4,4,1,
1218,2010,1,2,Larry,Statezny,494,1,1,1,0,4,4,1,
1218,2010,1,3,Andrew,Okrasinski,499,1,1,1,0,4,4,1,
1218,2010,1,7,Bret,Mattson ,339,0,0,0,0,4,4,1,
1218,2010,1,8,Jeff,Ackley Jr. ,233,0,0,0,0,4,4,1,
1218,2011,2,1,Tim,Bahr,250,1,0,1,0,5,5,1,
1218,2011,2,7,Bret,Mattson ,243,1,0,1,0,5,5,1,
1218,2011,2,9,Wayne,LaBine,97,0,0,0,1,5,5,1,
1218,2011,2,10,Nadine,Westimayer,147,0,0,0,0,5,5,1,
1218,2011,2,8,Jeff,Ackley Jr. ,169,1,0,1,0,5,5,1,
1218,2011,2,11,William,Farr,270,1,0,0,0,5,5,1,
1218,2011,1,1,Tim,Bahr,793,1,0,1,0,6,6,1,
1218,2011,1,7,Bret,Mattson ,739,0,0,1,0,6,6,1,
1218,2011,1,8,Jeff,Ackley Jr. ,657,0,0,1,0,6,6,1,
1218,2011,1,11,William,Farr,930,1,1,1,0,6,6,1,
1218,2012,1,6,Ann,Mihalko,570,1,1,1,0,7,7,1,
1218,2012,1,10,Nadine,Westimayer,298,1,0,1,0,7,7,1,
1218,2013,1,10,Nadine,Westimayer,555,1,0,1,0,7,7,1,
1218,2013,1,8,Jeff,Ackley Jr. ,514,1,0,1,0,7,7,1,
