distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1232,2002,1,1,Lyle,Cherry,876,1,0,0,0,1,1,1,
1232,2002,1,2,Peggy,Zielinski,769,1,0,0,0,1,1,1,
1232,2002,1,NA,Scatter,,32,0,0,0,1,1,1,1,
1232,2003,1,3,William,Cherry,1067,1,0,0,0,2,2,1,
1232,2003,1,4,Ginger,Deschane,691,1,1,1,0,2,2,1,
1232,2003,1,5,Jeannette,Sikowski,633,1,1,1,0,2,2,1,
1232,2003,1,6,John,Downs,382,0,0,0,0,2,2,1,
1232,2003,1,NA,Scatter,,5,0,0,0,1,2,2,1,
1232,2004,1,5,Jeannette,Sikowski,446,1,1,1,0,3,3,1,
1232,2004,1,7,Theresa,DeGroff,393,1,0,0,0,3,3,1,
1232,2004,1,8,Bunny,Peplinski,366,0,0,0,0,3,3,1,
1232,2004,1,9,David,Kwiatkowski,375,1,0,0,0,3,3,1,
1232,2005,1,8,Bunny,Peplinski,720,1,0,1,0,4,4,1,
1232,2005,1,2,Peggy,Zielinski,715,1,1,1,0,4,4,1,
1232,2005,1,10,Timothie,Honsa,237,0,0,0,0,4,4,1,
1232,2005,1,1,Lyle,Cherry,807,1,1,1,0,4,4,1,
1232,2005,1,NA,Scatter,,2,0,0,0,1,4,4,1,
1232,2006,1,4,Ginger,Deschane,437,0,1,1,0,5,5,1,
1232,2006,1,3,William,Cherry,607,1,1,1,0,5,5,1,
1232,2006,1,2,Peggy,Zielinski,563,1,0,1,0,5,5,1,
1232,2006,1,11,Dave,Weber,541,0,0,0,0,5,5,1,
1232,2006,1,NA,Scatter,,5,0,0,0,1,5,5,1,
1232,2007,1,7,Theresa,DeGroff,624,0,1,1,0,6,6,1,
1232,2007,1,5,Jeannette,Sikowski,789,1,1,1,0,6,6,1,
1232,2007,1,9,David,Kwiatkowski,822,1,1,1,0,6,6,1,
1232,2007,1,4,Ginger,Deschane,731,1,0,1,0,6,6,1,
1232,2008,1,11,Dave,Weber,471,0,0,1,0,7,7,1,
1232,2008,1,12,Mike,Dama,643,1,0,0,0,7,7,1,
1232,2008,1,1,Lyle,Cherry,485,1,1,1,0,7,7,1,
1232,2008,1,13,Denny,Chilcote,393,0,0,0,0,7,7,1,
1232,2009,3,14,Cory,Sotka,16,0,0,0,1,8,8,1,
1232,2009,3,15,Jon,Behnke,120,0,0,0,0,8,8,1,
1232,2009,3,16,Pete,Pfankuch,13,0,0,0,1,8,8,1,
1232,2009,3,17,Tom,Wiedemeier,181,1,0,0,0,8,8,1,
1232,2009,3,NA,Scatter,,6,0,0,0,1,8,8,1,
1232,2010,2,16,Pete,Pfankuch,30,0,0,0,1,9,9,1,
1232,2010,2,18,Jackie,Fickler,40,1,0,0,1,9,9,1,
1232,2010,2,17,Tom,Wiedemeier,255,1,0,0,0,9,9,1,
1232,2010,2,14,Cory,Sotka,64,1,0,0,1,9,9,1,
1232,2010,2,4,Ginger,Deschane,109,1,1,1,0,9,9,1,
1232,2010,2,19,Scott,Cline,73,1,0,0,1,9,9,1,
1232,2010,2,5,Jeannette,Sikowski,168,1,1,1,0,9,9,1,
1232,2010,1,4,Ginger,Deschane,332,0,1,1,0,10,10,1,
1232,2010,1,5,Jeannette,Sikowski,419,1,1,1,0,10,10,1,
1232,2010,1,14,Cory,Sotka,200,0,0,0,0,10,10,1,
1232,2010,1,17,Tom,Wiedemeier,628,1,0,0,0,10,10,1,
1232,2010,1,18,Jackie,Fickler,141,0,0,0,0,10,10,1,
1232,2010,1,19,Scott,Cline,273,0,0,0,0,10,10,1,
1232,2011,1,1,Lyle,Cherry,841,1,1,1,0,11,11,1,
1232,2011,1,18,Jackie,Fickler,638,0,0,1,0,11,11,1,
1232,2011,1,20,Michael,Perry,560,0,0,0,0,11,11,1,
1232,2011,1,12,Mike,Dama,885,1,1,1,0,11,11,1,
1232,2012,1,18,Jackie,Fickler,469,0,0,1,0,12,12,1,
1232,2012,1,21,Jane,Meissner,823,1,1,0,0,12,12,1,
1232,2012,1,22,Martha,Neitzer,595,1,0,0,0,12,12,1,
