distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1246,2002,1,1,Greg,Timmerman,917,1,1,1,0,1,1,1,
1246,2002,1,2,Mary,Brandt,838,1,1,1,0,1,1,1,
1246,2002,1,3,Gerald,Pitzen,780,1,1,1,0,1,1,1,
1246,2002,1,NA,Scatter,,18,0,0,0,1,1,1,1,
1246,2003,1,4,Kevin,Lange,1219,1,1,1,0,2,2,1,
1246,2003,1,5,Ed,Updike,1203,1,0,0,0,2,2,1,
1246,2003,1,6,Gary,Andrews,1134,1,1,1,0,2,2,1,
1246,2003,1,7,Jim,Justman,982,0,0,0,0,2,2,1,
1246,2003,1,NA,Scatter,,6,0,0,0,1,2,2,1,
1246,2004,1,8,Ron,Schroeder,281,1,1,1,0,3,3,1,
1246,2004,1,9,Janice,Johnson,288,1,1,1,0,3,3,1,
1246,2004,1,10,Brian,Feltes,238,0,0,0,0,3,3,1,
1246,2004,1,11,Tom,Guler,240,1,1,1,0,3,3,1,
1246,2004,1,NA,Scatter,,4,0,0,0,1,3,3,1,
1246,2005,1,12,Kari,Dressens,778,1,0,0,0,4,4,1,
1246,2005,1,13,Wyatt,Klein,741,1,0,0,0,4,4,1,
1246,2005,1,14,Diane,Byykkonen,449,0,0,0,0,4,4,1,
1246,2005,1,15,Steve,Bernhardt,592,0,0,0,0,4,4,1,
1246,2005,1,16,Gregory,Kern,994,1,0,0,0,4,4,1,
1246,2005,1,NA,Scatter,,15,0,0,0,1,4,4,1,
1246,2006,1,10,Brian,Feltes,560,1,0,1,0,5,5,1,
1246,2006,1,6,Gary,Andrews,696,1,1,1,0,5,5,1,
1246,2006,1,4,Kevin,Lange,668,1,1,1,0,5,5,1,
1246,2006,1,NA,Scatter,,22,0,0,0,1,5,5,1,
1246,2007,1,11,Tom,Guler,200,1,1,1,0,6,6,1,
1246,2007,1,8,Ron,Schroeder,295,1,1,1,0,6,6,1,
1246,2007,1,17,Kendall,Bruner,302,1,0,0,0,6,6,1,
1246,2007,1,18,Cathy,Helbing,300,1,0,0,0,6,6,1,
1246,2007,1,NA,Scatter,,6,0,0,0,1,6,6,1,
1246,2008,1,8,Ron,Schroeder,369,1,0,1,0,7,7,1,
1246,2008,1,12,Kari,Dressens,342,0,1,1,0,7,7,1,
1246,2008,1,16,Greg,Kern,455,1,1,1,0,7,7,1,
1246,2008,1,NA,Scatter,,7,0,0,0,1,7,7,1,
1246,2009,1,12,Kari,Dressens,704,1,0,1,0,8,8,1,
1246,2009,1,10,Brian,Feltes,668,1,1,1,0,8,8,1,
1246,2009,1,6,Gary,Andrews,761,1,1,1,0,8,8,1,
1246,2009,1,NA,Scatter,,11,0,0,0,1,8,8,1,
1246,2010,1,17,Kendall,Bruner,280,1,1,1,0,9,9,1,
1246,2010,1,18,Cathy,Helbing,289,1,1,1,0,9,9,1,
1246,2010,1,NA,Scatter,,8,0,0,0,1,9,9,1,
1246,2011,1,16,Gregory,Kern,822,1,1,1,0,10,10,1,
1246,2011,1,8,Ron,Schroeder,799,1,1,1,0,10,10,1,
1246,2011,1,NA,Scatter,,16,0,0,0,1,10,10,1,
1246,2012,1,10,Brian,Feltes,322,0,1,1,0,11,11,1,
1246,2012,1,19,Kari,Hill,370,1,0,0,0,11,11,1,
1246,2012,1,6,Gary,Andrews,481,1,1,1,0,11,11,1,
1246,2012,1,20,David,Nevins,258,0,0,0,0,11,11,1,
1246,2012,1,21,Terry,Loeffelholz,453,1,0,0,0,11,11,1,
1246,2012,1,22,Dan,Bowden,454,1,0,0,0,11,11,1,
1246,2012,1,NA,Scatter,,6,0,0,0,1,11,11,1,
