distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4970,2002,1,1,Bernard,Fisher,1400,1,1,1,0,1,1,1,
4970,2002,1,2,Michael,Lambrecht,1702,1,0,0,0,1,1,1,
4970,2002,1,3,Mary,Hancock,1869,1,1,1,0,1,1,1,
4970,2002,1,NA,Scatter,,8,0,0,0,1,1,1,1,
4970,2003,1,4,Larry,Schaefer,2219,1,1,1,0,2,2,1,
4970,2003,1,5,Kris,Weirauch,2089,1,0,0,0,2,2,1,
4970,2003,1,NA,Scatter,,8,0,0,0,1,2,2,1,
4970,2004,1,6,Dan,Bettger,1629,1,1,0,0,3,3,1,
4970,2004,1,7,Rita Ann,Kasten,1802,1,1,1,0,3,3,1,
4970,2004,1,8,Thomas,Rosenberg,1653,1,1,1,0,3,3,1,
4970,2004,1,9,Thomas,Lee,1345,0,0,0,0,3,3,1,
4970,2004,1,NA,Scatter,,4,0,0,0,1,3,3,1,
4970,2005,1,2,Michael,Lambrecht,1861,1,1,1,0,4,4,1,
4970,2005,1,3,Mary,Hancock,1832,1,1,1,0,4,4,1,
4970,2005,1,NA,Scatter,,22,0,0,0,1,4,4,1,
4970,2006,1,10,Gretchen,Schultz-Thout,943,1,0,0,0,5,5,1,
4970,2006,1,4,Larry,Schaefer,1151,1,1,1,0,5,5,1,
4970,2006,1,11,Jim,Rufledt,882,0,0,0,0,5,5,1,
4970,2006,1,NA,Scatter,,13,0,0,0,1,5,5,1,
4970,2007,1,12,Andy,Sutton,2086,1,0,0,0,6,6,1,1 year term
4970,2007,1,13,Valerie,Palarski,2182,1,0,0,0,6,6,1,
4970,2007,1,8,Thomas,Rosenberg,2078,0,1,1,0,6,6,1,
4970,2007,1,6,Dan,Bettger,2149,1,1,1,0,6,6,1,
4970,2007,1,7,Rita Ann,Kasten,2219,1,1,1,0,6,6,1,
4970,2007,1,NA,Scatter,,22,0,0,0,1,6,6,1,
4970,2008,1,14,Jason,Jablonski,1979,1,0,0,0,7,7,1,
4970,2008,1,3,Mary,Hancock,1950,1,1,1,0,7,7,1,
4970,2008,1,12,Andy,Sutton,1909,1,1,1,0,7,7,1,2 year term
4970,2008,1,NA,Scatter,,27,0,0,0,1,7,7,1,
4970,2009,1,10,Gretchen,Schultz-Thout,1440,0,1,1,0,8,8,1,
4970,2009,1,15,Diane,Stroik,2066,1,0,0,0,8,8,1,
4970,2009,1,4,Larry,Schaefer,1798,1,1,1,0,8,8,1,
4970,2009,1,16,Paul,Martin,1618,0,0,0,0,8,8,1,
4970,2009,1,NA,Scatter,,15,0,0,0,1,8,8,1,
4970,2010,1,17,Helen,Ackerman,1119,1,0,0,0,9,9,1,
4970,2010,1,12,Andy,Sutton,959,0,1,1,0,9,9,1,
4970,2010,1,13,Valerie,Palarski,963,0,1,1,0,9,9,1,
4970,2010,1,18,Joshua,Dickerson,1022,1,0,0,0,9,9,1,
4970,2010,1,8,Thomas,Rosenberg,720,0,0,1,0,9,9,1,
4970,2010,1,7,Rita Ann,Kasten,1095,1,1,1,0,9,9,1,
4970,2010,1,NA,Scatter,,7,0,0,0,1,9,9,1,
4970,2011,1,3,Mary,Hancock,4129,1,1,1,0,10,10,1,
4970,2011,1,14,Jason,Jablonski,4522,1,1,1,0,10,10,1,
4970,2011,1,NA,Scatter,,31,0,0,0,1,10,10,1,
4970,2012,1,4,Larry,Schaefer,2791,1,1,1,0,11,11,1,
4970,2012,1,19,Robin,Procknow,1673,0,0,0,0,11,11,1,
4970,2012,1,15,Diane,Stroik,2925,1,1,1,0,11,11,1,
4970,2012,1,20,Nathan,Fiene,127,0,0,0,0,11,11,1,
4970,2012,1,NA,Scatter,,39,0,0,0,1,11,11,1,
