distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1295,2007,1,1,Jeremiah,Kleiber,468,1,1,1,0,1,1,1,
1295,2007,1,2,John,Taylor,510,1,0,0,0,1,1,1,
1295,2007,1,3,Larry,Hakes,472,1,1,1,0,1,1,1,
1295,2007,1,NA,Scatter,Scatter,1,0,0,0,0,1,1,1,
1295,2008,1,4,John,Siegenthaler,854,0,1,1,0,2,2,1,
1295,2008,1,5,Judy,Huntington,864,1,0,0,0,2,2,1,
1295,2008,1,6,Debra,Pickett,470,0,0,0,0,2,2,1,
1295,2008,1,7,William,McDaniel,863,1,1,1,0,2,2,1,
1295,2009,1,8,Joe,Riechers,633,1,0,0,0,3,3,1,
1295,2009,1,9,Mary Jo,Finkenbinder,764,1,0,0,0,3,3,1,
1295,2009,1,10,Donna Jean,Wiegel,377,0,0,0,0,3,3,1,
1295,2009,1,11,Bob,Hermanson,529,1,0,0,0,3,3,1,
1295,2009,1,12,Carol,Johnson,576,1,0,0,0,3,3,1,
1295,2009,1,13,Tony,Ruesga,465,0,0,0,0,3,3,1,
1295,2010,1,11,Bob,Hermanson,918,1,1,1,0,4,4,1,
1295,2010,1,10,Donna Jean,Wiegel,673,1,0,1,0,4,4,1,
1295,2010,1,1,Jeremiah,Kleiber,872,1,1,1,0,4,4,1,
1295,2010,1,13,Tony,Ruesga,556,0,0,1,0,4,4,1,
1295,2011,1,5,Judy,Huntington,1238,1,1,1,0,5,5,1,
1295,2011,1,14,Nicholas,Zuberbuhler,832,1,0,0,0,5,5,1,
1295,2011,1,15,Duane,Jorgenson,954,1,0,0,0,5,5,1,
1295,2011,1,3,Larry,Hakes,586,0,0,1,0,5,5,1,
1295,2011,1,13,Tony,Ruesga,548,0,0,1,0,5,5,1,
1295,2012,1,16,Aaron,Wolfe,767,1,0,0,0,6,6,1,
1295,2012,1,8,Joe,Riechers,803,1,1,1,0,6,6,1,
1295,2012,1,17,Jason,Hendrickson,923,1,0,0,0,6,6,1,
1295,2012,1,18,Jeff,Stauffacher,716,0,0,0,0,6,6,1,
