distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1414,2007,1,1,Sandy,Mentzel,2054,1,1,1,0,1,1,1,
1414,2007,1,2,William,Beek,2062,1,1,1,0,1,1,1,
1414,2007,1,3,Paul,Summerside,2041,1,1,1,0,1,1,1,
1414,2008,1,4,Jonathan,Paque,1130,1,1,1,0,2,2,1,
1414,2008,1,5,Bob,Mathews,1003,1,0,0,0,2,2,1,
1414,2008,1,6,Randall,Kruk,915,0,0,0,0,2,2,1,
1414,2008,1,7,Paul,Pearson,840,0,0,0,0,2,2,1,
1414,2009,1,8,James,Growt,1174,1,1,1,0,3,3,1,
1414,2009,1,9,Doug,Seeman,1046,1,0,0,0,3,3,1,
1414,2009,1,6,Randall,Kruk,916,0,0,1,0,3,3,1,
1414,2010,1,3,Paul,Summerside,1131,1,1,1,0,4,4,1,
1414,2010,1,10,Tammy,Mocarski,1054,1,0,0,0,4,4,1,
1414,2010,1,11,Mark,Meneau,1044,1,0,0,0,4,4,1,
1414,2011,1,5,Bob,Mathews,3310,1,1,1,0,5,5,1,
1414,2011,1,4,Jon,Paque,2743,1,1,1,0,5,5,1,
1414,2011,1,12,Sayuri,Longnecker,1412,0,0,0,0,5,5,1,
1414,2012,1,13,Dan,Straten,2648,1,0,0,0,6,6,1,
1414,2012,1,14,Rhonda,Matzke,1771,1,0,0,0,6,6,1,
1414,2012,1,9,Doug,Seeman,1458,1,1,1,0,6,6,1,
1414,2012,1,12,Sayuri,Longnecker,652,0,0,1,0,6,6,1,
1414,2013,1,3,Paul,Summerside,1678,1,1,1,0,7,7,1,
1414,2013,1,11,Mark,Meneau,1496,1,1,1,0,7,7,1,
1414,2013,1,10,Tammy,Mocarski,1581,1,1,1,0,7,7,1,
