distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1421,2002,1,1,Mike,Paulsrud,370,0,1,1,0,1a,1,0,
1421,2002,1,2,Rick,Pedretti,1520,1,0,0,0,1a,1,0,
1421,2002,1,3,Arnold,Trussoni,504,0,1,1,0,1f,2,0,
1421,2002,1,4,Roger,Mueller,1358,1,0,0,0,1f,2,0,
1421,2002,1,5,Darwin,Schuelte,306,0,0,0,0,1e,3,0,
1421,2002,1,6,Kirk,Holliday,1512,1,1,1,0,1e,3,0,
1421,2003,1,7,Tarasa,Lown,701,1,0,0,0,2d,4,0,
1421,2003,1,8,Dan,Fladhammer,586,1,0,0,0,2c,5,0,
1421,2003,1,9,Stephen,McCullick,305,0,1,1,0,2c,5,0,
1421,2003,1,10,Terry,Rassell,281,0,1,1,0,2b,6,0,
1421,2003,1,11,Lynn,Umberger,651,1,0,0,0,2b,6,0,
1421,2003,1,NA,Scatter,,13,0,0,0,1,2,6,0,
1421,2004,1,12,Teresa,Christianson,414,1,1,1,0,3h,7,0,
1421,2004,1,13,Dan,Gillespie,344,1,0,0,0,3f,8,0,
1421,2004,1,14,Donna,Shepherd,193,0,1,1,0,3f,8,0,
1421,2004,1,15,Kevin,Walleser,302,1,1,1,0,3g,9,0,
1421,2004,1,16,John,Audetat,217,0,0,0,0,3g,9,0,
1421,2004,1,NA,Scatter,,217,0,0,0,1,3,9,0,
1421,2005,1,2,Rick,Pedretti,451,1,1,1,0,4a,10,0,
1421,2005,1,17,Mick,Boardman,361,0,0,0,0,4a,10,0,
1421,2005,1,4,Roger,Mueller,684,1,1,1,0,4f,11,0,
1421,2005,1,6,Kirk,Holliday,642,1,1,1,0,4e,12,0,
1421,2005,1,NA,Scatter,,16,0,0,0,1,4,12,0,
1421,2006,1,18,Bridgette,Schill,277,1,0,0,0,5d,13,0,
1421,2006,1,8,Dan,Fladhammer,327,1,1,1,0,5c,14,0,
1421,2006,1,19,Geri,Fox,317,1,0,0,0,5f,15,0,
1421,2006,1,11,Lynn,Umberger,18,1,1,1,1,5b,16,0,
1421,2006,1,NA,Scatter,,9,0,0,0,1,5b,16,0,
1421,2007,1,20,Dean,Penkalski,648,1,0,0,0,6b,17,0,
1421,2007,1,19,Geri,Fox,644,1,1,1,0,6f,18,0,
1421,2007,1,21,Jeff,Long,647,1,0,0,0,6h,19,0,
1421,2007,1,16,John,Audetat,372,1,0,1,0,6g,20,0,
1421,2008,1,6,Kirk,Holliday,500,1,1,1,0,7e,21,0,
1421,2008,1,22,Nathaniel,Trussoni,332,1,0,0,0,7f,22,0,
1421,2008,1,2,Rick,Pedretti,517,1,1,1,0,7a,23,0,
1421,2009,1,20,Dean,Penkalski,707,1,1,1,0,8b,24,0,
1421,2009,1,6,Dan,Fladhammer,727,1,1,1,0,8c,25,0,
1421,2009,1,18,Bridgette,Schill,670,1,1,1,0,8d,26,0,
1421,2010,1,16,John,Audetat,550,1,1,1,0,9g,27,0,
1421,2010,1,15,Kevin,Walleser,508,0,0,1,0,9g,27,0,
1421,2010,1,19,Geri,Fox,913,1,1,1,0,9f,28,0,
1421,2010,1,21,Jeff,Long,921,1,1,1,0,9h,29,0,
1421,2011,1,6,Kirk,Holliday,1058,1,1,1,0,10e,30,0,
1421,2011,1,23,Jess,Boardman,805,1,0,0,0,10f,31,0,
1421,2011,1,2,Rick,Pedretti,1046,1,1,1,0,10a,32,0,
1421,2011,1,NA,Scatter,,40,0,0,0,1,10,32,0,
1421,2012,1,20,Dean,Penkalski,485,1,1,1,0,11b,33,0,
1421,2012,1,6,Dan,Fladhammer,501,1,1,1,0,11c,34,0,
1421,2012,1,7,Tarasa,Lown,456,1,0,1,0,11d,35,0,
