distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1309,2002,1,1,Robert,Johnson,151,1,0,0,0,1,1,1,
1309,2002,1,2,Thomas,Bush,138,1,0,0,0,1,1,1,
1309,2002,1,3,Jaime,Cruz,132,0,0,0,0,1,1,1,
1309,2002,1,NA,Scatter,,5,0,0,0,1,1,1,1,
1309,2003,1,4,Susan,Salvo,405,1,0,0,0,2,2,1,
1309,2003,1,5,Brad,Gleason,524,1,1,1,0,2,2,1,
1309,2003,1,6,Chris,Page,407,1,1,1,0,2,2,1,
1309,2003,1,7,Christine,Moerke,319,0,0,0,0,2,2,1,
1309,2003,1,NA,Scatter,,61,0,0,0,1,2,2,1,
1309,2004,1,8,Karl,Arps,251,0,1,1,0,3,3,1,
1309,2004,1,9,Larry,Jensen,327,1,1,1,0,3,3,1,
1309,2004,1,NA,Scatter,,28,0,0,0,1,3,3,1,
1309,2005,1,10,Sandy,Fisher,308,1,0,0,0,4,4,1,
1309,2005,1,11,Jeff,Winkler,310,1,0,0,0,4,4,1,
1309,2005,1,2,Thomas,Bush,270,1,1,1,0,4,4,1,
1309,2005,1,NA,Scatter,,9,0,0,0,1,4,4,1,
1309,2006,1,4,Susan,Salvo,215,1,1,1,0,5,5,1,
1309,2006,1,8,Karl,Arps,190,1,0,1,0,5,5,1,
1309,2006,1,6,Chris,Page,213,1,1,1,0,5,5,1,
1309,2006,1,NA,Scatter,,7,0,0,0,1,5,5,1,
1309,2008,1,12,Justin,Ego,139,0,0,0,0,6,6,1,
1309,2008,1,11,Jeff,Winkler,366,1,1,1,0,6,6,1,
1309,2008,1,13,Shelley,Mack,350,1,0,0,0,6,6,1,
1309,2008,1,10,Sandy,Fisher,345,1,1,1,0,6,6,1,1 year term
1309,2009,1,10,Sandy,Fisher,454,1,1,1,0,7,7,1,
1309,2009,1,6,Chris,Page,445,1,1,1,0,7,7,1,
1309,2009,1,14,Brad,Schenkel,312,0,0,0,0,7,7,1,
1309,2009,1,15,Jim,Haak,376,1,0,0,0,7,7,1,
1309,2009,1,16,Chuck,Poirier,315,0,0,0,0,7,7,1,
1309,2009,1,NA,Scatter,,7,0,0,0,1,7,7,1,
1309,2010,1,2,Thomas,Bush,280,0,1,1,0,8,8,1,
1309,2010,1,17,Douglas,Cwik,273,0,1,1,0,8,8,1,
1309,2010,1,18,Cathi,Meinecke,336,1,0,0,0,8,8,1,
1309,2010,1,19,Laurie,Steen,469,1,0,0,0,8,8,1,
1309,2011,1,20,Rhonda,Gulbranson,558,0,0,0,0,9,9,1,
1309,2011,1,13,Shelley,Mack,652,1,1,1,0,9,9,1,
1309,2011,1,21,Paul,Haag,705,1,0,0,0,9,9,1,
1309,2011,1,17,Douglas,Cwik,413,0,0,1,0,9,9,1,
1309,2012,1,15,Jim,Haak,440,1,1,1,0,10,10,1,
1309,2012,1,17,Douglas,Cwik,353,1,0,1,0,10,10,1,
1309,2012,1,10,Sandy,Fisher,416,1,1,1,0,10,10,1,
