distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1428,2002,1,1,Tom,Lauffer,614,0,0,0,0,1c,1,0,
1428,2002,1,2,Thomas,Mueller,679,1,1,1,0,1c,1,0,
1428,2002,1,3,Peggie,James,534,0,0,0,0,1b,2,0,
1428,2002,1,4,Missy,Hottmann,684,1,0,0,0,1b,2,0,
1428,2002,1,5,Pat,Reilly,774,1,1,1,0,1a,3,0,
1428,2002,1,6,Jodie,Sorenson,516,0,0,0,0,1a,3,0,
1428,2003,1,7,Bernice,Cornish,568,1,0,0,0,2b,4,0,
1428,2003,1,5,Pat,Reilly,626,1,1,1,0,2a,5,0,
1428,2003,1,NA,Scatter,,19,0,0,0,1,2,5,0,
1428,2004,1,8,Dorothy,Gullickson,503,1,1,1,0,3c,6,0,
1428,2004,1,9,Brian,Hottmann,445,0,0,0,0,3c,6,0,
1428,2004,1,10,Shaun,Sersch,741,1,1,1,0,3a,7,0,
1428,2004,1,11,Mark,Woolley,699,1,0,0,0,3,8,1,
1428,2004,1,NA,Scatter,,16,0,0,0,1,3,8,1,
1428,2005,1,9,Brian,Hottmann,1258,1,0,1,0,4c,9,0,
1428,2005,1,4,Missy,Hottmann,1268,1,1,1,0,4b,10,0,
1428,2005,1,NA,Scatter,,25,0,0,0,1,4,10,0,
1428,2006,1,12,Steven,McCarthy,552,1,0,0,0,5b,11,0,
1428,2006,1,13,James (Jake),Fitzsimons,290,0,0,0,0,5a,12,0,
1428,2006,1,5,Pat,Reilly,408,1,1,1,0,5a,12,0,
1428,2006,1,NA,Scatter,,6,0,0,0,1,5,12,0,
1428,2007,1,14,Anita,Walczak,481,1,0,0,0,6c,13,0,
1428,2007,1,15,Joan,Millard,431,0,0,0,0,6c,13,0,
1428,2007,1,16,Michael,Humke,720,1,0,0,0,6a,14,0,
1428,2007,1,11,Mark,Woolley,744,1,1,1,0,6,15,0,
1428,2007,1,NA,Scatter,,9,0,0,0,1,6,15,0,
1428,2008,1,9,Brian,Hottmann,886,1,1,1,0,7c,16,0,
1428,2008,1,17,Rick,Vinger,67,1,0,0,1,7b,17,0,
1428,2008,1,NA,Scatter,,69,0,0,0,1,7,17,0,
1428,2009,1,18,Don,Kreul,701,1,0,0,0,8b,18,0,
1428,2009,1,5,Pat,Reilly,779,1,1,1,0,8a,19,0,
1428,2009,1,NA,Scatter,,24,0,0,0,1,8,19,0,
1428,2010,1,16,Michael,Humke,966,1,1,1,0,9a,20,0,
1428,2010,1,11,Mark,Woolley,989,1,1,1,0,9,21,1,
1428,2010,1,19,Carrie,Klenko,935,1,0,0,0,9c,22,0,
1428,2010,1,NA,Scatter,,13,0,0,0,1,9,22,0,
1428,2011,1,17,Rick,Vinger,1539,1,1,1,0,10b,23,0,
1428,2011,1,20,Larry,Crowley,1651,1,0,0,0,10,24,1,
1428,2011,1,NA,Scatter,,30,0,0,0,1,10,24,0,
1428,2012,2,21,John,Gardner,51,0,0,0,1,11,25,1,
1428,2012,2,4,Missy,Hottmann,251,1,1,1,0,11,25,1,
1428,2012,2,22,David,Gollon,156,1,0,0,0,11,25,1,
1428,2012,2,18,Don,Kreul,31,0,1,1,1,11,25,1,
1428,2012,2,NA,Scatter,,4,0,0,0,1,11,25,1,
1428,2012,1,5,Pat,Reilly,850,0,1,1,0,12a,26,0,
1428,2012,1,23,Tom,McKinlay,882,1,0,0,0,12a,26,0,
1428,2012,1,4,Missy,Hottmann,976,1,0,1,0,12,27,1,
1428,2012,1,22,David,Gollon,781,0,0,0,0,12,27,1,
1428,2012,1,NA,Scatter,,6,0,0,0,1,12,27,1,
