distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1491,2002,1,1,Richard,Guderian,544,1,1,1,0,1,1,0,
1491,2002,1,2,Myron,Schuster,606,1,1,1,0,1,2,0,
1491,2002,1,NA,Scatter,,18,0,0,0,1,1,2,0,
1491,2003,1,3,James,Crandall,1182,1,1,1,0,2,3,0,
1491,2003,1,4,Tom,Larson,523,1,1,1,0,2,4,0,
1491,2003,1,5,Suzanne,Widmar,776,1,0,0,0,2,4,0,
1491,2003,1,NA,Scatter,,20,0,0,0,1,2,4,0,
1491,2004,1,6,Patsy,Rieckhoff,767,1,1,1,0,3,5,0,
1491,2004,1,NA,Scatter,,14,0,0,0,1,3,5,0,
1491,2005,1,7,Karen,Danielsen,809,1,0,0,0,4,6,0,
1491,2005,1,8,Heather,Wangaard,813,1,0,0,0,4,7,0,
1491,2005,1,NA,Scatter,,12,0,0,0,1,4,7,0,
1491,2006,1,3,James,Crandall,316,1,1,1,0,5,8,0,
1491,2006,1,5,Suzanne,Widmar,245,1,1,1,0,5,9,0,
1491,2007,1,1,Richard,Guderian,814,1,0,1,0,6,10,0,
1491,2007,1,NA,Scatter,,16,0,0,0,1,6,10,0,
1491,2008,1,7,Karen,Danielsen,401,1,1,1,0,7,11,0,
1491,2008,1,9,Heather,Ludzack,406,1,1,0,0,7,12,0,
1491,2008,1,NA,Scatter,,15,0,0,0,1,7,12,0,
1491,2009,1,3,James,Crandall,1216,1,1,1,0,8,13,0,
1491,2009,1,5,Suzanne,Widmar,1207,1,1,1,0,8,14,0,
1491,2009,1,NA,Scatter,,6,0,0,0,1,8,14,0,
1491,2010,1,10,Rachel,Coughtry,236,1,0,0,0,9,15,0,
1491,2010,1,11,Edward,Hedican,168,0,0,0,0,9,16,0,
1491,2010,1,NA,Scatter,,4,0,0,0,1,9,16,0,
1491,2011,1,9,Heather,Ludzack,1308,1,1,1,0,10,16,0,
1491,2011,1,NA,Scatter,,4,0,0,0,1,10,16,0,
1491,2012,1,3,James,Crandall,714,1,1,1,0,11,17,0,
1491,2012,1,NA,Scatter,,2,0,0,0,1,11,17,0,
