distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1554,2002,1,1,Michael,O'Brien,4968,1,1,1,0,1,1,1,
1554,2002,1,2,Lloyd,Joyal,4243,1,1,1,0,1,1,1,
1554,2002,1,NA,Scatter,,66,0,0,0,1,1,1,1,
1554,2003,1,3,Bob,Schwartz,4500,0,0,0,0,2,2,1,
1554,2003,1,4,Mary,Kneer,5642,1,1,1,0,2,2,1,
1554,2003,1,5,Robert,Janke,5781,1,1,1,0,2,2,1,
1554,2003,1,NA,Scatter,,46,0,0,0,1,2,2,1,
1554,2004,1,6,Brent,Wogahn,3738,1,0,0,0,3,3,1,
1554,2004,1,3,Bob,Schwartz,3038,0,0,1,0,3,3,1,
1554,2004,1,7,Carol,Olson,4530,1,1,1,0,3,3,1,
1554,2004,1,8,JoAnne,Evans,4450,1,1,1,0,3,3,1,
1554,2004,1,9,Mary,Therese Johnson,2805,0,0,0,0,3,3,1,
1554,2004,1,NA,Scatter,,33,0,0,0,1,3,3,1,
1554,2005,1,10,Jane,Tappen,3183,0,0,0,0,4,4,1,
1554,2005,1,2,Lloyd,Joyal,2629,0,1,1,0,4,4,1,
1554,2005,1,11,Carol,Craig,4359,1,0,0,0,4,4,1,
1554,2005,1,1,Michael,O'Brien,3528,1,1,1,0,4,4,1,
1554,2005,1,NA,Scatter,,11,0,0,0,1,4,4,1,
1554,2006,1,12,Trish,Cummins,4227,1,0,0,0,5,5,1,
1554,2006,1,5,Robert,Janke,3371,0,1,1,0,5,5,1,
1554,2006,1,4,Mary,Kneer,3639,1,1,1,0,5,5,1,
1554,2006,1,NA,Scatter,,37,0,0,0,1,5,5,1,
1554,2007,1,6,Brent,Wogahn,6457,1,1,1,0,6,6,1,
1554,2007,1,3,Bob,Schwartz,1090,0,0,1,0,6,6,1,
1554,2007,1,13,Ken,Faanes,7595,1,0,0,0,6,6,1,
1554,2007,1,5,Robert,Janke,4812,0,0,1,0,6,6,1,
1554,2007,1,14,Mike,Bollinger,6831,1,0,0,0,6,6,1,
1554,2007,1,15,Maria,Henly,6085,0,0,0,0,6,6,1,
1554,2007,1,16,Terri,Stanley,5652,0,0,0,0,6,6,1,
1554,2007,1,NA,Scatter,,23,0,0,0,1,6,6,1,
1554,2008,1,17,Doug,Mell,3107,0,0,0,0,7,7,1,
1554,2008,1,18,Adam,Shiel,3475,1,0,0,0,7,7,1,
1554,2008,1,11,Carol,Craig,5569,1,1,1,0,7,7,1,
1554,2008,1,5,Robert,Janke,3250,0,0,1,0,7,7,1,
1554,2008,1,NA,Scatter,,38,0,0,0,1,7,7,1,
1554,2009,1,19,Nicholas,Smiar,2979,0,0,0,0,8,8,1,
1554,2009,1,20,Kathryn,Duax,4231,1,0,0,0,8,8,1,
1554,2009,1,5,Robert,Janke,3184,0,0,1,0,8,8,1,
1554,2009,1,21,Wendy,Sue Johnson,3766,1,0,0,0,8,8,1,
1554,2009,1,NA,Scatter,,41,0,0,0,1,8,8,1,
1554,2010,1,5,Robert,Janke,6642,1,0,1,0,9,9,1,
1554,2010,1,6,Brent,Wogahn,6863,1,1,1,0,9,9,1,
1554,2010,1,13,Ken,Faanes,7265,1,1,1,0,9,9,1,
1554,2010,1,NA,Scatter,,189,0,0,0,1,9,9,1,
1554,2011,1,12,Trish,Cummins,13894,1,0,1,0,10,10,1,
1554,2011,1,11,Carol,Craig,13275,1,1,1,0,10,10,1,
1554,2011,1,22,Dave,Westrate,5012,0,0,0,0,10,10,1,
1554,2011,1,NA,Scatter,,374,0,0,0,1,10,10,1,
1554,2012,2,22,David,Westrate,2331,1,0,1,0,11,11,1,
1554,2012,2,23,Wallace,Brucker,1978,1,0,0,0,11,11,1,
1554,2012,2,21,Wendy,Sue Johnson,2642,1,1,1,0,11,11,1,
1554,2012,2,20,Kathryn,Duax,2604,1,1,1,0,11,11,1,
1554,2012,2,24,Rich,Spindler,1743,0,0,0,0,11,11,1,
1554,2012,2,25,Bruce,Remington,681,0,0,0,0,11,11,1,
1554,2012,2,NA,Scatter,,31,0,0,0,1,11,11,1,
1554,2012,1,21,Wendy,Sue Johnson,8612,1,1,1,0,12,12,1,
1554,2012,1,23,Wallace,Brucker,5279,0,0,0,0,12,12,1,
1554,2012,1,20,Kathryn,Duax,8817,1,1,1,0,12,12,1,
1554,2012,1,22,David,Westrate,6265,0,0,1,0,12,12,1,
1554,2012,1,NA,Scatter,,53,0,0,0,1,12,12,1,
