distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1561,2002,1,1,Carl,Totzke,690,1,1,1,0,1,1,1,
1561,2002,1,2,Brian,Rosewicz,495,0,0,0,0,1,1,1,
1561,2002,1,NA,Scatter,,1,0,0,0,1,1,1,1,
1561,2003,1,3,Sue,Haupt,515,1,1,1,0,2,2,1,
1561,2003,1,4,Scott,Borchardt,523,1,1,1,0,2,2,1,
1561,2003,1,5,Linda,Michalewicz,447,0,0,0,0,2,2,1,
1561,2003,1,NA,Scatter,,9,0,0,0,1,2,2,1,
1561,2004,1,6,William,Dittman,472,1,1,1,0,3,3,1,
1561,2004,1,7,Gary,Lewis,347,1,1,1,0,3,3,1,
1561,2004,1,8,Monica,LufcuBaugh,204,0,0,0,0,3,3,1,
1561,2004,1,9,Richard,Haanstad,320,0,0,0,0,3,3,1,
1561,2005,1,9,Richard,Haanstad,328,1,0,1,0,4,4,1,
1561,2005,1,NA,Scatter,,14,0,0,0,1,4,4,1,
1561,2006,1,3,Sue,Haupt,300,1,1,1,0,5,5,1,
1561,2006,1,5,Linda,Michalewicz,189,0,0,1,0,5,5,1,
1561,2006,1,NA,Scatter,,3,0,0,0,1,5,5,1,
1561,2007,1,6,William,Dittman,560,1,1,1,0,6,6,1,
1561,2007,1,7,Gary,Lewis,523,1,1,1,0,6,6,1,
1561,2007,1,NA,Scatter,,11,0,0,0,1,6,6,1,
1561,2008,1,9,Richard,Haanstad,451,1,1,1,0,7,7,1,
1561,2008,1,NA,Scatter,,6,0,0,0,1,7,7,1,
1561,2009,1,4,Scott,Borchardt,301,0,1,1,0,8,8,1,
1561,2009,1,3,Sue,Haupt,485,1,1,1,0,8,8,1,
1561,2009,1,10,Mike,Wolf,440,1,0,0,0,8,8,1,
1561,2009,1,NA,Scatter,,2,0,0,0,1,8,8,1,
1561,2010,1,6,William,Dittman,194,1,1,1,0,9,9,1,
1561,2010,1,7,Gary,Lewis,180,1,1,1,0,9,9,1,
1561,2010,1,NA,Scatter,,6,0,0,0,1,9,9,1,
1561,2011,1,9,Richard,Haanstad,631,1,1,1,0,10,10,1,
1561,2011,1,NA,Scatter,,6,0,0,0,1,10,10,1,
1561,2012,1,11,Corey,Mueller,513,1,0,0,0,11,11,1,
1561,2012,1,10,Mike,Wolf,458,1,1,1,0,11,11,1,
1561,2012,1,NA,Scatter,,10,0,0,0,1,11,11,1,
