distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1582,2002,1,1,Dennis,Schoeneck,634,1,1,1,0,1,1,1,
1582,2002,1,2,Richard,Burby,500,1,1,1,0,1,1,1,
1582,2002,1,3,Eric,Kurth,297,0,0,0,0,1,1,1,
1582,2002,1,NA,Scatter,,1,0,0,0,1,1,1,1,
1582,2003,1,4,Carol,Blaisdell,669,1,0,0,0,2,2,1,
1582,2003,1,5,Lori,Kilma,460,0,1,1,0,2,2,1,
1582,2004,1,8,Kevin,Schramke,406,1,0,0,0,3,3,1,
1582,2004,1,9,Leonard,Guth,447,1,1,1,0,3,3,1,
1582,2004,1,10,Brian,Flannery,490,1,1,1,0,3,3,1,
1582,2005,2,5,Lori,Kilma,125,1,0,1,0,4,4,1,
1582,2005,2,2,Richard,Burby,143,1,1,1,0,4,4,1,
1582,2005,2,6,Jerry,Muelver,83,1,0,0,1,4,4,1,
1582,2005,2,7,David,Visser,264,1,0,0,0,4,4,1,
1582,2005,2,8,Marie,Lingnofski,41,0,0,0,1,4,4,1,
1582,2005,1,6,Jerry,Muelver,363,0,0,0,0,5,5,1,
1582,2005,1,2,Richard,Burby,532,0,1,1,0,5,5,1,
1582,2005,1,5,Lori,Kilma,509,0,1,1,0,5,5,1,
1582,2005,1,7,David,Visser,840,1,0,0,0,5,5,1,
1582,2006,1,4,Carol,Blaisdell,388,1,1,1,0,6,6,1,
1582,2006,1,5,Lori,Kilma,325,1,0,1,0,6,6,1,
1582,2006,1,NA,Scatter,,5,0,0,0,1,6,6,1,
1582,2007,1,10,Brian,Flannery,539,1,1,1,0,7,7,1,
1582,2007,1,9,Leonard,Guth,497,1,1,1,0,7,7,1,
1582,2007,1,NA,Scatter,,7,0,0,0,1,7,7,1,
1582,2008,1,5,Lori,Kilma,431,0,1,1,0,8,8,1,
1582,2008,1,7,David,Visser,764,1,1,1,0,8,8,1,
1582,2008,1,11,Robert,Jensen,636,1,0,0,0,8,8,1,
1582,2009,1,12,Kari,Lazers,1213,1,0,0,0,9,9,1,
1582,2009,1,NA,Scatter,,2,0,0,0,1,9,9,1,
1582,2010,1,13,Heather,Roff,123,0,0,0,0,10,10,1,
1582,2010,1,14,Mary,Moore,246,1,0,0,0,10,10,1,
1582,2010,1,15,Ann,Mas,232,1,0,0,0,10,10,1,
1582,2011,1,7,David,Visser,852,1,1,1,0,11,11,1,
1582,2011,1,11,Robert,Jensen,802,1,1,1,0,11,11,1,
1582,2012,1,12,Kari,Lazers,649,1,1,1,0,12,12,1,
1582,2012,1,NA,Scatter,,5,0,0,0,1,12,12,1,
