distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1638,2003,1,1,Susan,Leibsle,720,1,1,1,0,1,1,1,
1638,2003,1,2,Charlie,Nance,382,0,0,0,0,1,1,1,
1638,2003,1,3,Thomas,Jensen,720,1,0,0,0,1,1,1,
1638,2003,1,4,Ray,Baur,775,1,0,0,0,1,1,1,
1638,2003,1,NA,Scatter,,8,0,0,0,1,1,1,1,
1638,2004,1,5,Carol,Burton,608,1,0,0,0,2,2,1,
1638,2004,1,6,Wendy,Carlson,631,1,1,1,0,2,2,1,
1638,2004,1,NA,Scatter,,80,0,0,0,1,2,2,1,
1638,2005,1,7,David,Ketchpaw,801,1,1,0,0,3,3,1,
1638,2005,1,8,Edward,Carlson,691,1,1,1,0,3,3,1,
1638,2005,1,9,Patricia,Christensen,578,0,0,0,0,3,3,1,
1638,2005,1,10,Mitchell,Burtard,255,0,0,0,0,3,3,1,
1638,2005,1,NA,Scatter,,6,0,0,0,1,3,3,1,
1638,2006,1,4,Ray,Baur,1172,1,1,1,0,4,4,1,
1638,2006,1,11,Barbara,Fischer,1218,1,0,0,0,4,4,1,
1638,2006,1,10,Mitchell,Burtard,694,0,0,1,0,4,4,1,
1638,2006,1,12,Susan,Leibsle,1267,1,1,1,0,4,4,1,
1638,2006,1,NA,Scatter,,14,0,0,0,1,4,4,1,
1638,2007,1,NA,Scatter,,36,0,0,0,1,5,5,1,
1638,2007,1,5,Carol,Burton,1663,1,1,1,0,5,5,1,
1638,2007,1,6,Wendy,Carlson,1816,1,1,1,0,5,5,1,
1638,2008,1,7,David,Ketchpaw,1603,1,1,1,0,6,6,1,
1638,2008,1,8,Edward,Carlson,1470,1,1,1,0,6,6,1,
1638,2008,1,NA,Scatter,,265,0,0,0,1,6,6,1,
1638,2009,1,1,Susan,Leibsle,1161,1,1,1,0,7,7,1,
1638,2009,1,4,Ray,Baur,1173,1,1,1,0,7,7,1,
1638,2009,1,11,Barbara,Fischer,1211,1,1,1,0,7,7,1,
1638,2009,1,NA,Scatter,,63,0,0,0,1,7,7,1,
1638,2010,1,5,Carol,Burton,1335,1,1,1,0,8,8,1,
1638,2010,1,6,Wendy,Carlson,1405,1,1,1,0,8,8,1,
1638,2010,1,NA,Scatter,,65,0,0,0,1,8,8,1,
1638,2011,1,7,David,Ketchpaw,2274,1,1,1,0,9,9,1,
1638,2011,1,13,Laurie,Ann Kyle,1148,0,0,0,0,9,9,1,
1638,2011,1,14,David,Stebnitz,1690,1,0,0,0,9,9,1,
1638,2011,1,15,Matt,Wallace,1115,0,0,0,0,9,9,1,
1638,2011,1,NA,Scatter,,36,0,0,0,1,9,9,1,
1638,2012,1,12,Susan,Leibsle,1755,1,1,1,0,10,10,1,
1638,2012,1,16,Dagmar,Knorr,1064,0,0,0,0,10,10,1,
1638,2012,1,17,Matt,O'Donell,1978,1,0,0,0,10,10,1,
1638,2012,1,11,Barbara,Fischer,1861,1,1,1,0,10,10,1,
1638,2012,1,NA,Scatter,,66,0,0,0,1,10,10,1,
