distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race  ID,Area ID,districtwide,notes
714,2002,2,1,Meg,Wartman,2135,1,0,0,0,1,1,1,
714,2002,2,2,Jayson,Sterno,389,0,0,0,0,1,1,1,
714,2002,2,3,Peter,Steib,1459,0,0,0,0,1,1,1,
714,2002,2,4,Lisa,Dexter,1716,1,0,0,0,1,1,1,
714,2002,2,NA,Scatter,,48,0,0,0,1,1,1,1,
714,2002,1,5,Cheri,Sylla,7104,1,1,1,0,2a,2,0,
714,2002,1,6,Bruce,Nattinger,7059,1,1,1,0,2c,3,0,
714,2002,1,4,Lisa,Dexter,4706,1,0,0,0,2,4,1,
714,2002,1,1,Meg,Wartman,4305,0,0,0,0,2,4,1,
714,2002,1,NA,Scatter,,96,0,0,0,1,2,4,1,
714,2003,2,1,Meg,Wartman,1429,1,0,1,0,3,5,1,
714,2003,2,7,David,Penno,747,0,0,0,0,3,5,1,
714,2003,2,8,Charles,Grady,211,0,0,0,0,3,5,1,
714,2003,2,9,Robert,Ziegler,927,1,0,0,0,3,5,1,
714,2003,2,NA,Scatter,,23,0,0,0,1,3,5,1,
714,2003,1,19,Steve,Schwei,5261,1,1,1,0,4d,6,0,
714,2003,1,1,Meg,Wartman,3702,1,0,1,0,4,7,1,
714,2003,1,9,Robert,Ziegler,3294,0,0,0,0,4,7,1,
714,2003,1,NA,Scatter,,25,0,0,0,1,4,7,1,
714,2004,2,9,Robert,Ziegler,3510,1,0,1,0,5,8,1,
714,2004,2,10,Marilyn,LaCourt,1375,0,0,0,0,5,8,1,
714,2004,2,11,Tom ,Gehl,2606,1,0,0,0,5,8,1,
714,2004,2,12,Patrick,Murphy Jr.,3111,1,0,0,0,5,8,1,
714,2004,2,13,Margie,Sotala,745,0,0,0,0,5,8,1,
714,2004,2,14,Lyda,Osinga,1196,0,0,0,0,5,8,1,
714,2004,2,15,Lori,Gensch,1501,1,0,0,0,5,8,1,
714,2004,2,NA,Scatter,,56,0,0,0,1,5,8,1,
714,2004,1,16,Sandra,Ford,4291,1,0,0,0,6b,9,0,
714,2004,1,17,Kal,Larson,3489,0,0,0,0,6b,9,0,
714,2004,1,15,Lori,Gensch,2944,0,0,0,0,6,10,1,
714,2004,1,11,Tom ,Gehl,4307,0,0,0,0,6,10,1,
714,2004,1,9,Robert,Ziegler,4748,1,0,1,0,6,10,1,
714,2004,1,12,Patrick,Murphy Jr.,4322,1,0,0,0,6,10,1,
714,2004,1,NA,Scatter,,58,0,0,0,1,6,10,1,
714,2005,1,5,Cheri,Sylla,5115,1,1,1,0,7a,11,0,
714,2005,1,11,Tom ,Gehl,5265,1,0,1,0,7c,11,0,
714,2005,1,12,Patrick,Murphy Jr.,4046,1,1,1,0,7,12,1,
714,2005,1,18,Glen,Allgaier,3254,0,0,0,0,7,12,1,
714,2005,1,NA,Scatter,93,0,0,0,0,1,7,12,1,
714,2006,1,19,Steve,Schwei,7415,1,1,1,0,8d,13,0,
714,2006,1,1,Meg,Wartman,7719,1,1,1,0,8,14,1,
714,2006,1,NA,Scatter,,270,0,0,0,1,8,14,1,
714,2007,1,18,Glen,Allgaier,11925,1,0,1,0,9b,15,0,
714,2007,1,9,Robert,Ziegler,11756,1,1,1,0,9,16,1,
714,2007,1,NA,Scatter,,1273,0,0,0,1,9,16,1,
714,2008,1,20,Gary,Jones,5049,1,0,0,0,10a,17,0,
