distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1666,2002,1,1,Susan,Knegendorf,146,0,1,1,0,1,1,1,
1666,2002,1,2,William,Link,279,1,1,1,0,1,1,1,Not sure if this is also a winner
1666,2002,1,3,Sue,Borgerson,286,1,0,0,0,1,1,1,
1666,2003,1,4,Jim,Maves,276,1,0,0,0,2,2,1,
1666,2003,1,5,Bernard,Christman,262,1,1,1,0,2,2,1,
1666,2003,1,6,Betty,Riess,247,1,0,0,0,2,2,1,
1666,2003,1,7,Jason,Afdahl,163,0,0,0,0,2,2,1,
1666,2003,1,8,Roger,Kassera,140,0,1,1,0,2,2,1,
1666,2003,1,NA,Scatter,Scatter,6,0,0,0,1,2,2,1,
1666,2004,1,9,David,Wolf,202,1,1,1,0,3,3,1,
1666,2004,1,10,Anthony,Baier,212,1,1,1,0,3,3,1,
1666,2004,1,NA,Scatter,Scatter,26,0,0,0,1,3,3,1,
1666,2005,1,2,William,Link,240,1,1,1,0,4,4,1,
1666,2005,1,3,Sue,Borgerson,245,1,1,1,0,4,4,1,
1666,2005,1,NA,Scatter,Scatter,2,0,0,0,1,4,4,1,
1666,2006,1,11,Kory,Graf,74,0,0,0,1,5,5,1,
1666,2006,1,5,Bernard,Christman,134,0,1,1,0,5,5,1,
1666,2006,1,12,Jennelle,Wolf,208,1,0,0,0,5,5,1,
1666,2006,1,13,Stacy,Lee,161,0,0,0,0,5,5,1,
1666,2006,1,4,Jim,Maves,245,1,1,1,0,5,5,1,
1666,2006,1,14,Robert,Rupakus,171,0,0,0,0,5,5,1,
1666,2006,1,7,Jason,Afdahl,186,1,0,1,0,5,5,1,
1666,2006,1,15,Barvey,Buck,1,0,0,0,1,5,5,1,
1666,2006,1,16,Rick,Talford,1,0,0,0,1,5,5,1,
1666,2006,1,17,JIm,Marson,1,0,0,0,1,5,5,1,
1666,2007,1,18,Paul,Peterson,420,1,0,0,0,6,6,1,
1666,2007,1,19,Steve,Thompson,437,1,0,0,0,6,6,1,
1666,2007,1,5,Bernard,Christman,314,1,0,1,0,6,6,1,
1666,2007,1,11,Kory,Graf,187,0,0,1,0,6,6,1,
1666,2007,1,20,Tiffany,Laper,165,0,0,0,0,6,6,1,
1666,2007,1,9,David,Wolf,262,1,1,1,0,6,6,1,
1666,2008,1,5,Bernard,Christman,189,1,1,1,0,7,7,1,
1666,2008,1,11,Kory,Graf,183,0,1,1,0,7,7,1,
1666,2008,1,21,Jeff,Riess,215,1,0,1,0,7,7,1,
1666,2008,1,22,Jodi,Pulk,15,0,0,0,1,7,7,1,
1666,2008,1,23,Mike,Mooney,1,0,0,0,1,7,7,1,
1666,2009,1,24,Gabriel,Weix,280,1,0,0,0,8,8,1,
1666,2009,1,25,John,Crownhart,323,1,0,0,0,8,8,1,
1666,2009,1,26,Greg,Nelson,72,0,0,0,1,8,8,1,
1666,2009,1,27,Adam,Carson,44,0,0,0,1,8,8,1,
1666,2009,1,11,Kory,Graf,14,0,0,1,1,8,8,1,
1666,2009,1,28,Lori,Wells,5,0,0,0,1,8,8,1,
1666,2009,1,29,Neil,Boltik,2,0,0,0,1,8,8,1,
1666,2009,1,30,Sharon,VandenB,2,0,0,0,1,8,8,1,
1666,2009,1,22,Jodi,Pulk,2,0,0,1,1,8,8,1,
1666,2009,1,31,Brett,Hartung,1,0,0,0,1,8,8,1,
1666,2010,1,11,Kory,Graf,150,0,0,1,0,9,9,1,
1666,2010,1,9,David,Wolf,165,0,1,1,0,9,9,1,
1666,2010,1,18,Paul,Peterson,260,1,1,1,0,9,9,1,
1666,2010,1,32,Sandra,Weix,226,1,0,0,0,9,9,1,
1666,2010,1,NA,Scatter,Scatter,8,0,0,0,1,9,9,1,
1666,2011,1,33,Brooke,Glaus,360,1,0,0,0,10,10,1,
1666,2011,1,5,Bernard,Christman,327,1,1,1,0,10,10,1,
1666,2011,1,27,Adam,Carson,223,0,0,1,0,10,10,1,
1666,2011,1,34,Ken,Brown,1,0,0,0,1,10,10,1,
1666,2011,1,35,Jim,Kings,1,0,0,0,1,10,10,1,
1666,2011,1,36,Jude,Weix,1,0,0,0,1,10,10,1,
1666,2011,1,37,Mandy,,5,0,0,0,1,10,10,1,Cannot recognize the last name.
1666,2011,1,38,Geoff,Wells,2,0,0,0,1,10,10,1,
1666,2012,1,25,John,Crownhart,295,1,1,1,0,11,11,1,
1666,2012,1,26,Greg,Nelson,276,1,1,1,0,11,11,1,
1666,2012,1,39,Jeffrey,Wolf,167,0,0,1,0,11,11,1,
1666,2012,1,24,Gabriel,Weix,212,0,1,1,0,11,11,1,
1666,2012,1,Na,Scatter,Scatter,7,0,0,0,1,11,11,1,
