distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1687,2010,1,1,Terry,Klubertanz,175,1,0,0,0,1,1,1,
1687,2010,1,2,Nedra,Johnson,169,1,1,1,0,1,1,1,
1687,2010,1,NA,Scatter,,2,0,0,0,1,1,1,1,
1687,2011,1,3,Dave,Schippers,603,1,1,1,0,2,2,1,
1687,2011,1,4,Patty,Stewart,526,1,1,1,0,2,2,1,
1687,2011,1,5,Jessica,McMullen,512,1,0,0,0,2,2,1,
1687,2011,1,NA,Scatter,,7,0,0,0,1,2,2,1,
1687,2012,1,5,Jessica,McMullen,486,1,0,0,0,3,3,1,
1687,2012,1,6,Cornell,Rosario,355,1,1,1,0,3,3,1,
1687,2012,1,NA,Scatter,,3,0,0,0,1,3,3,1,
1687,2013,1,1,Terry,Klubertanz,355,1,1,1,0,4,4,1,
1687,2013,1,7,Bob,Boyd,357,1,0,0,0,4,4,1,
1687,2013,1,NA,Scatter,,6,0,0,0,1,4,4,1,
