distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1729,2005,1,1,AnnMarie,Anderson,319,1,1,1,0,1,1,1,
1729,2005,1,2,Todd,Chaney,308,1,1,1,0,1,1,1,
1729,2006,1,3,Tom,Bornick,187,1,0,0,0,2,2,1,
1729,2006,1,4,Andrew,Bourget,257,1,1,1,0,2,2,1,
1729,2006,1,5,Kathy,Strasburg,146,0,1,1,0,2,2,1,
1729,2006,1,NA,Scatter,,1,0,0,0,1,2,2,1,
1729,2007,1,6,Brock,Wright,359,1,0,0,0,3,3,1,
1729,2007,1,7,Douglas,Dunham,201,0,0,0,0,3,3,1,
1729,2007,1,NA,Scatter,,1,0,0,0,1,3,3,1,
1729,2008,1,1,AnnMarie,Anderson,298,1,1,1,0,4,4,1,
1729,2008,1,7,Douglas,Dunham,296,1,0,1,0,4,4,1,
1729,2008,1,NA,Scatter,,12,0,0,0,1,4,4,1,
1729,2009,1,8,Troy,Strasburg,521,1,0,0,0,5,5,1,
1729,2009,1,9,Kay,Schumacher,110,1,0,0,0,5,5,1,
1729,2009,1,3,Thomas,Bornick,35,0,0,1,1,5,5,1,
1729,2010,1,6,Brock,Wright,514,1,1,1,0,6,6,1,
1729,2010,1,NA,Scatter,,8,0,0,0,1,6,6,1,
1729,2011,1,1,AnnMarie,Anderson,778,1,1,1,0,7,7,1,
1729,2011,1,7,Douglas,Dunham,733,1,1,1,0,7,7,1,
1729,2011,1,NA,Scatter,,18,0,0,0,1,7,7,1,
1729,2012,1,10,Steve,Gillett,522,1,0,0,0,8,8,1,
1729,2012,1,11,Jan,Hock,348,0,0,0,0,8,8,1,
1729,2012,1,9,Kay,Schumacher,663,1,1,1,0,8,8,1,
1729,2012,1,NA,Scatter,,11,0,0,0,1,8,8,1,
