distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5757,2002,1,1,Keith,Herrman,465,1,1,1,0,1,1,1,
5757,2002,1,2,Rod,Ellwanger,452,1,0,0,0,1,1,1,
5757,2002,1,3,Julie,Verdegan,424,1,1,1,0,1,1,1,
5757,2002,1,4,Linda,Izdepski,406,0,1,1,0,1,1,1,
5757,2002,1,5,Chad,Smith,199,0,0,0,0,1,1,1,
5757,2002,1,6,Dan,Strey,183,0,0,0,0,1,1,1,
5757,2003,1,7,Scott,Lybert,612,1,1,1,0,2,2,1,
5757,2003,1,8,Sue,Mills,545,1,1,1,0,2,2,1,
5757,2004,1,4,Linda,Izdepski,442,1,1,1,0,3,3,1,
5757,2004,1,9,Sam,Steward,427,1,1,1,0,3,3,1,
5757,2004,1,10,Jason,Gillis,306,0,0,0,0,3,3,1,
5757,2004,1,11,Jim,Meng,250,0,0,0,0,3,3,1,
5757,2005,1,12,James,Segebrecht,525,1,0,0,0,4,4,1,
5757,2005,1,1,Keith,Herrman,451,1,1,1,0,4,4,1,
5757,2005,1,13,Julie,Hauser,444,1,0,0,0,4,4,1,
5757,2005,1,2,Rod,Ellwanger,392,0,1,1,0,4,4,1,
5757,2005,1,14,Todd,Pake,267,0,0,0,0,4,4,1,
5757,2006,1,15,Theresa,Gulish,295,1,0,0,0,5,5,1,
5757,2006,1,8,Sue,Mills,369,1,1,1,0,5,5,1,
5757,2007,1,4,Linda,Izdepski,493,1,1,1,0,6,6,1,
5757,2007,1,9,Sam,Steward,570,1,1,1,0,6,6,1,
5757,2008,1,12,James,Segebrecht,415,1,1,1,0,7,7,1,
5757,2008,1,1,Keith,Herrman,377,1,1,1,0,7,7,1,
5757,2008,1,13,Julie,Hauser,365,1,1,1,0,7,7,1,
5757,2008,1,16,Amy,Lund,356,0,0,0,0,7,7,1,
5757,2009,1,17,Doug,Dicus,393,1,0,0,0,8,8,1,
5757,2009,1,8,Sue,Mills,323,1,1,1,0,8,8,1,
5757,2009,1,16,Amy,Lund,312,0,0,1,0,8,8,1,
5757,2009,1,15,Theresa,Gulish,146,0,1,1,0,8,8,1,
5757,2010,1,9,Sam,Steward,405,1,1,1,0,9,9,1,
5757,2010,1,18,Nancy,Augustine,387,1,0,0,0,9,9,1,
5757,2010,1,19,Darrell,Gago,375,0,0,0,0,9,9,1,
5757,2010,1,4,Linda,Izdepski,248,0,1,1,0,9,9,1,
5757,2011,1,13,Julie,Hauser,758,1,1,1,0,10,10,1,
5757,2011,1,1,Keith,Herrman,774,1,1,1,0,10,10,1,
5757,2011,1,19,Darrell,Gago,751,1,0,1,0,10,10,1,
5757,2012,1,17,Doug,Dicus,524,1,1,1,0,11,11,1,
5757,2012,1,8,Sue,Mills,427,0,1,1,0,11,11,1,
5757,2012,1,20,Kurt,Lund,489,1,0,0,0,11,11,1,
