distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1855,2002,1,1,Bob,Tartar,663,1,0,0,0,1,1,1,
1855,2002,1,2,Jeanette,Bomberg,265,0,1,1,0,1,1,1,
1855,2002,1,3,Mike,Glime,722,1,0,0,0,1,1,1,
1855,2002,1,4,Mary,Grell,208,0,1,1,0,1,1,1,
1855,2002,1,NA,Scatter,,22,0,0,0,1,1,1,1,
1855,2004,1,5,Terri,Wendt,277,1,0,0,0,2,2,1,
1855,2004,1,6,Jenny,Behrmann,354,1,0,0,0,2,2,1,
1855,2004,1,7,Ron,Smith,278,1,1,0,0,2,2,1,
1855,2004,1,8,Charles,Kellstrom,214,0,1,0,0,2,2,1,
1855,2004,1,NA,Scatter,,11,0,0,0,1,2,2,1,
1855,2005,1,9,Jim,Gehlhoff,746,1,0,0,0,3,3,1,
1855,2005,1,10,Dan,Brereton,645,1,0,0,0,3,3,1,
1855,2005,1,11,Liz,Reiten,515,0,0,0,0,3,3,1,
1855,2005,1,12,Jeff,Borchardt,542,0,0,0,0,3,3,1,
1855,2005,1,NA,Scatter,,9,0,0,0,1,3,3,1,
1855,2006,2,13,Rich,Wolosyn,457,1,0,0,0,4,4,1,
1855,2006,2,14,James,Weathers,255,0,0,0,0,4,4,1,
1855,2006,2,15,Jeff,Crago,381,1,0,0,0,4,4,1,
1855,2006,2,11,Liz,Reiten,314,1,0,1,0,4,4,1,
1855,2006,2,16,Lori,Patterson,359,1,0,0,0,4,4,1,
1855,2006,2,NA,Scatter,,10,0,0,0,1,4,4,1,
1855,2006,1,11,Liz,Reiten,457,0,0,1,0,5,5,1,
1855,2006,1,16,Lori,Patterson,386,0,0,0,0,5,5,1,
1855,2006,1,13,Rich,Wolosyn,609,1,0,0,0,5,5,1,
1855,2006,1,15,Jeff,Crago,583,1,0,0,0,5,5,1,
1855,2006,1,NA,Scatter,,3,0,0,0,1,5,5,1,
1855,2007,1,6,Jenny,Behrmann,768,1,1,1,0,6,6,1,
1855,2007,1,7,Ron,Smith,807,1,1,1,0,6,6,1,
1855,2007,1,17,Jim,Churchill,882,1,0,0,0,6,6,1,
1855,2007,1,16,Lori,Patterson,260,1,0,1,0,6,6,1,
1855,2007,1,18,Gerry,Gerard,146,0,0,0,0,6,6,1,
1855,2007,1,19,Ken,Johnson,41,0,0,0,1,6,6,1,
1855,2007,1,NA,Scatter,,48,0,0,0,1,6,6,1,
1855,2008,1,10,Dan,Brereton,428,1,1,1,0,7,7,1,
1855,2008,1,20,Perry,Gagnon,108,0,0,0,0,7,7,1,
1855,2008,1,9,Jim,Gehlhoff,543,1,1,1,0,7,7,1,
1855,2008,1,8,Charles,Kellstrom,110,0,1,1,0,7,7,1,
1855,2008,1,NA,Scatter,,17,0,0,0,1,7,7,1,
1855,2009,1,21,Sue,Hoogland,570,1,0,0,0,8,8,1,
1855,2009,1,16,Lori,Patterson,494,1,0,1,0,8,8,1,
1855,2009,1,13,Rich,Wolosyn,338,1,1,1,0,8,8,1,
1855,2009,1,22,Grace,Michaud,71,0,0,0,1,8,8,1,
1855,2009,1,NA,Scatter,,19,0,0,0,1,8,8,1,
1855,2010,1,17,Jim,Churchill,193,1,1,1,0,9,9,1,
1855,2010,1,23,Don,Dumke,183,1,0,0,0,9,9,1,
1855,2010,1,24,Ron,Yadro,162,1,0,0,0,9,9,1,
1855,2010,1,NA,Scatter,,5,0,0,0,1,9,9,1,
1855,2011,1,9,Jim,Gehlhoff,1111,1,1,1,0,10,10,1,
1855,2011,1,NA,Scatter,,15,0,0,0,1,10,10,1,
1855,2012,1,16,Lori,Patterson,664,1,1,1,0,11,11,1,
1855,2012,1,25,Tom,Jonet,28,0,0,0,1,11,11,1,
1855,2012,1,26,Barb,Bauer,14,0,0,0,1,11,11,1,
1855,2012,1,13,Rich,Wolosyn,32,0,1,1,1,11,11,1,
1855,2012,1,NA,Scatter,,9,0,0,0,1,11,11,1,
