distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1890,2006,1,1,Michael,Moore,523,1,1,1,0,1,1,1,
1890,2007,1,2,Barbara,Mannion,870,0,0,0,0,2,2,1,
1890,2007,1,3,Mary,Keefe,870,1,1,1,0,2,2,1,
1890,2007,1,4,Michael,Weiss,962,1,0,0,0,2,2,1,
1890,2007,1,NA,Scatter,,3,0,0,0,1,2,2,1,
1890,2008,1,5,Timothy,Melchert,979,1,0,0,0,3,3,1,
1890,2008,1,6,Alice,Lawton,1058,1,0,0,0,3,3,1,
1890,2009,1,7,Anthony,Pecoraro,427,0,0,0,0,4,4,1,
1890,2009,1,8,Debbie,Friberg,597,1,0,0,0,4,4,1,
1890,2010,1,4,Michael,Weiss,488,1,1,1,0,5,5,1,
1890,2010,1,9,Eliz,Greene,413,1,0,0,0,5,5,1,
1890,2011,1,5,Timothy,Melchert,1324,1,1,1,0,6,6,1,
1890,2011,1,6,Alice,Lawton,1416,1,1,1,0,6,6,1,
1890,2012,1,10,Eilene,Stevens,636,1,0,0,0,7,7,1,
1890,2012,1,8,Debbie,Friberg,689,1,1,1,0,7,7,1,
