distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
1939,2002,1,1,Terry,Taylor,170,0,0,0,0,1,1,1,
1939,2002,1,2,Fred,Grimm,476,1,0,0,0,1,1,1,
1939,2002,1,NA,Scatter,,1,0,0,0,1,1,1,1,
1939,2003,1,3,Wallace,Koel,685,1,0,0,0,2,2,1,
1939,2003,1,4,David,Pederson,602,1,1,1,0,2,2,1,
1939,2003,1,5,Jay,Stackhouse,263,0,0,0,0,2,2,1,
1939,2003,1,6,Mark,Hayman,149,0,0,0,0,2,2,1,
1939,2003,1,7,Joseph,Lindberg,10,0,0,0,1,2,2,1,
1939,2003,1,NA,Scatter,,12,0,0,0,1,2,2,1,
1939,2004,1,8,Kay,Friberg,390,1,1,1,0,3,3,1,
1939,2004,1,1,Terry,Taylor,167,1,0,0,0,3,3,1,
1939,2004,1,7,Joseph,Lindberg,152,0,0,1,0,3,3,1,
1939,2004,1,9,Bruce,Chell,135,0,1,1,0,3,3,1,
1939,2004,1,10,Kim,Owens,32,0,0,0,1,3,3,1,
1939,2004,1,NA,Scatter,,4,0,0,0,1,3,3,1,
1939,2005,1,11,Jamie,Alexander,31,0,0,0,1,4,4,1,
1939,2005,1,12,David,Ammend,354,1,0,0,0,4,4,1,
1939,2005,1,13,Edward,Hochstetler,129,0,0,0,0,4,4,1,
1939,2005,1,14,Donna,Grindell,51,0,0,0,1,4,4,1,
1939,2006,1,4,David,Pederson,271,1,1,1,0,5,5,1,
1939,2006,1,15,Marilyn,Sederlund,352,1,0,0,0,5,5,1,
1939,2007,1,1,Terry,Taylor,198,0,1,1,0,6,6,1,
1939,2007,1,16,Becky,Amundson,407,1,0,0,0,6,6,1,
1939,2007,1,17,Scott,Nelson,400,1,0,0,0,6,6,1,
1939,2007,1,18,Kay,Friberg,332,1,0,0,0,6,6,1,
1939,2007,1,19,Leroy,Jensen,201,0,0,0,0,6,6,1,
1939,2007,1,20,Shari,Matz,378,1,0,0,0,6,6,1,
1939,2008,1,1,Terry,Taylor,381,1,0,1,0,7,7,1,
1939,2009,1,20,Shari,Matz,382,1,1,1,0,8,8,1,
1939,2009,1,21,Troy,Engen,331,1,0,0,0,8,8,1,
1939,2010,1,16,Becky,Amundson,268,1,1,1,0,9,9,1,
1939,2010,1,22,Chuck,Holicky,223,1,0,0,0,9,9,1,
1939,2010,1,17,Scott,Nelson,256,1,1,1,0,9,9,1,
1939,2010,1,NA,Scatter,,6,0,0,0,1,9,9,1,
1939,2011,1,22,Chuck,Holicky,594,1,1,1,0,10,10,1,
1939,2012,1,20,Shari,Matz,417,1,1,1,0,11,11,1,
1939,2012,1,21,Troy,Engen,412,1,1,1,0,11,11,1,
1939,2012,1,NA,Scatter,,15,0,0,0,1,11,11,1,
