distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4843,2006,1,1,Bob,Bilda,191,1,1,1,0,1,1,1,
4843,2006,1,2,Ann,Otto,200,1,1,1,0,1,1,1,
4843,2006,1,NA,Scatter,,9,0,0,0,1,1,1,1,
4843,2007,1,3,Tom,Wolf,409,1,1,1,0,2,2,1,
4843,2007,1,NA,Scatter,,1,0,0,0,1,2,2,1,
4843,2008,1,4,Paul,Amberg,243,1,0,0,0,3,3,1,
4843,2008,1,5,Brian,Rick,188,1,0,0,0,3,3,1,
4843,2008,1,6,Julia,Perley,185,0,0,0,0,3,3,1,
4843,2009,1,7,Jennifer,Setterlun,278,1,0,0,0,4,4,1,
4843,2009,1,8,Ellen,Duhamel,226,1,0,0,0,4,4,1,
4843,2009,1,NA,Scatter,,4,0,0,0,1,4,4,1,
4843,2010,1,3,Tom,Wolf,206,1,1,1,0,5,5,1,
4843,2010,1,NA,Scatter,,2,0,0,0,1,5,5,1,
4843,2011,1,5,Brian,Rick,468,1,1,1,0,6,6,1,
4843,2011,1,9,Tony,Kellicut,436,1,0,0,0,6,6,1,
4843,2011,1,NA,Scatter,,4,0,0,0,1,6,6,1,
4843,2012,1,7,Jennifer,Setterlun,419,1,1,1,0,7,7,1,
4843,2012,1,8,Ellen,Duhamel,352,1,1,1,0,7,7,1,
4843,2012,1,NA,Scatter,,6,0,0,0,1,7,7,1,
