distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2051,2002,1,1,Jaye,Tritz,284,1,1,1,0,1,1,1,
2051,2002,1,NA,Scatter,,2,0,0,0,1,1,1,1,
2051,2003,1,2,Patrick,Sherman,309,0,1,1,0,2,2,1,
2051,2003,1,3,Bill,Engelman,331,1,1,1,0,2,2,1,
2051,2003,1,4,Donna,Ecklund,449,1,1,1,0,2,2,1,
2051,2003,1,NA,Scatter,,7,0,0,0,1,2,2,1,
2051,2004,1,2,Patrick,Sherman,88,1,1,1,1,3,3,1,
2051,2004,1,5,Mary,Goad,117,1,1,1,0,3,3,1,
2051,2004,1,NA,Scatter,,5,0,0,0,1,3,3,1,
2051,2005,1,1,Jaye,Tritz,208,1,1,1,0,4,4,1,
2051,2006,1,4,Donna,Ecklund,334,1,1,1,0,5,5,1,
2051,2006,1,3,Bill,Engelman,251,1,1,1,0,5,5,1,
2051,2006,1,NA,Scatter,,7,0,0,0,1,5,5,1,
2051,2007,1,5,Mary,Goad,310,1,1,1,0,6,6,1,
2051,2007,1,2,Patrick,Sherman,286,1,1,1,0,6,6,1,
2051,2007,1,NA,Scatter,,8,0,0,0,1,6,6,1,
2051,2008,1,1,Jaye,Tritz,303,1,1,1,0,7,7,1,
2051,2008,1,NA,Scatter,,2,0,0,0,1,7,7,1,
2051,2009,1,4,Donna,Ecklund,250,1,1,1,0,8,8,1,
2051,2009,1,2,Bill,Engelman,233,1,1,1,0,8,8,1,
2051,2009,1,NA,Scatter,,4,0,0,0,1,8,8,1,
2051,2010,1,5,Mary,Goad,235,1,1,1,0,9,9,1,
2051,2010,1,2,Patrick,Sherman,205,1,1,1,0,9,9,1,
2051,2010,1,6,Jason,Schoolfield,175,1,0,0,0,9,9,1,
2051,2010,1,NA,Scatter,,5,0,0,0,1,9,9,1,
2051,2011,1,1,Jaye,Tritz,497,1,1,1,0,10,10,1,
2051,2011,1,NA,Scatter,,7,0,0,0,1,10,10,1,
2051,2012,1,3,Bill,Engelman,283,1,1,1,0,11,11,1,
2051,2012,1,6,Jason,Schoolfield,243,1,1,1,0,11,11,1,
2051,2012,1,NA,Scatter,,3,0,0,0,1,11,11,1,
