distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2184,2002,1,1,Frederick,McManus,1000,1,0,0,0,1,1,1,Imputed vote total
2184,2003,1,2,Peter,Lawent,724,0,0,0,0,2,2,1,
2184,2003,1,3,Nicholas,Hassler,1211,1,1,1,0,2,2,1,
2184,2003,1,4,Jan,Zall,1320,1,1,1,0,2,2,1,
2184,2004,1,5,Joe,Heuer,989,0,0,0,0,3,3,1,
2184,2004,1,6,Robert,Roska,1199,1,0,0,0,3,3,1,
2184,2004,1,7,Marcy,Conen,1975,1,1,1,0,3,3,1,
2184,2004,1,8,Nancy,Rothenberg-Sandler,1125,0,0,0,0,3,3,1,
2184,2005,1,1,Frederick,McManus,1190,1,1,1,0,4,4,1,
2184,2006,1,9,Theresa,Seem,696,0,0,0,0,5,5,1,
2184,2006,1,3,Nicholas,Hassler,1000,1,1,1,0,5,5,1,
2184,2006,1,10,Jennifer,Peltz,1491,1,0,0,0,5,5,1,
2184,2006,1,11,Timothy,Eliasen,691,0,0,0,0,5,5,1,
2184,2006,1,NA,Scatter,,1,0,0,0,1,5,5,1,
2184,2007,1,12,Jean,Pereles-Strouse,2178,1,0,0,0,6,6,1,
2184,2007,1,6,Robert,Roska,1885,1,1,1,0,6,6,1,
2184,2008,1,13,Bryan,Kennedy,1938,1,0,0,0,7,7,1,
2184,2008,1,9,Theresa,Seem,1326,0,1,1,0,7,7,1,
2184,2009,1,14,Andrew,Franklin,1450,1,0,0,0,8,8,1,
2184,2009,1,9,Theresa,Seem,1313,1,0,1,0,8,8,1,
2184,2010,1,6,Robert,Roska,600,1,1,1,0,9,9,1,
2184,2010,1,12,Jean,Pereles-Strouse,647,1,1,1,0,9,9,1,
2184,2010,1,NA,Scatter,,1,0,0,0,1,9,9,1,
2184,2011,1,13,Bryan,Kennedy,2506,1,1,1,0,10,10,1,
2184,2011,1,15,Bruce,Brocker,1406,0,0,0,0,10,10,1,
2184,2011,1,NA,Scatter,,1,0,0,0,1,10,10,1,
2184,2012,1,14,Andrew,Franklin,1592,1,1,1,0,11,11,1,
2184,2012,1,9,Theresa,Seem,1375,1,1,1,0,11,11,1,
