distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2198,2002,1,1,Robert,Bartz,210,1,1,1,0,1,1,1,
2198,2002,1,2,Richard,Bonte,222,1,1,1,0,1,1,1,
2198,2002,1,NA,Scatter,,15,0,0,0,1,1,1,1,
2198,2003,1,3,Jerry,Stoner,331,0,0,0,0,2,0,1,
2198,2003,1,4,Charles,Rasmussen,461,1,1,1,0,2,0,1,
2198,2003,1,5,Judy,Achterhof,345,1,0,0,0,2,0,1,
2198,2003,1,6,Edwin,James,306,0,1,1,0,2,0,1,
2198,2003,1,NA,Scatter,,1,0,0,0,1,2,0,1,
2198,2004,1,7,Lisa,Kaiser,430,1,1,1,0,3,0,1,
2198,2004,1,8,John,Logghe,465,1,1,1,0,3,0,1,
2198,2004,1,9,Lori,Klinger,365,1,0,0,0,3,0,1,
2198,2004,1,3,Jerry,Stoner,315,0,0,1,0,3,0,1,
2198,2004,1,NA,Scatter,,9,0,0,0,1,3,0,1,
2198,2005,2,10,Jon,Mrdutt,124,1,0,0,0,4,0,1,
2198,2005,2,2,Richard,Bonte,61,0,1,1,1,4,0,1,
2198,2005,2,11,Mike,Kadinger,129,1,0,0,0,4,0,1,
2198,2005,2,12,Wayne,Bundy,71,1,0,0,1,4,0,1,
2198,2005,2,13,Richard,Wagner,71,1,0,0,1,4,0,1,
2198,2005,1,13,Richard,Wagner,195,0,0,0,0,5,0,1,
2198,2005,1,10,Jon,Mrdutt,351,1,0,0,0,5,0,1,
2198,2005,1,11,Mike,Kadinger,401,1,0,0,0,5,0,1,
2198,2005,1,12,Wayne,Bundy,249,0,0,0,0,5,0,1,
2198,2006,1,5,Judy,Achterhof,262,1,1,1,0,6,0,1,
2198,2006,1,4,Charles,Rasmussen,304,1,1,1,0,6,0,1,
2198,2006,1,NA,Scatter,,7,0,0,0,1,6,0,1,
2198,2007,1,8,John,Logghe,474,1,1,1,0,7,0,1,
2198,2007,1,7,Lisa,Kaiser,404,1,1,1,0,7,0,1,
2198,2007,1,14,Carole,Schurtz,313,0,0,0,0,7,0,1,
2198,2007,1,9,Lori,Klinger,454,1,1,1,0,7,0,1,
2198,2007,1,NA,Scatter,,5,0,0,0,1,7,0,1,
2198,2008,1,15,Duane,Thompson,147,0,0,0,0,8,0,1,
2198,2008,1,16,Betsy,Glenn,144,0,0,0,0,8,0,1,
2198,2008,1,10,Jon,Mrdutt,235,1,1,1,0,8,0,1,
2198,2008,1,17,Kevin,Bonte,206,1,0,0,0,8,0,1,
2198,2008,1,NA,Scatter,,6,0,0,0,1,8,0,1,
2198,2009,1,4,Charles,Rasmussen,436,1,1,1,0,9,0,1,
2198,2009,1,5,Judy,Achterhof,421,1,1,1,0,9,0,1,
2198,2009,1,NA,Scatter,,9,0,0,0,1,9,0,1,
2198,2010,1,7,Lisa,Kaiser,212,1,1,1,0,10,0,1,
2198,2010,1,9,Lori,Klinger,217,1,1,1,0,10,0,1,
2198,2010,1,8,John,Logghe,214,1,1,1,0,10,0,1,
2198,2010,1,NA,Scatter,,6,0,0,0,1,10,0,1,
2198,2012,1,4,Charles,Rasmussen,479,1,1,1,0,12,11,1,
2198,2012,1,5,Judy,Achterhof,376,1,1,1,0,12,11,1,
2198,2012,1,18,Charlotte,Heimer,360,0,0,0,0,12,11,1,
2198,2012,1,NA,Scatter,,6,0,0,0,1,12,11,1,
2198,2011,1,17,Kevin,Bonte,869,1,1,1,0,11,12,1,
2198,2011,1,10,Jon,Mrdutt,827,1,1,1,0,11,12,1,
