distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2394,2003,1,1,Linda,Hemann,274,0,0,0,0,1c,1,0,
2394,2003,1,2,Robert,Rogstad,387,1,0,0,0,1c,1,0,
2394,2003,1,3,Mandy,Ruff,142,0,0,0,0,1e,2,0,
2394,2003,1,4,Eliot,Suda,497,1,0,0,0,1e,2,0,
2394,2003,1,5,Roger,Ashbeck,97,0,0,0,1,1e,2,0,
2394,2003,1,NA,Scatter,,4,0,0,0,1,1,2,0,
2394,2004,1,6,Bill,Herr,683,1,0,0,0,2a,3,0,
2394,2004,1,7,Sharon,Rogers,586,1,0,0,0,2d,4,0,
2394,2004,1,NA,Scatter,,6,0,0,0,1,2,4,0,
2394,2005,1,8,Lee,Volovsek,182,1,0,0,0,3b,5,0,
2394,2005,1,9,LaVern,Gregorich,12,0,0,0,1,3b,5,0,
2394,2005,1,NA,Scatter,,66,0,0,0,1,3b,5,0,
2394,2006,1,2,Robert,Rogstad,514,1,1,1,0,4c,6,0,
2394,2006,1,10,Rhonda,Kozik,361,1,0,0,0,4e,7,0,
2394,2006,1,11,David,Hemann,273,0,0,0,0,4e,7,0,
2394,2006,1,NA,Scatter,,12,0,0,0,1,4,7,0,
2394,2007,1,6,Bill,Herr,503,1,1,1,0,5a,8,0,
2394,2007,1,7,Sharon,Rogers,292,0,1,1,0,5d,9,0,
2394,2007,1,12,Troy,Thomas,320,1,0,0,0,5d,9,0,
2394,2007,1,NA,Scatter,,8,0,0,0,1,5,9,0,
2394,2009,1,2,Robert,Rogstad,334,1,1,1,0,6c,10,0,
2394,2009,1,13,Jerome,Krempasky,270,0,0,0,0,6c,10,0,
2394,2009,1,11,David,Hemann,379,1,1,1,0,6e,11,0,
2394,2009,1,NA,Scatter,,225,0,0,0,1,6,11,0,
2394,2010,1,6,Bill,Herr,719,1,1,1,0,7a,12,0,
2394,2010,1,12,Troy,Thomas,732,1,1,1,0,7d,13,0,
2394,2011,1,14,Roger,Ehlers,588,1,0,0,0,8b,14,0,
2394,2011,1,15,Roger,Sonnentag,567,1,0,0,0,8e,15,0,
2394,2011,1,NA,Scatter,,10,0,0,0,1,8,15,0,
2394,2012,1,12,Troy,Thomas,260,0,1,1,0,9c,16,0,
2394,2012,1,13,Jerome,Krempasky,266,1,1,1,0,9c,16,0,
2394,2012,1,15,Roger,Sonnentag,450,1,1,1,0,9e,17,0,
2394,2012,1,NA,Scatter,,4,0,0,0,1,9,17,0,
