distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2420,2002,1,1,Michael,Hyland,1327,1,1,1,0,1,1,1,
2420,2002,1,2,James,Long,1244,1,1,1,0,1,2,0,
2420,2002,1,NA,Scatter,,12,0,0,0,1,1,2,0,
2420,2003,1,3,Deborah,Briggs,2096,1,1,1,0,2,2,0,
2420,2003,1,4,Jennifer,Klett,2167,1,1,1,0,2,3,0,
2420,2003,1,5,Dawn,VanAacken,2232,1,1,1,0,2,4,0,
2420,2004,1,6,Gabe,Kolesari,2359,1,1,1,0,3,5,0,
2420,2004,1,7,Gerald,Schmitz,1766,1,1,1,0,3,6,1,
2420,2004,1,8,,Gissal,1074,0,0,0,0,3,6,1,
2420,2006,1,3,Deborah,Briggs,662,1,1,1,0,4,7,0,
2420,2006,1,5,Dawn,VanAacken,660,1,1,1,0,4,8,0,
2420,2006,1,9,Lynn,Kristensen,673,1,0,0,0,4,9,0,
2420,2007,1,6,Gabe,Kolesari,3519,1,1,1,0,5,10,0,
2420,2007,1,7,Gerald,Schmitz,3456,1,1,1,0,5,11,1,
2420,2008,1,2,James,Long,2889,1,1,1,0,6,12,0,
2420,2008,1,1,Michael,Hyland,2915,1,1,1,0,6,13,1,
2420,2009,1,5,Dawn,VanAacken,2178,1,1,1,0,7,14,0,
2420,2009,1,10,Ron,Fricke,1222,0,0,0,0,7,14,0,
2420,2009,1,3,Deborah,Briggs,2601,1,1,1,0,7,15,0,
2420,2009,1,9,Lynn,Kristensen,2591,1,1,1,0,7,16,0,
2420,2010,1,6,Gabe,Kolesari,1896,1,1,1,0,8,17,0,
2420,2010,1,7,Gerald,Schmitz,1312,1,1,1,0,8,18,1,
2420,2010,1,10,Ron,Fricke,823,0,0,1,0,8,18,1,
2420,2011,1,2,James,Long,5417,1,1,1,0,9,19,0,
2420,2011,1,1,Michael,Hyland,5509,1,1,1,0,9,20,1,
2420,2012,1,5,Dawn,VanAacken,4032,1,1,1,0,10,21,0,
2420,2012,1,3,Deborah,Briggs,4120,1,1,1,0,10,22,0,
2420,2012,1,11,Brian,Schneider,3295,1,0,0,0,10,23,0,
2420,2012,1,9,Lynn,Kristensen,1573,0,1,1,0,10,23,0,
