distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2443,2002,1,1,Lewis,Lundberg,235,1,1,1,0,1,1,1,
2443,2002,1,2,Robert,Klockow,326,1,1,1,0,1,1,1,
2443,2003,1,3,Gregory,Erickson,1460,1,1,1,0,2,2,1,
2443,2003,1,4,Jeffrey,Williams,140,1,0,0,0,2,2,1,
2443,2003,1,5,Donald,Pridemore,90,0,0,0,1,2,2,1,
2443,2003,1,NA,Scatter,,6,0,0,0,1,2,2,1,
2443,2004,1,6,Mark,Martin,1565,1,0,0,0,3,3,1,
2443,2005,1,7,Karen,Schmidt,726,1,0,0,0,4,4,1,
2443,2005,1,1,Lewis,Lundberg,559,0,1,1,0,4,4,1,
2443,2006,1,8,Kate,Carroll,909,1,0,0,0,5,5,1,
2443,2006,1,4,Jeffrey,Williams,783,0,1,1,0,5,5,1,
2443,2006,1,3,Gregory,Erickson,694,0,1,1,0,5,5,1,
2443,2007,1,9,Charles,Lange,1378,1,0,0,0,6,6,1,
2443,2007,1,10,Richard,Dueck,928,1,0,0,0,6,6,1,1 year term
2443,2008,1,10,Richard,Dueck,2576,1,1,1,0,7,7,1,
2443,2009,1,8,Kate,Carroll,931,1,1,1,0,8,8,1,
2443,2009,1,3,Gregory,Erickson,815,1,1,1,0,8,8,1,
2443,2009,1,15,Michael,Kirsch,792,0,0,0,0,8,8,1,
2443,2010,1,9,Charles,Lange,1877,1,1,1,0,9,9,1,
2443,2010,1,NA,Scatter,,25,0,0,0,1,9,9,1,
2443,2011,1,11,Barbara,Lindert,2027,1,0,0,0,10,10,1,
2443,2011,1,12,Bill,Savage,1870,1,0,0,0,10,10,1,
2443,2011,1,13,Jeff,Becker,1697,1,1,0,0,10,10,1,
2443,2011,1,3,Gregory,Erickson,1471,0,1,1,0,10,10,1,
2443,2011,1,14,Adam,Majerus,1203,0,1,0,0,10,10,1,
2443,2011,1,10,Richard,Dueck,1169,0,1,1,0,10,10,1,
2443,2011,1,NA,Scatter,,44,0,0,0,1,10,10,1,
2443,2012,1,13,Jeff,Becker,2182,1,1,1,0,11,11,1,
2443,2012,1,14,Adam,Majerus,1566,1,0,1,0,11,11,1,
2443,2012,1,NA,Scatter,,45,0,0,0,1,11,11,1,
