distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2527,2002,1,1,Gerald,Biba,122,1,1,1,0,1,1,1,
2527,2002,1,2,Robert,Menke,129,1,1,1,0,1,1,1,
2527,2002,1,NA,Scatter,,6,0,0,0,1,1,1,1,
2527,2003,1,3,Brad,Laufenberg,285,1,1,1,0,2,2,1,
2527,2003,1,4,Lisa,Riley,26,1,0,0,1,2,2,1,
2527,2003,1,5,Barb,Linsheid,17,0,0,0,1,2,2,1,
2527,2003,1,6,Deb,Wolfe,10,0,0,0,1,2,2,1,
2527,2003,1,NA,Scatter,,28,0,0,0,1,2,2,1,
2527,2004,1,7,Jerry,Yager,164,1,1,1,0,3,3,1,
2527,2004,1,8,Robert,Linscheid,122,0,0,0,0,3,3,1,
2527,2004,1,9,Thomas,Johanning,145,1,1,1,0,3,3,1,
2527,2004,1,10,William,Drury,142,1,0,0,0,3,3,1,
2527,2004,1,NA,Scatter,,10,0,0,0,1,3,3,1,
2527,2005,1,11,Lori,Olson Pink,402,1,0,0,0,4,4,1,
2527,2005,1,8,Robert,Linscheid,138,0,0,1,0,4,4,1,
2527,2005,1,2,Robert,Menke,407,1,1,1,0,4,4,1,
2527,2006,1,4,Lisa,Riley,118,1,1,1,0,5,5,1,
2527,2006,1,3,Brad,Laufenberg,106,1,1,1,0,5,5,1,
2527,2006,1,NA,Scatter,,9,0,0,0,1,5,5,1,
2527,2007,1,10,William,Drury,160,1,1,1,0,6,6,1,
2527,2007,1,7,Jerry,Yager,164,1,1,1,0,6,6,1,
2527,2007,1,9,Thomas,Johanning,166,1,1,1,0,6,6,1,
2527,2007,1,NA,Scatter,,4,0,0,0,1,6,6,1,
2527,2008,1,11,Lori,Olson Pink,299,1,1,1,0,7,7,1,
2527,2008,1,12,J.J.,Linscheid,68,1,0,0,1,7,7,1,
2527,2008,1,13,Craig,Ramsden,49,0,0,0,1,7,7,1,
2527,2008,1,NA,Scatter,,15,0,0,0,1,7,7,1,
2527,2009,1,1,Gerald,Biba,227,1,0,1,0,8,8,1,
2527,2009,1,4,Lisa,Riley,64,1,1,1,1,8,8,1,
2527,2009,1,14,Greg,Holmes,41,0,0,0,1,8,8,1,
2527,2009,1,NA,Scatter,,15,0,0,0,1,8,8,1,
2527,2010,1,10,William,Drury,281,1,1,1,0,9,9,1,
2527,2010,1,15,Holly,Laufenberg,70,0,0,0,1,9,9,1,
2527,2010,1,16,Kenneth,Esser,140,1,0,0,0,9,9,1,
2527,2010,1,17,Thomas,Welsh,135,1,0,0,0,9,9,1,
2527,2010,1,NA,Scatter,,29,0,0,0,1,9,9,1,
2527,2011,1,18,Jesse,Dorota,232,0,0,0,0,10,10,1,
2527,2011,1,12,J.J.,Linscheid,460,1,1,1,0,10,10,1,
2527,2011,1,11,Lori,Olson Pink,422,1,1,1,0,10,10,1,
2527,2011,1,NA,Scatter,,12,0,0,0,1,10,10,1,
2527,2012,1,4,Lisa,Riley,191,1,1,1,0,11,11,1,
2527,2012,1,1,Gerald,Biba,201,1,1,1,0,11,11,1,
2527,2012,1,NA,Scatter,,8,0,0,0,1,11,11,1,
