distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2576,2002,1,1,Donald,Miller,358,0,0,0,0,1,1,0,
2576,2002,1,2,Gina,Pankratz,459,1,0,0,0,1,1,0,
2576,2002,1,3,Paul,Ericksen,276,0,1,1,0,1,1,0,
2576,2002,1,4,Brett,Roggenbauer,522,1,0,0,0,1,1,0,
2576,2002,1,NA,Scatter,,4,0,0,0,1,1,1,0,
2576,2003,1,5,James,Wegner,337,1,0,0,0,2,2,0,
2576,2003,1,6,Dave,Westimayer,387,1,0,0,0,2,2,0,
2576,2003,1,7,Mark,Gutschenritter,388,1,0,0,0,20,20,0,
2576,2003,1,NA,Scatter,,61,0,0,0,1,20,20,0,
2576,2004,1,5,James,Wegner,1094,1,1,1,0,3,3,0,
2576,2004,1,8,Laura,Winkler,867,0,0,0,0,3,3,0,
2576,2004,1,9,Sarah,Teschke,1118,1,0,0,0,3,3,0,
2576,2004,1,10,Patricia,Ninmann,1068,1,0,0,0,21,21,0,1 year term
2576,2004,1,NA,Scatter,,196,0,0,0,1,3,3,0,
2576,2005,1,11,Jason,Trommer,383,1,0,0,0,4,4,0,
2576,2005,1,12,Melissa,Smith,461,1,0,0,0,4,4,0,
2576,2005,1,10,Patricia,Ninmann,508,1,1,1,0,21,21,0,
2576,2005,1,NA,Scatter,,8,0,0,0,1,21,21,0,
2576,2006,1,6,Dave,Westimayer,742,1,1,1,0,2,2,0,
2576,2006,1,7,Mark,Gutschenritter,628,1,1,1,1,20,20,0,
2576,2006,1,NA,Scatter,,81,0,0,0,0,20,20,0,
2576,2007,1,13,Douglas,Glamann,987,1,0,0,0,6,6,0,
2576,2007,1,14,Craig,Muenchow,657,1,0,0,0,6,6,0,1 year term
2576,2007,1,15,Jon,Duhr,876,1,0,0,0,6,6,0,
2576,2007,1,16,Katie,Schmidt,377,0,0,0,0,6,6,0,
2576,2007,1,NA,Scatter,,29,0,0,0,1,6,6,0,
2576,2007,1,18,Heather,Olszewski,1033,1,0,0,0,8,8,0,
2576,2008,1,14,Craig,Muenchow,846,1,1,1,0,6,6,0,
2576,2008,1,10,Patricia,Ninmann,950,1,1,1,0,21,21,0,
2576,2008,1,NA,Scatter,,30,0,0,0,1,21,21,0,
2576,2009,1,17,Jerry,Tribbey,578,0,0,0,0,12,12,0,
2576,2009,1,6,Dave,Westimayer,581,1,1,1,0,12,12,0,
2576,2009,1,18,Heather,Olszewski,779,1,1,0,0,8,8,0,
2576,2009,1,NA,Scatter,,144,0,0,0,1,8,8,0,
2576,2009,1,19,James,Ketchem,93,1,0,0,1,13,13,0,
2576,2010,1,17,Jerry,Tribbey,201,1,0,1,0,9,9,0,
2576,2010,1,13,Douglas,Glamann,185,1,1,1,0,9,9,0,
2576,2010,1,NA,Scatter,,5,0,0,0,1,9,9,0,
2576,2011,1,14,Craig,Muenchow,1026,1,1,1,0,10,10,0,
2576,2011,1,10,Patricia,Ninmann,1143,1,1,1,0,14,14,0,
2576,2011,1,20,Eric,Krause-Emerick,1076,1,0,0,0,15,15,0,1 year term
2576,2011,1,21,Tina,Streblow,31,0,0,0,1,10,10,0,
2576,2011,1,22,Nate,Anfinson,11,0,0,0,1,14,14,0,
2576,2011,1,NA,Scatter,,86,0,0,0,1,10,10,0,
2576,2012,1,6,Dave,Westimayer,1075,1,1,1,0,11,11,0,
2576,2012,1,19,James,Ketchem,939,1,1,1,0,16,16,0,
2576,2012,1,20,Eric,Krause-Emerick,905,1,1,1,0,17,17,0,
2576,2012,1,NA,Scatter,,33,0,0,0,1,11,11,0,
